day,30m all hours,30m 07-11 no flatten,15m all hours,15m 07-11 + flatten (yours)
20221226,0.0,0.0,0.0,0.0
20221227,0.0,0.0,0.0,0.0
20221228,0.0,0.0,0.0,0.0
20221229,0.0,0.0,0.0,0.0
20221230,0.0,0.0,0.0,0.0
20230102,0.0,0.0,0.0,0.0
20230103,0.0,0.0,0.0,0.0
20230104,0.0,0.0,0.0,0.0
20230105,0.0,0.0,0.0,0.0
20230106,0.0,0.0,0.0,0.0
20230108,0.0,0.0,0.0,0.0
20230109,0.0,0.0,0.0,0.0
20230110,0.0,0.0,0.0,0.0
20230111,0.0,0.0,0.0,0.0
20230112,0.0,0.0,0.0,0.0
20230113,0.0,0.0,0.0,0.0
20230115,0.0,0.0,0.0,0.0
20230116,0.0,0.0,0.0,0.0
20230117,0.0,0.0,-150.59600768382631,-123.20329997113564
20230118,0.0,0.0,0.0,0.0
20230119,0.0,0.0,0.0,0.0
20230120,0.0,0.0,0.0,0.0
20230122,0.0,0.0,0.0,0.0
20230123,0.0,0.0,137.36230019474948,146.36230019474948
20230124,0.0,0.0,0.0,0.0
20230125,0.0,0.0,-25.72,0.0
20230126,0.0,0.0,-21.72,0.0
20230127,0.0,0.0,-26.727156608300646,-26.000867917146678
20230129,0.0,0.0,0.0,0.0
20230130,0.0,0.0,-35.47,-35.47
20230131,0.0,0.0,0.0,0.0
20230201,116.57102648469896,0.0,187.53,0.0
20230202,0.0,0.0,0.0,0.0
20230203,0.0,0.0,0.0,0.0
20230205,0.0,0.0,0.0,0.0
20230206,0.0,0.0,-35.47,0.0
20230207,-52.47,0.0,-90.50367164724543,0.0
20230208,0.0,0.0,-10.47,0.0
20230209,0.0,0.0,58.03,0.0
20230210,0.0,0.0,0.0,0.0
20230212,0.0,0.0,0.0,0.0
20230213,0.0,0.0,0.0,0.0
20230214,0.0,0.0,0.0,0.0
20230215,83.78,0.0,61.59,-63.788913872408955
20230216,0.0,0.0,0.0,0.0
20230217,0.0,0.0,0.0,0.0
20230219,0.0,0.0,0.0,0.0
20230220,0.0,0.0,0.0,0.0
20230221,0.0,0.0,0.0,0.0
20230222,-30.974195773323515,-54.50419577332352,-104.72656730799957,-45.256567307999575
20230223,0.0,0.0,0.0,0.0
20230224,0.0,0.0,0.0,0.0
20230226,0.0,0.0,0.0,0.0
20230227,0.0,0.0,0.0,0.0
20230228,0.0,0.0,0.0,0.0
20230301,0.0,0.0,0.0,0.0
20230302,0.0,0.0,-40.4042392136823,-39.61009283064297
20230303,0.0,0.0,0.0,0.0
20230305,0.0,0.0,0.0,0.0
20230306,0.0,0.0,0.0,0.0
20230307,-37.95186834369699,0.0,0.0,0.0
20230308,0.0,0.0,0.0,0.0
20230309,0.0,0.0,0.0,0.0
