leg,block,test,n,mean,p5,p95,p_le0,real_dd,p99,pctile,med,ref,pos,beat
30m all hours,research,bootstrap,158.0,23.863581048004953,7.044578071394992,43.252683780362965,0.006,,,,,,,
30m all hours,locked,bootstrap,87.0,31.187925510703277,-1.9882597230018118,66.85711521194355,0.065,,,,,,,
30m 07-11 no flatten,research,bootstrap,75.0,20.324980228341797,1.3036891697618793,40.272791009094426,0.0395,,,,,,,
30m 07-11 no flatten,locked,bootstrap,39.0,75.28741109462851,4.821578811307096,160.24720979174003,0.035,,,,,,,
15m all hours,research,bootstrap,225.0,13.428983660074808,4.278780134449882,23.23481096764469,0.008,,,,,,,
15m all hours,locked,bootstrap,125.0,23.299355219310247,7.60233803656655,40.26206380232176,0.003,,,,,,,
15m 07-11 + flatten (yours),research,bootstrap,87.0,3.8075042033253292,-8.384063531116404,16.42806930644468,0.314,,,,,,,
15m 07-11 + flatten (yours),locked,bootstrap,45.0,18.60992981059796,0.5397885876940927,37.73164879484294,0.047,,,,,,,
30m all hours,research,permutation,,,,,,746.4779773766886,2595.658803636003,0.0055,,,,
30m all hours,locked,permutation,,,,,,3126.816632172503,3791.404759926318,0.942,,,,
30m 07-11 no flatten,research,permutation,,,,,,594.5949178992238,1717.1508824271868,0.0545,,,,
30m 07-11 no flatten,locked,permutation,,,,,,1019.1228521811363,1884.3434100118384,0.5995,,,,
15m all hours,research,permutation,,,,,,797.984582990863,2381.890398742386,0.0235,,,,
15m all hours,locked,permutation,,,,,,697.1404105342854,2147.028532278885,0.0285,,,,
15m 07-11 + flatten (yours),research,permutation,,,,,,876.0801600873781,1897.9731119801334,0.244,,,,
15m 07-11 + flatten (yours),locked,permutation,,,,,,388.2340820151576,1028.8928624348184,0.166,,,,
30m all hours,research,execution,,,7193.455647834762,7624.441868598154,0.0,,,,7416.239933504185,,,
30m all hours,locked,execution,,,5259.877348765539,5496.412155133432,0.0,,,,5383.2985063483575,,,
30m 07-11 no flatten,research,execution,,,2975.7959314675713,3167.6181964519174,0.0,,,,3074.417126137083,,,
30m 07-11 no flatten,locked,execution,,,5852.087096152876,5953.563130618561,0.0,,,,5903.355263214156,,,
15m all hours,research,execution,,,5489.719052700881,6437.2277708819865,0.0,,,,5992.782444725412,,,
15m all hours,locked,execution,,,5541.758992001801,5862.303988741334,0.0,,,,5695.54110851427,,,
15m 07-11 + flatten (yours),research,execution,,,537.582693184694,750.4462392260752,0.0,,,,642.6042136297992,,,
15m 07-11 + flatten (yours),locked,execution,,,1583.4604045634742,1697.2023528337809,0.0,,,,1639.6323570095465,,,
30m all hours,research,params,,,1.3601363301847402,1.9049936912585492,,,,,1.5821335709750488,1.7843255795653203,1.0,0.16666666666666666
30m all hours,locked,params,,,1.2431829283586233,1.9497265517647975,,,,,1.5493259493068234,1.6110867389743122,1.0,0.38333333333333336
30m 07-11 no flatten,research,params,,,1.4749502883972925,2.0729041523803367,,,,,1.7137854351660253,1.6830758023586134,1.0,0.5666666666666667
30m 07-11 no flatten,locked,params,,,1.6435573359419355,3.3656565866251835,,,,,2.3490806080330913,2.852594376520374,1.0,0.24
15m all hours,research,params,,,1.2364452060465831,1.8045447323176462,,,,,1.4518640093166928,1.570288817050087,1.0,0.30666666666666664
15m all hours,locked,params,,,1.3061191893662378,2.0985281560491083,,,,,1.7006021039253394,1.8689574945511114,1.0,0.29
15m 07-11 + flatten (yours),research,params,,,0.8609667094511286,1.7510527408424983,,,,,1.2157646282127557,1.151352606919311,0.8566666666666667,0.6666666666666666
15m 07-11 + flatten (yours),locked,params,,,1.5596977715865825,2.4137233624728216,,,,,1.8723184313337078,1.8594817500288603,1.0,0.5166666666666667
