cfg,block,days,pts,usd,dd_usd,ret_dd,sharpe,pf
30m all hours,research,136,3740.8800381184788,7481.7600762369575,746.4779773766895,10.022747224947928,1.3951502442339112,1.8649692656726236
30m all hours,locked,80,2708.7019112425583,5417.4038224851165,2393.4356735627052,2.263442415572063,1.28616201056997,1.7055159171809822
30m 07-11 no flatten,research,68,1546.2345804538563,3092.4691609077126,594.5949178992238,5.200968033554311,1.1279044283654625,1.7175328622851853
30m 07-11 no flatten,locked,37,2956.590847430821,5913.181694861642,1019.1228521811363,5.802226573769978,1.3948775965426867,2.852594376520374
15m all hours,research,169,2966.5580149970065,5933.116029994013,733.7620606873711,8.085885531388756,1.4526301363382896,1.6626027155253045
15m all hours,locked,96,2870.307665918801,5740.615331837602,599.260410534288,9.57950038234528,2.0699395639695424,2.0507506938626
15m 07-11 + flatten (yours),research,72,337.0120056835817,674.0240113671634,876.0801600873781,0.7693634008330219,0.33831181689717654,1.173448991177634
15m 07-11 + flatten (yours),locked,39,827.8884946869199,1655.7769893738398,388.23408201515736,4.264893439492505,1.3757285336649727,2.013711901746019
EQUAL 30m+15m all hours,research,203,3353.719026557743,6707.438053115486,556.3919773834928,12.05523861910825,1.6534225084067253,1.8076190812323403
EQUAL 30m+15m all hours,locked,119,2789.5047885806794,5579.009577161359,921.2743056578597,6.055752931454571,1.9952834031162359,1.9242310632500113
EQUAL all four legs,research,203,2147.6711598132306,4295.342319626461,436.4439786740578,9.841680787247796,1.5782074301268152,1.736128937197731
EQUAL all four legs,locked,120,2340.8722298197754,4681.744459639551,699.3906619301581,6.694033412912617,2.000568156405614,2.157481935019198
30m all hours + 30m 07-11,research,136,2643.5573092861678,5287.1146185723355,533.5800427513741,9.908756315752816,1.4967499804282962,1.8500972178735926
30m all hours + 30m 07-11,locked,82,2832.6463793366897,5665.2927586733795,1385.0246235279276,4.090391363759855,1.3982877530015876,2.0489787279571363
INVERSE-VOL all four (weights from research only),research,203,1661.8341944092153,3323.6683888184307,415.30489530700527,8.002959816694382,1.4278012250585288,1.6600218282509267
INVERSE-VOL all four (weights from research only),locked,120,2081.5223259200457,4163.044651840091,537.7844604889272,7.741102537725348,2.033462462964172,2.276668083332194
