day,NQ 30m all hours,NQ 15m all hours,US30 gate ON,US30 gate OFF
20161117,0.0,0.0,224.3000000000029,175.6051748083446
20161214,0.0,0.0,-4.69999999999709,-4.69999999999709
20161221,0.0,0.0,-13.69999999999709,0.0
20170104,0.0,0.0,-11.69999999999709,-11.69999999999709
20170106,0.0,0.0,-58.93725859895494,-4.69999999999709
20170110,0.0,0.0,-50.8368031077116,-50.8368031077116
20170207,0.0,0.0,-40.72457125431174,0.0
20170214,0.0,0.0,104.30000000000291,0.0
20170219,0.0,0.0,6.30000000000291,6.30000000000291
20170221,0.0,0.0,75.30000000000291,75.30000000000291
20170228,0.0,0.0,242.3000000000029,242.3000000000029
20170306,0.0,0.0,-28.69999999999709,-28.69999999999709
20170309,0.0,0.0,-61.82325761100219,-61.82325761100219
20170315,0.0,0.0,-12.69999999999709,0.0
20170320,0.0,0.0,-45.280145574757626,-45.280145574757626
20170322,0.0,0.0,-35.69999999999709,-35.69999999999709
20170328,0.0,0.0,35.30000000000291,0.0
20170404,0.0,0.0,-23.69999999999709,-23.69999999999709
20170410,0.0,0.0,-65.31324123637023,0.0
20170504,0.0,0.0,-38.70176552569319,0.0
20170509,0.0,0.0,-37.37963266158113,0.0
20170605,0.0,0.0,-37.69999999999709,-38.69999999999709
20170607,0.0,0.0,-17.69999999999709,-39.39999999999418
20170615,0.0,0.0,-44.69999999999709,-44.69999999999709
20170628,0.0,0.0,-2.6999999999970896,-2.6999999999970896
20170707,0.0,0.0,-46.69999999999709,-46.69999999999709
20170711,0.0,0.0,102.30000000000291,102.30000000000291
20170714,0.0,0.0,0.3000000000029104,0.3000000000029104
20170831,0.0,0.0,-70.69999999999709,0.0
20170907,0.0,0.0,-48.69999999999709,0.0
20170908,0.0,0.0,542.3000000000029,542.3000000000029
20170920,0.0,0.0,-75.16804741486703,-74.75189236398364
20170924,0.0,0.0,-45.339263738849695,-45.339263738849695
20170927,0.0,0.0,7.30000000000291,-32.33542269751342
20171010,0.0,0.0,-38.38723116795154,40.30000000000291
20171011,0.0,0.0,-14.69999999999709,0.0
20171016,0.0,0.0,100.30000000000291,0.0
20171020,0.0,0.0,29.30000000000291,0.0
20171027,0.0,0.0,-54.947688181619014,-54.947688181619014
20171031,0.0,0.0,-9.69999999999709,-9.69999999999709
20171203,0.0,0.0,-26.69999999999709,-26.69999999999709
20171208,0.0,0.0,296.3000000000029,0.0
20171221,0.0,0.0,-28.69999999999709,-28.69999999999709
20180122,0.0,0.0,37.30000000000291,0.0
20180209,0.0,0.0,154.3000000000029,154.3000000000029
20180215,0.0,0.0,-97.69999999999709,0.0
20180309,0.0,0.0,26.30000000000291,0.0
20180327,0.0,0.0,-199.48371347377906,0.0
20180409,0.0,0.0,-303.699206064226,-298.5760680691674
20180416,0.0,0.0,182.3000000000029,182.3000000000029
20180425,0.0,0.0,99.30000000000291,99.30000000000291
20180427,0.0,0.0,-37.69999999999709,-37.69999999999709
20180502,0.0,0.0,-81.69999999999709,-81.69999999999709
20180509,0.0,0.0,-112.47785163658409,244.82214836341882
20180516,0.0,0.0,-78.69999999999709,-78.69999999999709
20180520,0.0,0.0,63.30000000000291,63.30000000000291
20180626,0.0,0.0,-129.4204502203429,-129.4204502203429
20180627,0.0,0.0,-148.03420888808978,-148.03420888808978
20180629,0.0,0.0,-217.6999999999971,0.0
20180705,0.0,0.0,474.3000000000029,474.3000000000029
20180712,0.0,0.0,180.3000000000029,180.3000000000029
20180717,0.0,0.0,-34.69999999999709,-34.69999999999709
20180803,0.0,0.0,153.54706875286138,0.0
20180911,0.0,0.0,-48.69999999999709,-48.69999999999709
20180919,0.0,0.0,241.3000000000029,0.0
20180926,0.0,0.0,-64.6849751010086,-64.6849751010086
20181001,0.0,0.0,-84.09900488907078,0.0
20181030,0.0,0.0,528.3000000000029,528.3000000000029
20181105,0.0,0.0,730.3000000000029,730.3000000000029
20181126,0.0,0.0,9.30000000000291,9.30000000000291
20181206,0.0,0.0,-296.2498935965741,-296.2498935965741
20181219,0.0,0.0,-179.52961483912804,-176.86748229863224
20190109,0.0,0.0,-142.6999999999971,0.0
20190110,0.0,0.0,-131.6999999999971,-131.6999999999971
20190114,0.0,0.0,614.3000000000029,614.3000000000029
20190130,0.0,0.0,303.3000000000029,0.0
20190210,0.0,0.0,-71.69999999999709,-71.69999999999709
20190224,0.0,0.0,-51.69999999999709,0.0
20190226,0.0,0.0,-113.96648383829961,-113.96648383829961
20190310,0.0,0.0,-145.39297787921896,-145.39297787921896
20190311,0.0,0.0,-12.69999999999709,14.30000000000291
20190314,0.0,0.0,-186.56136688371043,-186.56136688371043
20190401,0.0,0.0,-30.69999999999709,0.0
20190404,0.0,0.0,22.30000000000291,22.30000000000291
20190415,0.0,0.0,-71.06397535305223,0.0
20190418,0.0,0.0,-16.69999999999709,-16.69999999999709
20190424,0.0,0.0,-69.69999999999709,0.0
20190426,0.0,0.0,-17.69999999999709,-17.69999999999709
20190521,0.0,0.0,-42.69999999999709,-42.69999999999709
20190605,0.0,0.0,640.3000000000029,0.0
20190614,0.0,0.0,303.3000000000029,303.3000000000029
20190619,0.0,0.0,134.3000000000029,134.3000000000029
20190710,0.0,0.0,426.3000000000029,426.3000000000029
20190718,0.0,0.0,-9.69999999999709,-9.69999999999709
20190726,0.0,0.0,-22.69999999999709,-22.69999999999709
20190806,0.0,0.0,-246.6999999999971,-246.6999999999971
20190828,0.0,0.0,424.3000000000029,424.3000000000029
20190906,0.0,0.0,-61.69999999999709,-61.69999999999709
20190919,0.0,0.0,-105.94656194182244,-105.94656194182244
20191003,0.0,0.0,248.3000000000029,248.3000000000029
20191017,0.0,0.0,-100.71126935511347,-100.71126935511347
20191025,0.0,0.0,18.30000000000291,167.3000000000029
20191029,0.0,0.0,-78.76950623786615,-78.76950623786615
20191030,0.0,0.0,-97.51462137146154,-97.51462137146154
20191101,0.0,0.0,154.3000000000029,296.3000000000029
20191111,0.0,0.0,-45.69999999999709,-45.69999999999709
