tf,ent,exN,mins,block,n,pf,pct,tot,ret_dd
30m,20,20,600,research,76,1.3225059675963602,0.044023157743320204,3.3457599884923357,2.367880123417109
30m,20,20,600,locked,39,1.5979366629657907,0.07199185923987558,2.8076825103551477,2.1609135705114975
30m,10,10,300,research,84,1.3628030032818634,0.050148490443265845,4.212473197234331,2.0418620072184024
30m,10,10,300,locked,46,1.600690065601678,0.0644288558126046,2.963727367379812,2.378232166381797
30m,40,40,1200,research,57,1.4790280180904904,0.056178938626549865,3.2021995017133422,1.9643753547306995
30m,40,40,1200,locked,31,1.2392622090537218,0.031178401532660698,0.9665304475124816,0.9014203226232521
15m,20,20,300,research,87,1.151352606919311,0.017057249776176155,1.4839807305273254,0.7693634008330211
15m,20,20,300,locked,45,1.8594817500288603,0.07963168847510567,3.583425981379755,4.264893439492502
15m,40,40,600,research,79,1.156173219690963,0.01450118789212756,1.1455938434780772,0.6163562559135891
15m,40,40,600,locked,38,1.9966790338180054,0.08886162362094714,3.376741697595991,3.5884602046125944
15m,10,10,150,research,104,1.0949822712188975,0.007292404010385118,0.7584100170800523,0.4820253419687397
15m,10,10,150,locked,54,1.4801179682377006,0.04983682073061693,2.6911883194533144,1.3230145677271719
