condition,pairs_res,helps_res,mean_res,kept_res,pairs_lock,helps_lock,mean_lock,kept_lock
cross<=5 9 21,5936,0.4954514824797844,-0.0008687195368111134,0.47337815165519714,5936,0.7188342318059299,0.03289860114455223,0.47337815165519714
cross<=5 13 48,3430,0.3029154518950437,-0.023524846881628036,0.27680978178977966,3430,0.8533527696793003,0.0668623223900795,0.27680978178977966
cross<=5 21 55,2096,0.49904580152671757,0.0017293214332312346,0.19717082381248474,2096,0.6383587786259542,0.02953086793422699,0.19717082381248474
spread momentum>=0.02 ATR 9 21,10139,0.5566623927409015,0.0009015537798404694,0.9489980936050415,10139,0.5697800572048526,0.0021848061587661505,0.9489980936050415
spread momentum>=0.02 ATR 13 48,10122,0.46621221102548904,-9.947076614480466e-05,0.9551293849945068,10122,0.6519462556806955,0.005796715151518583,0.9551293849945068
spread momentum>=0.02 ATR 21 55,10015,0.6697953070394408,0.003382396185770631,0.9278820753097534,10015,0.6389415876185721,0.003926069941371679,0.9278820753097534
spread rising 9 21,10161,0.6007282747761047,0.0013330751098692417,0.963620126247406,10161,0.4980808975494538,-0.00019733353110495955,0.963620126247406
spread rising 13 48,10164,0.510724124360488,0.0007040452328510582,0.9663234949111938,10164,0.6211137347500983,0.003852678695693612,0.9663234949111938
spread rising 21 55,10113,0.5693661623652724,0.00047273572999984026,0.9573250412940979,10113,0.7331157915554237,0.005241327453404665,0.9573250412940979
spread>0 and rising 9 21,9971,0.6088657105606258,0.003169274888932705,0.9168813824653625,9971,0.5238190753184234,0.0007739419233985245,0.9168813824653625
spread>0 and rising 13 48,9439,0.7246530352791609,0.006196737289428711,0.8238554000854492,9439,0.5907405445492108,0.00040824091411195695,0.8238554000854492
spread>0 and rising 21 55,9100,0.8248351648351648,0.011252792552113533,0.7689586877822876,9100,0.5583516483516483,0.0007927856640890241,0.7689586877822876
state 9 21,10071,0.550888690298878,0.0018100142478942871,0.9451568722724915,10071,0.45784927018170984,0.0011633210815489292,0.9451568722724915
state 13 48,9513,0.691474823925155,0.004666364286094904,0.8516383767127991,9513,0.47566487963838955,-0.0033406943548470736,0.8516383767127991
state 21 55,9276,0.7856834842604571,0.009397841989994049,0.8062430620193481,9276,0.4321905993962915,-0.004353773780167103,0.8062430620193481
