condition,pairs,helps,mean,kept
cross<=5 9 21,5936,0.4954514824797844,-0.0008687195368111134,0.47337815165519714
cross<=5 13 48,3430,0.3029154518950437,-0.023524846881628036,0.27680978178977966
cross<=5 21 55,2096,0.49904580152671757,0.0017293214332312346,0.19717082381248474
spread momentum>=0.02 ATR 9 21,10139,0.5566623927409015,0.0009015537798404694,0.9489980936050415
spread momentum>=0.02 ATR 13 48,10122,0.46621221102548904,-9.947076614480466e-05,0.9551293849945068
spread momentum>=0.02 ATR 21 55,10015,0.6697953070394408,0.003382396185770631,0.9278820753097534
spread rising 9 21,10161,0.6007282747761047,0.0013330751098692417,0.963620126247406
spread rising 13 48,10164,0.510724124360488,0.0007040452328510582,0.9663234949111938
spread rising 21 55,10113,0.5693661623652724,0.00047273572999984026,0.9573250412940979
spread>0 and rising 9 21,9971,0.6088657105606258,0.003169274888932705,0.9168813824653625
spread>0 and rising 13 48,9439,0.7246530352791609,0.006196737289428711,0.8238554000854492
spread>0 and rising 21 55,9100,0.8248351648351648,0.011252792552113533,0.7689586877822876
state 9 21,10071,0.550888690298878,0.0018100142478942871,0.9451568722724915
state 13 48,9513,0.691474823925155,0.004666364286094904,0.8516383767127991
state 21 55,9276,0.7856834842604571,0.009397841989994049,0.8062430620193481
