condition,pairs_res,helps_res,mean_res,kept_res,pairs_lock,helps_lock,mean_lock,kept_lock
mfi rising 9,9920,0.5177419354838709,0.0006984203355386853,0.93214350938797,9920,0.5706653225806452,0.0058894651010632515,0.93214350938797
mfi rising 14,9989,0.48183001301431577,-2.0693749320344068e-05,0.9474241137504578,9989,0.6107718490339373,0.00669475132599473,0.9474241137504578
mfi rising 21,10120,0.5941699604743083,0.0014997239923104644,0.9386619925498962,10120,0.5966403162055336,0.004541419446468353,0.9386619925498962
mfi<=80 9,8491,0.24013661523966554,-0.01530142780393362,0.7942323684692383,8491,0.4160876221881993,-0.001728517236188054,0.7942323684692383
mfi<=80 14,8829,0.25235020953675386,-0.012263034470379353,0.8749021887779236,8829,0.5327896704043493,0.0034699246753007174,0.8749021887779236
mfi<=80 21,9590,0.30083420229405633,-0.007988438941538334,0.9197126626968384,9590,0.5580813347236705,0.0010198699310421944,0.9197126626968384
mfi>=50 9,10017,0.6945193171608266,0.003585933009162545,0.9544748067855835,10017,0.4717979434960567,0.0007221646374091506,0.9544748067855835
mfi>=50 14,9983,0.620955624561755,0.002307130955159664,0.9442926645278931,9983,0.3978763898627667,-0.002906043780967593,0.9442926645278931
mfi>=50 21,9706,0.5287451061199259,-2.779018359433394e-05,0.914246141910553,9706,0.3234082011127138,-0.007990945130586624,0.914246141910553
mfi>=55 9,9827,0.7426478070621756,0.007602708414196968,0.9271622896194458,9827,0.5070723516841356,-0.0007449482218362391,0.9271622896194458
mfi>=55 14,9444,0.7444938585345193,0.013329616747796535,0.8992629647254944,9444,0.40470139771283353,-0.00488584628328681,0.8992629647254944
mfi>=55 21,9077,0.743858102897433,0.009972737170755863,0.8551207184791565,9077,0.32213286328081964,-0.010670717805624008,0.8551207184791565
mfi>=60 9,9711,0.7105344454742045,0.007114592473953962,0.8933415412902832,9711,0.6276387601688806,0.008243522606790066,0.8933415412902832
mfi>=60 14,9131,0.7038659511554046,0.015036416240036488,0.8370867967605591,9131,0.534443105902968,0.007371190004050732,0.8370867967605591
mfi>=60 21,8692,0.7950989415554532,0.017391670495271683,0.7649482488632202,8692,0.5016106764841234,0.005003750324249268,0.7649482488632202
