condition,pairs,helps,mean,kept
mfi rising 9,9920,0.5177419354838709,0.0006984203355386853,0.93214350938797
mfi rising 14,9989,0.48183001301431577,-2.0693749320344068e-05,0.9474241137504578
mfi rising 21,10120,0.5941699604743083,0.0014997239923104644,0.9386619925498962
mfi<=80 9,8491,0.24013661523966554,-0.01530142780393362,0.7942323684692383
mfi<=80 14,8829,0.25235020953675386,-0.012263034470379353,0.8749021887779236
mfi<=80 21,9590,0.30083420229405633,-0.007988438941538334,0.9197126626968384
mfi>=50 9,10017,0.6945193171608266,0.003585933009162545,0.9544748067855835
mfi>=50 14,9983,0.620955624561755,0.002307130955159664,0.9442926645278931
mfi>=50 21,9706,0.5287451061199259,-2.779018359433394e-05,0.914246141910553
mfi>=55 9,9827,0.7426478070621756,0.007602708414196968,0.9271622896194458
mfi>=55 14,9444,0.7444938585345193,0.013329616747796535,0.8992629647254944
mfi>=55 21,9077,0.743858102897433,0.009972737170755863,0.8551207184791565
mfi>=60 9,9711,0.7105344454742045,0.007114592473953962,0.8933415412902832
mfi>=60 14,9131,0.7038659511554046,0.015036416240036488,0.8370867967605591
mfi>=60 21,8692,0.7950989415554532,0.017391670495271683,0.7649482488632202
