T,block,rate,n,rule,pf,ctl,excess,p
3,research,0.5192861009030567,498,0.07106382176776971,1.370766654319395,0.057267749860842425,0.013796071906927283,0.11
3,LOCKED,0.5192861009030567,242,0.11045049364806364,1.425429468564629,0.04234737618392031,0.06810311746414333,0.0025
4,research,0.3446571518103866,400,0.08449005591417524,1.4304156883376302,0.054380866402092234,0.03010918951208301,0.0225
4,LOCKED,0.3446571518103866,195,0.119516612066685,1.4201979100348938,0.029521214191615592,0.08999539787506941,0.0
5,research,0.19798877588810074,296,0.10708130424383637,1.542638019443713,0.051593737160507705,0.055487567083328665,0.005
5,LOCKED,0.19798877588810074,130,0.2010741019787027,1.7223779930625973,0.013902161828510385,0.1871719401501923,0.0
6,research,0.102854456884027,186,0.11057699743754996,1.5427808340417117,0.043489006913588854,0.06708799052396111,0.0025
6,LOCKED,0.102854456884027,90,0.16120756345667864,1.493644797045422,0.013522271873084121,0.1476852915835945,0.0025
7,research,0.03025382445944791,75,0.2106761411635338,2.253316308209441,0.04621253622191854,0.16446360494161527,0.0
7,LOCKED,0.03025382445944791,34,0.09739905686999252,1.2403670006005905,0.0003808801552422442,0.09701817671475027,0.185
