h,target,real,p50,p95,mx,clears
4,mag,0.4604257344883823,0.01000263438223754,0.013845963556544019,0.017196929769892066,CLEARS
4,rv,0.6471986267744128,0.010599291672064116,0.014888611916404183,0.017053990426340492,CLEARS
4,rng,0.4983003452214926,0.009813311468268388,0.013566272631458284,0.014506426768593114,CLEARS
4,er,0.027432795880622494,0.010752602146625326,0.014925610209497637,0.019174184207570825,CLEARS
4,mfe,0.2705125699011375,0.00970585940041733,0.013597371190370775,0.018998322339395638,CLEARS
4,mae,0.26733668277777256,0.010060112416363853,0.013433356952343073,0.01597673169604534,CLEARS
4,ttb,0.4233674068527094,0.01029273758190265,0.014902606577949857,0.01533841441714056,CLEARS
4,dir,0.023061307274280865,0.009903745661873117,0.014288507053502821,0.014837159861339481,CLEARS
16,mag,0.35995829130845325,0.01031461042315937,0.013324683442093477,0.017831586825048408,CLEARS
16,rv,0.5977064705010295,0.010128502337875862,0.01303902176486834,0.013734442454166097,CLEARS
16,rng,0.5415136358870777,0.009622384055881051,0.0135617547541273,0.01549717697139424,CLEARS
16,er,0.047624714219835995,0.010467189266922914,0.016681182542790843,0.018633905356737354,CLEARS
16,mfe,0.3318640334441779,0.010487652481637478,0.013620407680105296,0.017000936681870363,CLEARS
16,mae,0.30270681686148676,0.01012477151985693,0.01434172225472821,0.01841046904996492,CLEARS
16,ttb,0.44162312457084896,0.010669188356502806,0.014330446010475725,0.015764525871813928,CLEARS
16,dir,0.0466852565318915,0.010223066352439195,0.013421383442308199,0.015484756768644498,CLEARS
48,mag,0.1807699039292321,0.011400356071151582,0.016756757822206023,0.018677140012321458,CLEARS
48,rv,0.36294900240936984,0.009427531873308822,0.01280845599388767,0.013717153797655361,CLEARS
48,rng,0.6819702794421812,0.009789694415814294,0.014843373738683944,0.017762083302423747,CLEARS
48,er,0.04118830696591664,0.010118471123805643,0.013902760411800096,0.014039525174921248,CLEARS
48,mfe,0.4227923325199888,0.009718934182928806,0.014757762484041608,0.016178654061120564,CLEARS
48,mae,0.43291235461695,0.0098324124504803,0.013119751824621646,0.014953006861363114,CLEARS
48,ttb,0.4415709826504526,0.008772124726525568,0.011451885700454833,0.014064793142923415,CLEARS
48,dir,0.06757212279971617,0.00984934730796607,0.013769099141058902,0.015645679254886132,CLEARS
96,mag,0.17430137093425938,0.01036052480295813,0.015558565509305336,0.01718239293629212,CLEARS
96,rv,0.5064442563659225,0.01001800038878713,0.012796438864220187,0.018133373258899493,CLEARS
96,rng,0.6879301050221698,0.00946199453281599,0.013908057550596658,0.015592388802842605,CLEARS
96,er,0.04864981876219537,0.009390863454137708,0.012502852016012415,0.01559100635884637,CLEARS
96,mfe,0.3466891952718004,0.009231553503757978,0.013596691255331243,0.014041175967943737,CLEARS
96,mae,0.3681336445127314,0.010111027615146245,0.013292621176948679,0.014295566330860751,CLEARS
96,ttb,0.44156975238883767,0.010390913216642917,0.014274533458492167,0.014788487511977135,CLEARS
96,dir,0.10441990537279307,0.009875492866916573,0.01289045987456312,0.014022146777246027,CLEARS
