axis,value,r_pf,l_pf,r_pct,l_pct,n
ent,9.0,1.2867320299868734,1.2972143311765274,0.05211437329168589,0.06760955804447656,713
ent,11.0,1.3526967193299768,1.3515944583592494,0.061604367418489424,0.07908979348931262,680
ent,13.0,1.2876030438492807,1.0973491275656528,0.05188849858513663,0.024351204636523377,641
exN,40.0,1.38909313382432,1.3655929742007173,0.06481348727962458,0.07919093897540888,688
exN,47.0,1.3526967193299768,1.3515944583592494,0.061604367418489424,0.07908979348931262,680
exN,55.0,1.3312161617907219,1.4503163329782325,0.06078943193714878,0.09796219889513084,670
stop,3.2,1.3154139337692334,1.3662293967375971,0.05471127945796347,0.07963692853997659,696
stop,3.8,1.3526967193299768,1.3515944583592494,0.061604367418489424,0.07908979348931262,680
stop,4.4,1.327508933378024,1.324357617761169,0.05895077021726284,0.07502319270211648,677
tp,2.7,1.241283852784119,1.1413812132381318,0.04245614256387137,0.03360300787181576,736
tp,3.2,1.3526967193299768,1.3515944583592494,0.061604367418489424,0.07908979348931262,680
tp,3.7,1.275016486446139,1.276670726821004,0.05174925621693272,0.06682901232292303,639
hold,72.0,1.3234548455658144,1.298726511912161,0.0547080168239819,0.06589622825842474,713
hold,96.0,1.3526967193299768,1.3515944583592494,0.061604367418489424,0.07908979348931262,680
hold,120.0,1.3535149589077289,1.35161061382687,0.062068633969512406,0.07909342759834774,677
