sig,ex,side,ent,stop,tgt,risk_pct,pct,R,why,sid,skey,dow,rng,ts
15,17,1,4707.9,4699.7,4714.459999999999,0.17417532233054692,0.10280592196094843,0.5902439024389754,target,1,201611151,1,5.0,2016-11-15 03:15:00-05:00
42,66,1,4772.0,4728.0,4807.2,0.9220452640402347,-0.1156747694886878,-0.1254545454545496,session flat,2,201611152,1,26.699999999999818,2016-11-15 10:00:00-05:00
74,97,1,4781.8,4769.7,4791.4800000000005,0.25304278723494006,-0.17399305700782894,-0.6876033057851334,session flat,0,201611160,2,2.300000000000182,2016-11-15 19:15:00-05:00
106,116,-1,4760.2,4765.5,4755.96,0.1113398596697656,-0.14747279526070717,-1.3245283018867813,stop,1,201611161,2,5.0,2016-11-16 03:15:00-05:00
135,157,1,4786.9,4742.7,4822.259999999999,0.923353318431549,-0.07771208924356056,-0.08416289592760215,session flat,2,201611162,2,35.19999999999982,2016-11-16 10:30:00-05:00
166,168,1,4786.7,4784.4,4788.54,0.04804980466710222,0.0025069463304603495,0.05217391304353741,target,0,201611170,3,1.800000000000182,2016-11-16 19:30:00-05:00
198,200,1,4801.4,4793.2,4807.959999999999,0.17078352147289996,-0.20660640646477735,-1.2097560975609802,stop,1,201611171,3,4.0,2016-11-17 03:30:00-05:00
228,238,1,4806.4,4780.2,4827.36,0.5451065246338178,0.400299600532624,0.7343511450381744,target,2,201611172,3,21.199999999999818,2016-11-17 11:00:00-05:00
256,259,1,4832.4,4827.7,4836.16,0.09726016058272946,-0.13285324062577225,-1.3659574468085247,stop,0,201611180,4,2.199999999999818,2016-11-17 19:15:00-05:00
289,305,-1,4825.7,4836.2,4817.3,0.21758501357316037,-0.25322751103466856,-1.1638095238095238,stop,1,201611181,4,8.5,2016-11-18 03:30:00-05:00
314,317,-1,4824.9,4842.2,4811.0599999999995,0.3585566540239214,0.25119691599826205,0.7005780346820819,target,2,201611182,4,11.5,2016-11-18 09:45:00-05:00
349,370,1,4814.5,4805.5,4821.7,0.1869352996157441,0.02658635372312805,0.14222222222222222,session flat,0,201611210,0,6.5,2016-11-20 19:45:00-05:00
405,430,1,4850.3,4820.0,4874.54,0.6247036265798029,0.07587159557140045,0.12145214521450873,session flat,2,201611212,0,22.0,2016-11-21 09:45:00-05:00
439,440,1,4863.0,4860.5,4865.0,0.05140859551717047,0.005757762697923093,0.11200000000000002,target,0,201611220,1,2.199999999999818,2016-11-21 19:30:00-05:00
473,489,-1,4878.0,4883.0,4874.0,0.1025010250102501,0.00984009840098028,0.09599999999996363,session flat,1,201611221,1,3.0,2016-11-22 04:00:00-05:00
500,503,-1,4872.1,4883.1,4863.3,0.2257753330186162,0.14531721434289488,0.6436363636363802,target,2,201611222,1,8.900000000000546,2016-11-22 10:45:00-05:00
529,534,1,4878.5,4875.5,4880.9,0.06149431177616071,0.013938710669255635,0.22666666666654542,target,0,201611230,2,2.699999999999818,2016-11-22 19:15:00-05:00
561,568,1,4882.5,4877.5,4886.5,0.10240655401945725,-0.13763440860215054,-1.3439999999999999,stop,1,201611231,2,3.300000000000182,2016-11-23 03:15:00-05:00
