feed,cell,block,n,R,pct,pf,boot_p,ci_lo,ci_hi,verdict
US100,SHORT,research,431,0.3392,0.0816,1.561,0.013,,,PASS -- primary stands o
US100,SHORT,LOCKED,244,0.0783,-0.0029,1.131,1.0,,,FAIL -- raw primary has 
US30,LONG,research,722,0.3304,0.0302,1.56,0.083,,,PASS -- primary stands o
US30,LONG,LOCKED,430,0.0444,0.012,1.081,0.269,,,MARGINAL -- positive but
US30_ISO,LONG,whole,325,0.157,0.0326,1.311,0.117,,,MARGINAL -- positive but
US30_ISO,SHORT,whole,193,-0.1043,-0.0321,0.813,1.0,,,FAIL -- raw primary has 
US100,LONG,research,939,0.1143,0.0335,1.194,0.025,,,PASS -- primary stands o
US100,LONG,LOCKED,603,-0.0024,0.0057,0.996,0.379,,,MARGINAL -- positive but
US30,SHORT,research,348,-0.0361,0.0243,0.938,0.15,,,MARGINAL -- positive but
US30,SHORT,LOCKED,198,-0.2005,-0.0662,0.658,1.0,,,FAIL -- raw primary has 
