feed,cell,feat,fam,n,ic,ic_shuffled
US100,SHORT,vol.atr_tod,vol,423,-0.1157,0.0088
US100,SHORT,vol.atr_pct250,vol,431,-0.0193,-0.0329
US100,SHORT,vol.rv24,vol,431,-0.1057,0.0057
US100,SHORT,vol.rv96,vol,431,-0.1226,0.0269
US100,SHORT,vol.rv_ratio,vol,431,0.0413,-0.0287
US100,SHORT,vol.volofvol,vol,431,-0.0552,-0.0203
US100,SHORT,vol.atr_slope,vol,431,0.0329,0.0086
US100,SHORT,trn.d_slow_atr,trn,431,-0.0075,-0.0554
US100,SHORT,trn.d_pull_atr,trn,431,0.0452,-0.0379
US100,SHORT,trn.slope_slow,trn,431,0.0489,0.0415
US100,SHORT,trn.slope_pull,trn,431,0.0436,0.0232
US100,SHORT,trn.er20,trn,431,0.0103,0.0651
US100,SHORT,trn.er96,trn,431,-0.0753,-0.0538
US100,SHORT,trn.ret16,trn,431,0.0457,-0.0635
US100,SHORT,trn.ret96,trn,431,0.1001,0.0073
US100,SHORT,reg.chop14,reg,431,-0.0415,0.0264
US100,SHORT,reg.chop48,reg,431,0.0181,-0.0221
US100,SHORT,reg.adx14,reg,431,-0.0008,0.0371
US100,SHORT,reg.di_spread,reg,431,-0.0769,-0.0779
US100,SHORT,reg.hmm_bear,reg,431,-0.1289,0.0214
US100,SHORT,reg.hmm_side,reg,431,0.1406,-0.0236
US100,SHORT,reg.hmm_bull,reg,431,0.1232,-0.0061
US100,SHORT,reg.hmm_drift,reg,431,0.1362,-0.0159
US100,SHORT,vlm.tod_ratio,vlm,423,-0.0041,-0.0362
US100,SHORT,vlm.z96,vlm,431,0.0247,0.0459
US100,SHORT,vlm.trend24,vlm,431,0.0884,-0.0358
US100,SHORT,vlm.per_range,vlm,431,0.011,0.0307
US100,SHORT,str.body_share,str,431,-0.093,0.0111
US100,SHORT,str.close_pos,str,431,0.1764,-0.023
US100,SHORT,str.upper_wick,str,431,-0.0346,-0.0243
US100,SHORT,str.rng_atr,str,431,-0.0804,0.0352
US100,SHORT,str.gap_atr,str,431,0.0298,0.0463
US100,SHORT,str.dir_run,str,431,0.0292,-0.0603
US100,SHORT,clk.since_open,clk,431,0.0511,-0.0857
US100,SHORT,clk.to_close,clk,431,-0.0642,0.0712
US100,SHORT,ffd.level,ffd,429,-0.0234,-0.0093
US100,SHORT,ffd.slope,ffd,429,0.081,-0.0787
US100,SHORT,anm.ae_err,anm,423,-0.1079,0.0069
US100,SHORT,anm.ae_pct,anm,423,-0.0981,-0.0025
US100,SHORT,anm.mahal,anm,423,-0.0885,0.0178
US100,SHORT,anm.iso,anm,423,-0.1035,0.0267
US100,SHORT,anm.joint_z,anm,431,-0.0864,0.0316
US100,SHORT,anm.resid_move,anm,431,0.0865,-0.0261
US100,SHORT,hst.prev3_R,hst,429,-0.0998,0.0714
US100,SHORT,hst.prev3_win,hst,430,-0.1119,0.0276
US100,SHORT,hst.prev10_R,hst,429,-0.1279,0.0458
US100,SHORT,hst.prev10_win,hst,430,-0.0932,0.0339
US100,SHORT,hst.prev25_R,hst,429,-0.0896,0.0452
US100,SHORT,hst.prev25_win,hst,430,-0.0831,0.0333
US100,SHORT,hst.gap_bars,hst,430,-0.0475,0.066
US30,LONG,vol.atr_tod,vol,712,-0.2138,-0.0134
US30,LONG,vol.atr_pct250,vol,722,0.0282,0.0338
US30,LONG,vol.rv24,vol,722,-0.1936,0.0277
US30,LONG,vol.rv96,vol,722,-0.1932,-0.0101
US30,LONG,vol.rv_ratio,vol,722,-0.0132,0.0879
US30,LONG,vol.volofvol,vol,722,-0.1324,0.024
US30,LONG,vol.atr_slope,vol,722,-0.0216,0.0319
