feed,cell,model,shuffled,ic,keep30,p90_30,keep50,p90_50,keep70,p90_70
US100,SHORT,ridge,False,-0.0067,0.1832,1.443,0.1197,1.305,0.1116,1.27
US100,SHORT,ridge,True,-0.056,-0.0777,0.696,0.0244,0.785,0.057,0.903
US100,SHORT,rf (regularised),False,-0.011,0.1868,1.651,0.1619,1.381,0.1364,1.298
US100,SHORT,rf (regularised),True,0.0653,0.0477,0.633,0.0634,0.823,0.085,0.954
US100,SHORT,lightgbm d3,False,-0.0354,0.0508,0.867,0.1063,1.089,0.1122,1.053
US100,SHORT,lightgbm d3,True,0.0085,0.1194,0.96,0.0722,0.978,0.09,1.032
US100,SHORT,xgboost d3,False,-0.0728,0.0105,0.723,0.0811,1.024,0.0983,1.016
US100,SHORT,xgboost d3,True,0.0123,0.1557,1.301,0.0894,1.052,0.0885,0.955
US100,SHORT,xgboost d6,False,-0.0263,0.0665,1.152,0.0533,0.955,0.0774,1.016
US100,SHORT,xgboost d6,True,0.0461,0.2377,1.347,0.1133,1.132,0.076,1.002
US100,SHORT,mlp 2x64,False,-0.0657,0.1181,1.152,0.0677,0.869,0.0687,0.903
US100,SHORT,mlp 2x64,True,0.0077,0.1474,1.152,0.1047,1.052,0.0548,0.903
US100,SHORT,mlp 4x128,False,-0.0321,0.0452,0.958,0.0963,0.974,0.0615,0.852
US100,SHORT,mlp 4x128,True,-0.0121,0.1964,1.34,0.1095,1.089,0.0785,1.015
US30,LONG,ridge,False,-0.0937,0.0319,0.563,0.0073,0.451,0.0054,0.383
US30,LONG,ridge,True,-0.0865,-0.0404,0.346,-0.0053,0.321,0.02,0.441
US30,LONG,rf (regularised),False,-0.038,0.0199,0.559,0.0322,0.469,0.0251,0.408
US30,LONG,rf (regularised),True,-0.0522,0.0415,0.402,0.0399,0.429,0.0319,0.341
US30,LONG,lightgbm d3,False,-0.0506,-0.0075,0.51,0.0225,0.457,0.0385,0.457
US30,LONG,lightgbm d3,True,-0.04,0.0577,0.493,0.0218,0.451,0.0137,0.373
US30,LONG,xgboost d3,False,-0.0199,0.0177,0.559,0.0322,0.469,0.0347,0.455
US30,LONG,xgboost d3,True,-0.0587,0.0593,0.478,0.05,0.429,0.0228,0.425
US30,LONG,xgboost d6,False,0.015,0.0442,0.559,0.0427,0.477,0.0379,0.445
US30,LONG,xgboost d6,True,-0.0425,0.0488,0.396,0.058,0.451,0.023,0.403
US30,LONG,mlp 2x64,False,-0.0626,0.0452,0.559,0.0461,0.469,0.0495,0.432
US30,LONG,mlp 2x64,True,-0.0062,-0.0198,0.379,-0.0015,0.369,0.0144,0.432
US30,LONG,mlp 4x128,False,-0.0241,0.055,0.478,0.0473,0.384,0.0427,0.391
US30,LONG,mlp 4x128,True,-0.0193,-0.0113,0.52,0.0269,0.512,0.0275,0.455
