feed,cell,block,score,n,Q1,Q2,Q3,Q4,Q5,spread,rho
US100,SHORT,research,anm.ae_err,423,0.0854,0.1657,-0.03,0.1265,0.0821,-0.0033,-0.1079
US100,SHORT,LOCKED,anm.ae_err,244,-0.1268,0.1105,-0.0113,-0.0051,0.0182,0.145,0.0139
US100,SHORT,research,anm.ae_pct,423,0.1122,0.0275,0.2837,0.1371,-0.1323,-0.2444,-0.0981
US100,SHORT,LOCKED,anm.ae_pct,244,-0.0523,-0.0331,-0.0156,-0.0702,0.1566,0.2089,0.0772
US100,SHORT,research,anm.mahal,423,0.0399,0.0919,0.1163,0.1601,0.0211,-0.0188,-0.0885
US100,SHORT,LOCKED,anm.mahal,244,-0.0162,-0.1019,0.1254,-0.0885,0.0693,0.0855,-0.0175
US100,SHORT,research,anm.iso,423,-0.0004,0.112,0.1645,0.0309,0.121,0.1214,-0.1035
US100,SHORT,LOCKED,anm.iso,244,-0.0552,0.0116,0.1056,-0.169,0.0948,0.15,-0.0384
US100,SHORT,research,anm.joint_z,431,0.239,0.1173,0.0644,-0.0123,-0.0022,-0.2411,-0.0864
US100,SHORT,LOCKED,anm.joint_z,244,-0.0141,0.0359,-0.0458,-0.0166,0.0253,0.0395,-0.0263
US100,SHORT,research,anm.resid_move,431,0.0089,0.0652,0.0537,0.2034,0.0777,0.0688,0.0865
US100,SHORT,LOCKED,anm.resid_move,244,0.0188,-0.0361,-0.0493,0.0455,0.0057,-0.0131,0.0308
US30,LONG,research,anm.ae_err,712,0.0156,0.075,0.0485,0.0719,-0.0599,-0.0755,-0.1134
US30,LONG,LOCKED,anm.ae_err,430,-0.0212,-0.0345,0.0342,0.0225,0.059,0.0802,-0.117
US30,LONG,research,anm.ae_pct,710,0.0517,0.1011,-0.007,0.0237,-0.0178,-0.0694,-0.0651
US30,LONG,LOCKED,anm.ae_pct,430,-0.0056,-0.0234,-0.0016,0.0344,0.0567,0.0623,-0.1254
US30,LONG,research,anm.mahal,712,0.072,0.0403,-0.0316,0.0658,0.0038,-0.0681,-0.0569
US30,LONG,LOCKED,anm.mahal,430,-0.0035,-0.0283,0.0183,-0.0176,0.0911,0.0946,-0.1221
US30,LONG,research,anm.iso,712,0.0341,0.0938,0.0049,0.0288,-0.0111,-0.0452,-0.0964
US30,LONG,LOCKED,anm.iso,430,-0.0184,-0.0294,-0.0168,0.0426,0.082,0.1004,-0.0908
US30,LONG,research,anm.joint_z,722,0.0517,0.0226,0.0262,0.0186,0.0319,-0.0199,0.0105
US30,LONG,LOCKED,anm.joint_z,430,0.0054,-0.0079,0.034,-0.0265,0.0551,0.0497,-0.1428
US30,LONG,research,anm.resid_move,722,0.0902,0.0411,-0.0129,0.0587,-0.0259,-0.1161,-0.0014
US30,LONG,LOCKED,anm.resid_move,430,0.0186,-0.0069,-0.0065,0.0466,0.0082,-0.0103,-0.0177
US30_ISO,LONG,whole,anm.ae_err,309,-0.0228,0.067,-0.0113,0.1442,0.0067,0.0295,-0.0376
US30_ISO,LONG,whole,anm.ae_pct,306,-0.0163,0.0758,0.0384,-0.0477,0.1496,0.1659,0.0022
US30_ISO,LONG,whole,anm.mahal,309,-0.024,0.0125,0.0252,0.0493,0.1213,0.1453,-0.0018
US30_ISO,LONG,whole,anm.iso,309,-0.0193,-0.025,0.0717,-0.0025,0.1602,0.1794,0.0005
US30_ISO,LONG,whole,anm.joint_z,325,0.0212,0.0263,0.0351,0.0006,0.0797,0.0585,-0.0857
US30_ISO,LONG,whole,anm.resid_move,325,0.006,0.0363,-0.0075,0.0912,0.0367,0.0307,0.0779
US30_ISO,SHORT,whole,anm.ae_err,182,-0.0275,0.038,-0.0265,-0.0357,-0.1291,-0.1016,-0.158
US30_ISO,SHORT,whole,anm.ae_pct,180,0.0113,-0.0076,-0.1002,-0.1215,0.0388,0.0275,-0.0721
US30_ISO,SHORT,whole,anm.mahal,182,-0.0003,-0.0471,0.0396,-0.1501,-0.0265,-0.0262,-0.1417
US30_ISO,SHORT,whole,anm.iso,182,0.0014,-0.0576,-0.0233,-0.108,0.0023,0.0009,-0.1479
US30_ISO,SHORT,whole,anm.joint_z,193,0.0017,-0.0898,0.0404,-0.1656,0.0477,0.046,-0.0539
US30_ISO,SHORT,whole,anm.resid_move,193,0.0623,-0.1064,-0.0833,-0.0815,0.0452,-0.0171,0.0926
US100,LONG,research,anm.ae_err,933,0.0286,0.017,0.0577,0.0129,0.0496,0.0209,-0.1142
US100,LONG,LOCKED,anm.ae_err,603,-0.0087,-0.0297,0.1198,0.0542,-0.107,-0.0983,-0.1112
US100,LONG,research,anm.ae_pct,930,0.0323,0.0479,0.0529,-0.0259,0.0604,0.0281,-0.0655
US100,LONG,LOCKED,anm.ae_pct,603,-0.0009,-0.0755,0.1144,0.0557,-0.0654,-0.0645,-0.0628
US100,LONG,research,anm.mahal,933,0.025,0.0947,-0.0141,-0.0242,0.0846,0.0597,-0.0926
US100,LONG,LOCKED,anm.mahal,603,-0.0327,-0.0471,0.0621,-0.0264,0.0718,0.1044,-0.0564
US100,LONG,research,anm.iso,933,0.044,0.0531,0.0032,-0.0099,0.0754,0.0314,-0.0964
US100,LONG,LOCKED,anm.iso,603,-0.0096,-0.0808,0.0616,-0.0063,0.0628,0.0724,-0.0567
US100,LONG,research,anm.joint_z,939,0.0761,0.0039,0.0106,0.0019,0.075,-0.0011,-0.0738
US100,LONG,LOCKED,anm.joint_z,603,-0.0203,0.0522,-0.0214,-0.0135,0.0317,0.052,-0.072
US100,LONG,research,anm.resid_move,939,0.0029,-0.0209,0.1351,-0.016,0.0672,0.0643,0.0336
US100,LONG,LOCKED,anm.resid_move,603,-0.0353,-0.0417,0.0239,0.0615,0.0201,0.0555,0.006
US30,SHORT,research,anm.ae_err,346,-0.0253,0.0036,-0.0071,0.0741,0.0851,0.1104,-0.0247
US30,SHORT,LOCKED,anm.ae_err,198,0.071,-0.1118,-0.0738,-0.1356,-0.0835,-0.1545,-0.1606
US30,SHORT,research,anm.ae_pct,345,-0.0142,0.0333,-0.0268,0.0662,0.073,0.0872,0.0002
US30,SHORT,LOCKED,anm.ae_pct,198,0.0168,-0.0608,-0.2143,-0.0488,-0.0232,-0.04,-0.0685
US30,SHORT,research,anm.mahal,346,-0.0491,0.0363,0.0414,0.0095,0.0927,0.1417,0.0089
US30,SHORT,LOCKED,anm.mahal,198,-0.0855,-0.1037,-0.0096,0.0212,-0.152,-0.0665,-0.1703
US30,SHORT,research,anm.iso,346,-0.0883,0.0812,0.0032,-0.0108,0.1461,0.2344,0.0022
US30,SHORT,LOCKED,anm.iso,198,-0.0925,-0.0333,-0.1479,0.03,-0.0839,0.0086,-0.1637
US30,SHORT,research,anm.joint_z,348,0.1267,-0.0473,-0.0123,0.005,0.0479,-0.0789,-0.0205
US30,SHORT,LOCKED,anm.joint_z,198,-0.1048,-0.0981,-0.054,-0.0656,-0.0092,0.0956,-0.09
US30,SHORT,research,anm.resid_move,348,0.1159,-0.036,0.0042,-0.0026,0.0385,-0.0774,0.0009
US30,SHORT,LOCKED,anm.resid_move,198,0.0312,-0.151,-0.0256,-0.1448,-0.0447,-0.0759,0.1302
