side,arm,n,R,pf,win,totR
LONG,as specified,378,-0.044737140399948874,0.9156344713371647,26.71957671957672,-16.910639071180675
LONG,ZERO COST,378,0.07623966377229081,1.1690935283980084,29.365079365079367,28.81859290592593
LONG,spec's 0.24R cost,378,-0.19737902448302203,0.6998025501977477,25.396825396825395,-74.60927125458232
LONG,no 3R target,375,-0.050465159706268005,0.9051884471026456,26.13333333333333,-18.924434889850502
LONG,no EMA20 tightening,378,-0.044737140399948874,0.9156344713371647,26.71957671957672,-16.910639071180675
LONG,flatten at session close,380,-0.10141931409278741,0.8006714321316657,28.68421052631579,-38.539339355259216
LONG,volume-free VWAP,377,-0.04355343032685119,0.9178828532329285,26.790450928381965,-16.4196432332229
SHORT,as specified,283,-0.14207750256903479,0.7510710674760369,25.08833922261484,-40.20793322703685
SHORT,ZERO COST,283,-0.03268907349938815,0.9327144762221891,26.148409893992934,-9.251007800326846
SHORT,spec's 0.24R cost,283,-0.3136208363444008,0.5571586703667943,24.02826855123675,-88.75469668546543
SHORT,no 3R target,283,-0.17339399854879933,0.6983508031635425,24.73498233215548,-49.07050158931021
SHORT,no EMA20 tightening,283,-0.14207750256903479,0.7510710674760369,25.08833922261484,-40.20793322703685
SHORT,flatten at session close,283,-0.1561588047641854,0.7088480440376429,28.975265017667844,-44.19294174826447
SHORT,volume-free VWAP,283,-0.13827991584624738,0.7559721362341163,25.4416961130742,-39.133216184488006
