side,cond,alone_pct,given_rest_pct,n_if_dropped,n_full
LONG,C1,51.778866009794086,72.32704402515722,636,460
LONG,C2,50.59295533659803,87.78625954198473,524,460
LONG,C3,11.884181957637619,29.92843201040989,1537,460
LONG,C4,26.00890908018172,39.21568627450981,1173,460
LONG,C5,25.238952150569354,61.33333333333333,750,460
LONG,C6,49.808248274234465,92.74193548387096,496,460
LONG,ambig,86.41070269632426,88.6319845857418,519,460
SHORT,C1,48.221133990205914,59.29203539823009,565,335
SHORT,C2,49.39524455720101,80.14354066985646,418,335
SHORT,C3,12.369461325151926,22.960932145305005,1459,335
SHORT,C4,25.712431411882708,34.5360824742268,970,335
SHORT,C5,25.238952150569354,56.30252100840336,595,335
SHORT,C6,49.808248274234465,92.797783933518,361,335
SHORT,ambig,86.41070269632426,79.95226730310262,419,335
