year,n,R,totR,win
2010,26,-0.1285383429682273,-3.34199691717391,34.61538461538461
2011,59,-0.05547608477049675,-3.2730890014593084,22.033898305084744
2012,56,-0.024561064601476498,-1.3754196176826838,32.142857142857146
2013,36,0.1502551119856551,5.4091840314835835,30.555555555555557
2014,35,0.09328709080952126,3.265048178333244,31.428571428571427
2015,16,-0.6221806792754785,-9.954890868407656,6.25
2016,32,0.30773873674567687,9.84763957586166,34.375
2017,45,-0.08106588065316866,-3.64796462939259,28.888888888888886
2018,22,-0.11264265556222058,-2.4781384223688527,18.181818181818183
2019,30,-0.1793755502800615,-5.381266508401845,23.333333333333332
2020,45,0.09092654213289722,4.091694395980375,28.888888888888886
2021,31,0.05642804720300422,1.7492694632931307,35.483870967741936
2022,39,0.1969308447135789,7.680302943829577,35.8974358974359
2023,38,-0.19762174689774387,-7.509626382114267,18.421052631578945
2024,46,0.24403896550307952,11.225792413141658,41.30434782608695
2025,34,0.03729265510511163,1.2679502735737953,32.35294117647059
2026,2,2.9840713363717253,5.968142672743451,100.0
