,ema_slow,ema_pull,ema_tight,atr_len,atr_stop,vol_mult,range_mult,wick_body,ambig,tighten_R,tgt_R,R_res,pf_res,totR_res,n_res
ema_slow,1.0,-0.12308063899444724,-0.10230653726572136,-0.03851427648809616,-0.002653437024394559,0.11286510172141206,-0.054902981631498295,-0.02806348592952473,-0.009904440850847972,0.06737708835304089,0.06340611135340801,0.035873804820307706,0.04504387821381891,0.03889622425648843,-0.027657547834449375
ema_pull,-0.12308063899444724,1.0,0.003506716497077268,0.03290914534746433,-0.059580332989223474,-0.23501755975533126,0.09760602654450376,0.07479621359976842,-0.06144994035836378,0.07358664397986114,-0.0689122874138958,0.04870231961509945,0.02576618870404346,0.05127632162206206,-0.21251636417311479
ema_tight,-0.10230653726572136,0.003506716497077268,1.0,-0.0010290063670913817,-0.11683289928183788,-0.04645830689733209,0.008756801038114687,0.1591620921362526,-0.061325440347709155,0.0862443763610162,0.07946789135943327,0.054671155981013256,0.053703854882110914,0.06188191556286003,0.059660299062484094
atr_len,-0.03851427648809616,0.03290914534746433,-0.0010290063670913817,1.0,0.03358722531089672,0.08275664007739246,0.10392564270710836,0.01882334655355862,0.0012337313633316712,0.02573188728685989,-0.03711640729703399,0.11736451099787083,0.11805074125183473,0.11464388956904435,-0.05150563696258452
atr_stop,-0.002653437024394559,-0.059580332989223474,-0.11683289928183788,0.03358722531089672,1.0,0.03782501993477089,0.10937043225347252,-0.08105151372099474,0.12826218798119166,-0.15456958353464653,-0.14430872458431981,0.04747413631492304,0.08157850618246683,0.03616836871227676,-0.02405898076985496
vol_mult,0.11286510172141206,-0.23501755975533126,-0.04645830689733209,0.08275664007739246,0.03782501993477089,1.0,-0.19251239803649023,-0.09254189306774355,-0.1584710143649236,-0.06795649047894449,0.045633194734350645,0.37917791866844053,0.3873911842371576,0.372365908013392,-0.6176761200632279
range_mult,-0.054902981631498295,0.09760602654450376,0.008756801038114687,0.10392564270710836,0.10937043225347252,-0.19251239803649023,1.0,0.02409279235036514,0.05487016054094677,0.013579587276204959,-0.09750274049615257,-0.03597238245525262,-0.033285598100415495,-0.04058156980832105,-0.09547888260057404
wick_body,-0.02806348592952473,0.07479621359976842,0.1591620921362526,0.01882334655355862,-0.08105151372099474,-0.09254189306774355,0.02409279235036514,1.0,-0.23458615022470644,0.012910721439103231,0.08487013701626306,0.08299183343019202,0.08475798984184678,0.09126204475333088,-0.03847600933420794
ambig,-0.009904440850847972,-0.06144994035836378,-0.061325440347709155,0.0012337313633316712,0.12826218798119166,-0.1584710143649236,0.05487016054094677,-0.23458615022470644,1.0,-0.11089010832536035,-0.04519441904076551,0.015239591400088535,0.006124201636645711,0.004980824422723117,-0.17674482381102355
tighten_R,0.06737708835304089,0.07358664397986114,0.0862443763610162,0.02573188728685989,-0.15456958353464653,-0.06795649047894449,0.013579587276204959,0.012910721439103231,-0.11089010832536035,1.0,-0.05561291096966999,-0.0015631698020749925,-0.011501601687036858,0.0021678741199243415,0.03739097394886221
tgt_R,0.06340611135340801,-0.0689122874138958,0.07946789135943327,-0.03711640729703399,-0.14430872458431981,0.045633194734350645,-0.09750274049615257,0.08487013701626306,-0.04519441904076551,-0.05561291096966999,1.0,0.3686210305879755,0.3900578690097313,0.35722357799368315,0.0009679956570892347
R_res,0.035873804820307706,0.04870231961509945,0.054671155981013256,0.11736451099787083,0.04747413631492304,0.37917791866844053,-0.03597238245525262,0.08299183343019202,0.015239591400088535,-0.0015631698020749925,0.3686210305879755,1.0,0.9769490684402231,0.9781905080736852,-0.4063953564743364
pf_res,0.04504387821381891,0.02576618870404346,0.053703854882110914,0.11805074125183473,0.08157850618246683,0.3873911842371576,-0.033285598100415495,0.08475798984184678,0.006124201636645711,-0.011501601687036858,0.3900578690097313,0.9769490684402231,1.0,0.9517802759594786,-0.39913356859782395
totR_res,0.03889622425648843,0.05127632162206206,0.06188191556286003,0.11464388956904435,0.03616836871227676,0.372365908013392,-0.04058156980832105,0.09126204475333088,0.004980824422723117,0.0021678741199243415,0.35722357799368315,0.9781905080736852,0.9517802759594786,1.0,-0.37914061077496775
n_res,-0.027657547834449375,-0.21251636417311479,0.059660299062484094,-0.05150563696258452,-0.02405898076985496,-0.6176761200632279,-0.09547888260057404,-0.03847600933420794,-0.17674482381102355,0.03739097394886221,0.0009679956570892347,-0.4063953564743364,-0.39913356859782395,-0.37914061077496775,1.0
