side,dropped,n,R,pf,win,totR,dR
LONG,-- none (full rule) --,378,-0.044737140399948874,0.9156344713371647,26.71957671957672,-16.910639071180675,0.0
LONG,C1,521,-0.06446242021807017,0.8750853431122924,26.67946257197697,-33.584920933614555,-0.01972527981812129
LONG,C2,424,-0.04330777273773275,0.917992293403469,26.650943396226417,-18.362495640798688,0.001429367662216123
LONG,C3,1027,-0.16249925649585162,0.7461039584890701,26.971762414800388,-166.88673642123962,-0.11776211609590274
LONG,C4,734,-0.05039368945298226,0.9026293929120562,26.83923705722071,-36.98896805848898,-0.005656549053033387
LONG,C5,596,-0.12178419895944588,0.7823567066313335,23.657718120805367,-72.58338257982975,-0.077047058559497
LONG,C6,400,-0.06275521530855514,0.8847685302312022,26.25,-25.10208612342206,-0.01801807490860627
LONG,ambig,426,-0.07930784143154435,0.8540455587770246,25.586854460093893,-33.78514044983789,-0.03457070103159547
SHORT,-- none (full rule) --,283,-0.14207750256903479,0.7510710674760369,25.08833922261484,-40.20793322703685,0.0
SHORT,C1,482,-0.20685746876384198,0.6372589550959543,23.029045643153527,-99.70529994417183,-0.06477996619480719
SHORT,C2,345,-0.18726420919172093,0.6747097190883734,24.057971014492754,-64.60615217114372,-0.045186706622686146
SHORT,C3,963,-0.10620315833615762,0.8296139431634753,27.725856697819314,-102.27364147771979,0.035874344232877164
SHORT,C4,614,-0.0861216712882782,0.8329139953251298,26.384364820846905,-52.87870617100282,0.05595583128075658
SHORT,C5,490,-0.1629749613984128,0.7136504507599125,23.6734693877551,-79.85773108522227,-0.02089745882937802
SHORT,C6,299,-0.1034456789909903,0.8162026465701343,26.08695652173913,-30.9302580183061,0.03863182357804448
SHORT,ambig,351,-0.13292578919991208,0.7654762288657283,25.356125356125357,-46.65695200916914,0.00915171336912271
