feed,side,arm,block,n,R,pct,pf
US100,LONG,as specified,research,502,-0.0121,0.0141,0.978
US100,LONG,as specified,LOCKED,269,-0.0184,-0.0084,0.966
US100,LONG,ZERO COST,research,502,0.0745,0.0341,1.15
US100,LONG,ZERO COST,LOCKED,269,0.0162,0.0014,1.031
US100,LONG,no 3R target,research,499,0.0268,0.0322,1.047
US100,LONG,no 3R target,LOCKED,269,-0.0092,-0.0152,0.983
US100,LONG,no EMA20 tightening,research,502,-0.0135,0.0135,0.976
US100,LONG,no EMA20 tightening,LOCKED,269,-0.0184,-0.0084,0.966
US100,LONG,flatten at close,research,504,-0.0001,0.0245,1.0
US100,LONG,flatten at close,LOCKED,270,-0.0527,-0.0318,0.898
US100,LONG,volume-free VWAP,research,499,0.0097,0.0201,1.018
US100,LONG,volume-free VWAP,LOCKED,270,-0.0229,-0.0108,0.958
US100,SHORT,as specified,research,357,0.0174,-0.0123,1.032
US100,SHORT,as specified,LOCKED,225,-0.1509,-0.0529,0.714
US100,SHORT,ZERO COST,research,357,0.0728,0.007,1.144
US100,SHORT,ZERO COST,LOCKED,225,-0.1267,-0.0425,0.751
US100,SHORT,no 3R target,research,357,0.0118,-0.0299,1.021
US100,SHORT,no 3R target,LOCKED,225,-0.1256,-0.0462,0.762
US100,SHORT,no EMA20 tightening,research,357,0.0187,-0.0116,1.034
US100,SHORT,no EMA20 tightening,LOCKED,225,-0.1509,-0.0529,0.714
US100,SHORT,flatten at close,research,357,0.0613,0.0193,1.123
US100,SHORT,flatten at close,LOCKED,225,-0.1312,-0.0518,0.739
US100,SHORT,volume-free VWAP,research,360,0.0201,-0.0104,1.037
US100,SHORT,volume-free VWAP,LOCKED,226,-0.1364,-0.0487,0.74
US30,LONG,as specified,research,333,0.1975,0.0151,1.402
US30,LONG,as specified,LOCKED,177,-0.0762,-0.0073,0.859
US30,LONG,ZERO COST,research,333,0.2644,0.027,1.593
US30,LONG,ZERO COST,LOCKED,177,-0.0406,0.0012,0.921
US30,LONG,no 3R target,research,333,0.2045,0.0149,1.409
US30,LONG,no 3R target,LOCKED,177,0.0583,0.018,1.108
US30,LONG,no EMA20 tightening,research,333,0.1975,0.0151,1.402
US30,LONG,no EMA20 tightening,LOCKED,177,-0.074,-0.0066,0.863
US30,LONG,flatten at close,research,333,0.106,0.0218,1.237
US30,LONG,flatten at close,LOCKED,179,-0.0667,-0.0155,0.871
US30,LONG,volume-free VWAP,research,326,0.205,0.0153,1.415
US30,LONG,volume-free VWAP,LOCKED,178,-0.0889,-0.0138,0.837
US30,SHORT,as specified,research,293,-0.1767,-0.0311,0.705
US30,SHORT,as specified,LOCKED,187,-0.0428,0.0023,0.916
US30,SHORT,ZERO COST,research,293,-0.1314,-0.0192,0.767
US30,SHORT,ZERO COST,LOCKED,187,-0.0158,0.0108,0.968
US30,SHORT,no 3R target,research,293,-0.1176,-0.0046,0.806
US30,SHORT,no 3R target,LOCKED,187,0.0046,0.0029,1.009
US30,SHORT,no EMA20 tightening,research,293,-0.1767,-0.0311,0.705
US30,SHORT,no EMA20 tightening,LOCKED,187,-0.0428,0.0023,0.916
US30,SHORT,flatten at close,research,293,-0.0917,0.009,0.825
US30,SHORT,flatten at close,LOCKED,189,-0.0417,-0.0092,0.914
US30,SHORT,volume-free VWAP,research,293,-0.1876,-0.0351,0.688
US30,SHORT,volume-free VWAP,LOCKED,190,-0.0338,0.0056,0.934
US30_ISO,LONG,as specified,research,111,0.0052,0.0153,1.01
US30_ISO,LONG,as specified,LOCKED,57,0.1099,0.0155,1.224
US30_ISO,LONG,ZERO COST,research,111,0.0386,0.0226,1.081
US30_ISO,LONG,ZERO COST,LOCKED,57,0.1332,0.0217,1.28
US30_ISO,LONG,no 3R target,research,111,0.096,0.0463,1.192
US30_ISO,LONG,no 3R target,LOCKED,56,-0.0447,-0.0072,0.911
US30_ISO,LONG,no EMA20 tightening,research,111,0.0092,0.0167,1.018
US30_ISO,LONG,no EMA20 tightening,LOCKED,57,0.1029,0.0102,1.209
US30_ISO,LONG,flatten at close,research,112,0.0348,0.0177,1.075
US30_ISO,LONG,flatten at close,LOCKED,58,0.0213,-0.0257,1.047
US30_ISO,LONG,volume-free VWAP,research,112,-0.0002,0.0132,1.0
US30_ISO,LONG,volume-free VWAP,LOCKED,57,0.1099,0.0155,1.224
US30_ISO,SHORT,as specified,research,126,0.0269,-0.0173,1.052
US30_ISO,SHORT,as specified,LOCKED,49,-0.2001,-0.0935,0.6
US30_ISO,SHORT,ZERO COST,research,126,0.0514,-0.0101,1.103
US30_ISO,SHORT,ZERO COST,LOCKED,49,-0.1787,-0.0871,0.631
US30_ISO,SHORT,no 3R target,research,126,-0.0195,-0.0317,0.963
US30_ISO,SHORT,no 3R target,LOCKED,49,-0.2995,-0.1145,0.426
US30_ISO,SHORT,no EMA20 tightening,research,126,0.0269,-0.0173,1.052
US30_ISO,SHORT,no EMA20 tightening,LOCKED,49,-0.2001,-0.0935,0.6
US30_ISO,SHORT,flatten at close,research,126,0.0661,0.0116,1.135
US30_ISO,SHORT,flatten at close,LOCKED,50,-0.2066,-0.0861,0.589
US30_ISO,SHORT,volume-free VWAP,research,127,0.024,-0.0184,1.047
US30_ISO,SHORT,volume-free VWAP,LOCKED,49,-0.2001,-0.0935,0.6
