feed,side,cond,pass_all_rth,pass_given_others,n_others,n_sig
US100,LONG,C1,59.67,76.14,1354,1031
US100,LONG,C2,56.64,86.06,1198,1031
US100,LONG,C3,15.22,33.22,3104,1031
US100,LONG,C4,27.11,41.12,2507,1031
US100,LONG,C5,45.73,73.43,1404,1031
US100,LONG,C6,72.74,95.02,1085,1031
US100,LONG,ambig,90.67,90.84,1135,1031
US100,SHORT,C1,40.33,54.98,1406,773
US100,SHORT,C2,43.34,86.27,896,773
US100,SHORT,C3,13.83,28.81,2683,773
US100,SHORT,C4,25.79,42.85,1804,773
US100,SHORT,C5,45.73,79.94,967,773
US100,SHORT,C6,72.74,96.75,799,773
US100,SHORT,ambig,90.67,84.85,911,773
US30,LONG,C1,57.59,70.47,921,649
US30,LONG,C2,55.19,78.29,829,649
US30,LONG,C3,15.03,29.1,2230,649
US30,LONG,C4,24.73,35.45,1831,649
US30,LONG,C5,41.65,66.7,973,649
US30,LONG,C6,73.55,97.3,667,649
US30,LONG,ambig,85.01,83.1,781,649
US30,SHORT,C1,42.41,56.96,1085,618
US30,SHORT,C2,44.78,81.75,756,618
US30,SHORT,C3,14.66,28.53,2166,618
US30,SHORT,C4,23.64,37.18,1662,618
US30,SHORT,C5,41.65,74.37,831,618
US30,SHORT,C6,73.55,98.1,630,618
US30,SHORT,ambig,85.01,78.73,785,618
US30_ISO,LONG,C1,56.07,79.43,282,224
US30_ISO,LONG,C2,53.03,86.49,259,224
US30_ISO,LONG,C3,13.92,30.07,745,224
US30_ISO,LONG,C4,32.07,48.17,465,224
US30_ISO,LONG,C5,44.53,72.73,308,224
US30_ISO,LONG,C6,70.4,96.14,233,224
US30_ISO,LONG,ambig,84.92,83.9,267,224
US30_ISO,SHORT,C1,43.93,67.39,371,250
US30_ISO,SHORT,C2,46.97,89.61,279,250
US30_ISO,SHORT,C3,14.27,32.72,764,250
US30_ISO,SHORT,C4,31.42,53.53,467,250
US30_ISO,SHORT,C5,44.53,80.65,310,250
US30_ISO,SHORT,C6,70.4,98.04,255,250
US30_ISO,SHORT,ambig,84.92,82.24,304,250
