feed,side,block,n,R,pct,ctl_R,p_R,ctl_pct,p_pct
US100,LONG,research,502,-0.012059093748126196,0.014137838598427075,-0.05247637354711221,0.2733333333333333,-0.007720589371116677,0.10333333333333333
US100,LONG,LOCKED,269,-0.018441506221668534,-0.00844871463628447,0.022578481160877795,0.6966666666666667,0.014675016317510543,0.8
US100,SHORT,research,357,0.017403275800354154,-0.012273307253360824,-0.16409973498478586,0.01,-0.017806402602576182,0.41
US100,SHORT,LOCKED,225,-0.1508953874818217,-0.05294895067963491,-0.09243063914550506,0.7333333333333333,-0.016057254600813337,0.92
US30,LONG,research,333,0.19754138232805452,0.015132491926866883,-0.07202354475538578,0.0,-0.006626091064110456,0.13
US30,LONG,LOCKED,177,-0.07620996809027629,-0.0073449756684547405,-0.030930172390808343,0.6733333333333333,0.0005424034104487443,0.67
US30,SHORT,research,293,-0.17674097782653306,-0.031077813270983443,-0.1343505777081092,0.7066666666666667,-0.009883492546562785,0.8733333333333333
US30,SHORT,LOCKED,187,-0.04280447008363622,0.0022742954861589624,-0.09216334279176269,0.31,-0.00909865889560855,0.29333333333333333
US30_ISO,LONG,research,111,0.0051816077020352186,0.01531394450854866,-0.0394557526651972,0.3933333333333333,-0.00014719237260229752,0.30333333333333334
US30_ISO,LONG,LOCKED,57,0.1099324642766561,0.015462949934684988,-0.0848301358575209,0.14,-0.009242204558475197,0.20333333333333334
US30_ISO,SHORT,research,126,0.02692424441576329,-0.017312808970826724,-0.05532796159413357,0.30666666666666664,-0.0036473001206101426,0.6933333333333334
US30_ISO,SHORT,LOCKED,49,-0.2000716011272576,-0.09349311865928338,-0.011546265602500713,0.8466666666666667,-0.0044884723520634134,0.9933333333333333
