feed,med_risk_pts,med_risk_pct,round_turn,cost_in_R,target_R,breakeven_win
US100,39.48,0.324,1.7,0.0431,1.0,52.15
US100,39.48,0.324,1.7,0.0431,2.0,34.77
US100,39.48,0.324,1.7,0.0431,3.0,26.08
US100,39.48,0.324,1.7,0.0431,5.0,17.38
US30,74.87,0.244,3.2,0.0427,1.0,52.14
US30,74.87,0.244,3.2,0.0427,2.0,34.76
US30,74.87,0.244,3.2,0.0427,3.0,26.07
US30,74.87,0.244,3.2,0.0427,5.0,17.38
US30_ISO,128.0,0.279,3.2,0.025,1.0,51.25
US30_ISO,128.0,0.279,3.2,0.025,2.0,34.17
US30_ISO,128.0,0.279,3.2,0.025,3.0,25.63
US30_ISO,128.0,0.279,3.2,0.025,5.0,17.08
