feed,study,param,importance
US100,totR,ambig,0.858
US100,totR,vol_mult,0.0681
US100,totR,tighten_R,0.0452
US100,totR,side,0.0179
US100,totR,ema_slow,0.0039
US100,totR,flatten,0.0014
US100,pf,ambig,0.5227
US100,pf,vol_mult,0.1966
US100,pf,tighten_R,0.1153
US100,pf,range_mult,0.0727
US100,pf,ema_slow,0.0269
US100,pf,ema_pull,0.0252
US100,retdd,vol_mult,0.4265
US100,retdd,ambig,0.395
US100,retdd,atr_stop,0.0964
US100,retdd,ema_pull,0.0322
US100,retdd,tighten_R,0.0202
US100,retdd,range_mult,0.0097
US30,totR,vol_mult,0.4428
US30,totR,ambig,0.2527
US30,totR,ema_pull,0.234
US30,totR,range_mult,0.0192
US30,totR,ema_slow,0.0136
US30,totR,wick_body,0.0123
US30,pf,vol_mult,0.4595
US30,pf,ema_pull,0.2567
US30,pf,ambig,0.2075
US30,pf,ema_slow,0.0358
US30,pf,tighten_R,0.0094
US30,pf,atr_stop,0.0073
US30,retdd,vol_mult,0.4607
US30,retdd,ema_pull,0.2517
US30,retdd,ambig,0.2006
US30,retdd,ema_slow,0.0296
US30,retdd,wick_body,0.0171
US30,retdd,range_mult,0.0111
