,US100|Optuna totR,US100|Optuna pf,US100|Optuna retdd,US30|Optuna totR,US30|Optuna pf,US30|Optuna retdd,US100|As published L,US100|As published S,US30|As published L,US30|As published S
US100|Optuna totR,1.0,0.30491622540556723,0.26634166342395776,-0.0369582090653255,-0.024201280416543142,-0.025214668650884967,-0.01386898050149956,0.2831990285354162,-0.01811900400565461,0.1016736117301516
US100|Optuna pf,0.30491622540556723,1.0,0.3013102240385955,-0.018349676739339134,-0.015574893675386423,-0.016188204350396345,-0.022638005375547,0.3082048330129297,-0.020256692736462956,0.09843579968420818
US100|Optuna retdd,0.26634166342395776,0.3013102240385955,1.0,-0.024344243797807037,-0.01179043523609275,-0.011460560778511921,-0.011331034530019093,0.47732414124482997,-0.033077835137992194,0.2098533372817242
US30|Optuna totR,-0.0369582090653255,-0.018349676739339134,-0.024344243797807037,1.0,0.6041760475433381,0.6506994483556705,0.0652106594365494,-0.00564565697205006,0.31904233871002413,-0.003359897046389258
US30|Optuna pf,-0.024201280416543142,-0.015574893675386423,-0.01179043523609275,0.6041760475433381,1.0,0.9048920050115675,-0.025132465049213577,0.0011675122776241274,0.12709086275331669,0.0025949795069897877
US30|Optuna retdd,-0.025214668650884967,-0.016188204350396345,-0.011460560778511921,0.6506994483556705,0.9048920050115675,1.0,-0.037346082747319646,-0.0002825318819606784,0.1334292140235583,0.0024130529639755124
US100|As published L,-0.01386898050149956,-0.022638005375547,-0.011331034530019093,0.0652106594365494,-0.025132465049213577,-0.037346082747319646,1.0,-0.014411642454823027,0.13215546485427984,-0.01790338730963031
US100|As published S,0.2831990285354162,0.3082048330129297,0.47732414124482997,-0.00564565697205006,0.0011675122776241274,-0.0002825318819606784,-0.014411642454823027,1.0,-0.006641555180140667,0.1525856266948557
US30|As published L,-0.01811900400565461,-0.020256692736462956,-0.033077835137992194,0.31904233871002413,0.12709086275331669,0.1334292140235583,0.13215546485427984,-0.006641555180140667,1.0,-0.010625479806461984
US30|As published S,0.1016736117301516,0.09843579968420818,0.2098533372817242,-0.003359897046389258,0.0025949795069897877,0.0024130529639755124,-0.01790338730963031,0.1525856266948557,-0.010625479806461984,1.0
