chosen_on,cell,n,R,pct,pf,ctl_R,p_ctl,boot_p
US100,Optuna totR,193,-0.1043,-0.0321,0.813,-0.1241,0.45,0.855
US100,Optuna pf,26,-0.5035,-0.0792,0.29,-0.1057,0.905,
US100,Optuna retdd,106,-0.0389,-0.0272,0.912,-0.0287,0.553,0.689
US30,Optuna totR,325,0.157,0.0326,1.311,-0.0563,0.103,0.084
US30,Optuna pf,98,-0.097,-0.0131,0.809,-0.0538,0.58,0.638
US30,Optuna retdd,105,-0.0817,-0.002,0.821,-0.0701,0.52,0.534
US100,As published L,168,0.0407,0.0154,1.082,-0.0654,0.133,0.287
US100,As published S,175,-0.0366,-0.0386,0.928,-0.0397,0.487,0.829
US30,As published L,168,0.0407,0.0154,1.082,-0.0612,0.137,0.322
US30,As published S,175,-0.0366,-0.0386,0.928,-0.0378,0.49,0.83
