feed,test_from,test_to,post_cut,re_chosen,random_cell,published
US100,2019-11-01T00:00:00,2020-11-01T00:00:00,False,1.1837,-0.3064,0.0196
US100,2020-11-01T00:00:00,2021-11-01T00:00:00,False,-0.202,0.1472,0.0846
US100,2021-11-01T00:00:00,2022-11-01T00:00:00,False,0.2241,-0.1253,-0.0266
US100,2022-11-01T00:00:00,2023-11-01T00:00:00,True,-0.2685,-0.0882,0.0623
US100,2023-11-01T00:00:00,2024-11-01T00:00:00,True,-0.0796,-0.0148,-0.0409
US30,2019-11-01T00:00:00,2020-11-01T00:00:00,False,-0.0433,-0.0296,0.1046
US30,2020-11-01T00:00:00,2021-11-01T00:00:00,False,0.0269,-0.1788,0.3275
US30,2021-11-01T00:00:00,2022-11-01T00:00:00,False,-0.0966,-0.022,0.0465
US30,2022-11-01T00:00:00,2023-11-01T00:00:00,True,-0.4589,-0.2863,-0.0974
US30,2023-11-01T00:00:00,2024-11-01T00:00:00,True,-0.2564,0.2699,-0.1788
