feed,cell,side,regime,block,n,R,always_n,always_R,edge
US100,As published L,LONG,bull,research,433,0.01,380,0.1958,-0.1858
US100,As published L,LONG,bull,LOCKED,227,-0.0071,194,-0.031,0.0239
US100,As published L,LONG,bear,research,69,-0.1503,58,0.1862,-0.3365
US100,As published L,LONG,bear,LOCKED,42,-0.0798,36,0.2163,-0.2961
US100,As published L,SHORT,bull,research,270,0.0459,239,0.3369,-0.2911
US100,As published L,SHORT,bull,LOCKED,171,-0.0942,153,0.1724,-0.2666
US100,As published L,SHORT,bear,research,87,-0.071,80,0.0208,-0.0918
US100,As published L,SHORT,bear,LOCKED,54,-0.3305,46,0.1503,-0.4808
US100,As published S,LONG,bull,research,433,0.01,380,0.1958,-0.1858
US100,As published S,LONG,bull,LOCKED,227,-0.0071,194,-0.031,0.0239
US100,As published S,LONG,bear,research,69,-0.1503,58,0.1862,-0.3365
US100,As published S,LONG,bear,LOCKED,42,-0.0798,36,0.2163,-0.2961
US100,As published S,SHORT,bull,research,270,0.0459,239,0.3369,-0.2911
US100,As published S,SHORT,bull,LOCKED,171,-0.0942,153,0.1724,-0.2666
US100,As published S,SHORT,bear,research,87,-0.071,80,0.0208,-0.0918
US100,As published S,SHORT,bear,LOCKED,54,-0.3305,46,0.1503,-0.4808
US100,US100 Optuna totR,LONG,bull,research,266,0.0775,254,0.4238,-0.3463
US100,US100 Optuna totR,LONG,bull,LOCKED,147,-0.012,135,-0.0973,0.0853
US100,US100 Optuna totR,LONG,bear,research,50,-0.2168,45,-0.2773,0.0605
US100,US100 Optuna totR,LONG,bear,LOCKED,39,0.0668,34,0.1978,-0.131
US100,US100 Optuna totR,SHORT,bull,research,371,0.2911,337,0.5908,-0.2998
US100,US100 Optuna totR,SHORT,bull,LOCKED,204,0.1646,178,0.7812,-0.6166
US100,US100 Optuna totR,SHORT,bear,research,60,0.6366,56,0.6895,-0.0529
US100,US100 Optuna totR,SHORT,bear,LOCKED,40,-0.3617,36,-0.4127,0.051
US100,US100 Optuna pf,LONG,bull,research,51,0.4208,51,1.2662,-0.8453
US100,US100 Optuna pf,LONG,bull,LOCKED,26,0.04,25,0.4,-0.36
US100,US100 Optuna pf,LONG,bear,research,23,-0.1823,23,0.0178,-0.2002
US100,US100 Optuna pf,LONG,bear,LOCKED,16,0.5988,16,1.1096,-0.5108
US100,US100 Optuna pf,SHORT,bull,research,84,0.7022,84,1.5535,-0.8512
US100,US100 Optuna pf,SHORT,bull,LOCKED,48,0.2463,48,2.9174,-2.6711
US100,US100 Optuna pf,SHORT,bear,research,18,0.4097,18,0.2755,0.1341
US100,US100 Optuna pf,SHORT,bear,LOCKED,14,-0.3077,14,0.0472,-0.3549
US100,US100 Optuna retdd,LONG,bull,research,383,-0.0386,324,0.0382,-0.0768
US100,US100 Optuna retdd,LONG,bull,LOCKED,192,-0.0383,161,-0.1634,0.1251
US100,US100 Optuna retdd,LONG,bear,research,46,-0.0805,41,-0.356,0.2755
US100,US100 Optuna retdd,LONG,bear,LOCKED,31,-0.0513,27,-0.0465,-0.0048
US100,US100 Optuna retdd,SHORT,bull,research,186,0.2457,170,0.3188,-0.0731
US100,US100 Optuna retdd,SHORT,bull,LOCKED,119,-0.0267,102,0.0786,-0.1053
US100,US100 Optuna retdd,SHORT,bear,research,84,0.3468,71,0.1985,0.1483
US100,US100 Optuna retdd,SHORT,bear,LOCKED,46,-0.0184,43,0.0102,-0.0286
US100,US30 Optuna totR,LONG,bull,research,793,0.1431,581,0.0807,0.0625
US100,US30 Optuna totR,LONG,bull,LOCKED,498,0.0037,335,0.0833,-0.0796
US100,US30 Optuna totR,LONG,bear,research,146,-0.0425,98,-0.3198,0.2773
US100,US30 Optuna totR,LONG,bear,LOCKED,105,-0.0315,72,0.0149,-0.0464
US100,US30 Optuna totR,SHORT,bull,research,504,0.0463,380,0.5724,-0.5261
US100,US30 Optuna totR,SHORT,bull,LOCKED,374,-0.1557,243,0.7827,-0.9384
US100,US30 Optuna totR,SHORT,bear,research,183,-0.0161,118,-0.1664,0.1503
US100,US30 Optuna totR,SHORT,bear,LOCKED,120,-0.2129,78,-0.3056,0.0926
US100,US30 Optuna pf,LONG,bull,research,241,0.1293,238,0.1963,-0.0671
US100,US30 Optuna pf,LONG,bull,LOCKED,129,-0.0807,129,0.2794,-0.3601
US100,US30 Optuna pf,LONG,bear,research,24,0.3644,24,-0.0818,0.4462
US100,US30 Optuna pf,LONG,bear,LOCKED,19,-0.3034,19,0.1108,-0.4142
US100,US30 Optuna pf,SHORT,bull,research,136,-0.0415,133,0.6766,-0.7181
US100,US30 Optuna pf,SHORT,bull,LOCKED,75,0.1381,74,1.2166,-1.0785
US100,US30 Optuna pf,SHORT,bear,research,38,-0.3241,37,-0.1278,-0.1964
US100,US30 Optuna pf,SHORT,bear,LOCKED,19,0.0826,19,0.8382,-0.7556
US100,US30 Optuna retdd,LONG,bull,research,261,0.1118,258,0.0078,0.104
US100,US30 Optuna retdd,LONG,bull,LOCKED,127,0.0579,126,0.1924,-0.1345
US100,US30 Optuna retdd,LONG,bear,research,29,0.196,29,-0.244,0.44
US100,US30 Optuna retdd,LONG,bear,LOCKED,22,-0.2602,22,0.2855,-0.5457
US100,US30 Optuna retdd,SHORT,bull,research,175,-0.0368,170,0.617,-0.6538
US100,US30 Optuna retdd,SHORT,bull,LOCKED,103,0.036,101,1.3186,-1.2826
US100,US30 Optuna retdd,SHORT,bear,research,43,-0.2417,42,-0.0518,-0.1899
US100,US30 Optuna retdd,SHORT,bear,LOCKED,23,-0.2617,23,0.2496,-0.5113
US30,As published L,LONG,bull,research,285,0.2108,257,0.1268,0.084
US30,As published L,LONG,bull,LOCKED,144,-0.0816,135,0.0297,-0.1113
US30,As published L,LONG,bear,research,48,0.1187,43,0.5285,-0.4098
US30,As published L,LONG,bear,LOCKED,33,-0.0526,30,0.0064,-0.059
US30,As published L,SHORT,bull,research,220,-0.257,197,0.0055,-0.2624
US30,As published L,SHORT,bull,LOCKED,129,-0.0383,111,0.1407,-0.179
US30,As published L,SHORT,bear,research,73,0.065,67,0.2035,-0.1385
US30,As published L,SHORT,bear,LOCKED,58,-0.0528,50,0.2468,-0.2996
US30,As published S,LONG,bull,research,285,0.2108,257,0.1268,0.084
US30,As published S,LONG,bull,LOCKED,144,-0.0816,135,0.0297,-0.1113
