feed,cell,side,filter,block,n,R,pct,pf,win
US100,As published L,LONG,both regimes,research,502,-0.0121,0.0141,0.978,28.3
US100,As published L,LONG,both regimes,LOCKED,269,-0.0184,-0.0084,0.966,27.5
US100,As published L,LONG,bull only,research,433,0.01,0.0452,1.018,29.1
US100,As published L,LONG,bull only,LOCKED,227,-0.0071,-0.0054,0.987,28.2
US100,As published L,LONG,bear only,research,69,-0.1503,-0.1808,0.708,23.2
US100,As published L,LONG,bear only,LOCKED,42,-0.0798,-0.0249,0.85,23.8
US100,As published L,SHORT,both regimes,research,357,0.0174,-0.0123,1.032,28.3
US100,As published L,SHORT,both regimes,LOCKED,225,-0.1509,-0.0529,0.714,24.9
US100,As published L,SHORT,bull only,research,270,0.0459,0.0268,1.087,28.9
US100,As published L,SHORT,bull only,LOCKED,171,-0.0942,-0.0066,0.82,25.7
US100,As published L,SHORT,bear only,research,87,-0.071,-0.1336,0.882,26.4
US100,As published L,SHORT,bear only,LOCKED,54,-0.3305,-0.1997,0.395,22.2
US100,As published S,LONG,both regimes,research,502,-0.0121,0.0141,0.978,28.3
US100,As published S,LONG,both regimes,LOCKED,269,-0.0184,-0.0084,0.966,27.5
US100,As published S,LONG,bull only,research,433,0.01,0.0452,1.018,29.1
US100,As published S,LONG,bull only,LOCKED,227,-0.0071,-0.0054,0.987,28.2
US100,As published S,LONG,bear only,research,69,-0.1503,-0.1808,0.708,23.2
US100,As published S,LONG,bear only,LOCKED,42,-0.0798,-0.0249,0.85,23.8
US100,As published S,SHORT,both regimes,research,357,0.0174,-0.0123,1.032,28.3
US100,As published S,SHORT,both regimes,LOCKED,225,-0.1509,-0.0529,0.714,24.9
US100,As published S,SHORT,bull only,research,270,0.0459,0.0268,1.087,28.9
US100,As published S,SHORT,bull only,LOCKED,171,-0.0942,-0.0066,0.82,25.7
US100,As published S,SHORT,bear only,research,87,-0.071,-0.1336,0.882,26.4
US100,As published S,SHORT,bear only,LOCKED,54,-0.3305,-0.1997,0.395,22.2
US100,US100 Optuna totR,LONG,both regimes,research,316,0.0309,0.0318,1.054,35.1
US100,US100 Optuna totR,LONG,both regimes,LOCKED,186,0.0045,-0.0024,1.008,30.1
US100,US100 Optuna totR,LONG,bull only,research,266,0.0775,0.0644,1.139,36.8
US100,US100 Optuna totR,LONG,bull only,LOCKED,147,-0.012,-0.0152,0.979,29.9
US100,US100 Optuna totR,LONG,bear only,research,50,-0.2168,-0.1418,0.657,26.0
US100,US100 Optuna totR,LONG,bear only,LOCKED,39,0.0668,0.046,1.122,30.8
US100,US100 Optuna totR,SHORT,both regimes,research,431,0.3392,0.0816,1.561,28.1
US100,US100 Optuna totR,SHORT,both regimes,LOCKED,244,0.0783,-0.0029,1.131,24.6
US100,US100 Optuna totR,SHORT,bull only,research,371,0.2911,0.044,1.47,27.0
US100,US100 Optuna totR,SHORT,bull only,LOCKED,204,0.1646,0.025,1.282,25.0
US100,US100 Optuna totR,SHORT,bear only,research,60,0.6366,0.3141,2.227,35.0
US100,US100 Optuna totR,SHORT,bear only,LOCKED,40,-0.3617,-0.1449,0.458,22.5
US100,US100 Optuna pf,LONG,both regimes,research,74,0.2334,0.0934,1.471,44.6
US100,US100 Optuna pf,LONG,both regimes,LOCKED,42,0.2529,0.1249,1.507,40.5
US100,US100 Optuna pf,LONG,bull only,research,51,0.4208,0.2137,2.001,54.9
US100,US100 Optuna pf,LONG,bull only,LOCKED,26,0.04,-0.0194,1.074,38.5
US100,US100 Optuna pf,LONG,bear only,research,23,-0.1823,-0.1734,0.724,21.7
US100,US100 Optuna pf,LONG,bear only,LOCKED,16,0.5988,0.3595,2.401,43.8
US100,US100 Optuna pf,SHORT,both regimes,research,102,0.6506,0.1755,2.478,43.1
US100,US100 Optuna pf,SHORT,both regimes,LOCKED,62,0.1212,0.0167,1.238,35.5
US100,US100 Optuna pf,SHORT,bull only,research,84,0.7022,0.2035,2.699,46.4
US100,US100 Optuna pf,SHORT,bull only,LOCKED,48,0.2463,0.1034,1.51,37.5
US100,US100 Optuna pf,SHORT,bear only,research,18,0.4097,0.0449,1.725,27.8
US100,US100 Optuna pf,SHORT,bear only,LOCKED,14,-0.3077,-0.2804,0.489,28.6
US100,US100 Optuna retdd,LONG,both regimes,research,429,-0.0431,-0.0194,0.903,33.8
US100,US100 Optuna retdd,LONG,both regimes,LOCKED,223,-0.0401,-0.0079,0.91,30.9
US100,US100 Optuna retdd,LONG,bull only,research,383,-0.0386,-0.0126,0.914,33.9
US100,US100 Optuna retdd,LONG,bull only,LOCKED,192,-0.0383,-0.0115,0.914,31.8
US100,US100 Optuna retdd,LONG,bear only,research,46,-0.0805,-0.076,0.798,32.6
US100,US100 Optuna retdd,LONG,bear only,LOCKED,31,-0.0513,0.014,0.885,25.8
US100,US100 Optuna retdd,SHORT,both regimes,research,270,0.2771,0.1572,1.749,37.4
US100,US100 Optuna retdd,SHORT,both regimes,LOCKED,165,-0.0244,-0.0165,0.941,32.7
US100,US100 Optuna retdd,SHORT,bull only,research,186,0.2457,0.1438,1.696,37.1
US100,US100 Optuna retdd,SHORT,bull only,LOCKED,119,-0.0267,-0.0171,0.938,29.4
US100,US100 Optuna retdd,SHORT,bear only,research,84,0.3468,0.187,1.851,38.1
US100,US100 Optuna retdd,SHORT,bear only,LOCKED,46,-0.0184,-0.0149,0.949,41.3
US100,US30 Optuna totR,LONG,both regimes,research,939,0.1143,0.0335,1.194,30.8
US100,US30 Optuna totR,LONG,both regimes,LOCKED,603,-0.0024,0.0058,0.996,31.2
US100,US30 Optuna totR,LONG,bull only,research,793,0.1431,0.0457,1.242,30.9
US100,US30 Optuna totR,LONG,bull only,LOCKED,498,0.0037,0.013,1.007,31.9
US100,US30 Optuna totR,LONG,bear only,research,146,-0.0425,-0.0324,0.924,30.1
US100,US30 Optuna totR,LONG,bear only,LOCKED,105,-0.0315,-0.0288,0.948,27.6
US100,US30 Optuna totR,SHORT,both regimes,research,687,0.0297,-0.0248,1.05,28.8
US100,US30 Optuna totR,SHORT,both regimes,LOCKED,494,-0.1696,-0.0723,0.709,26.7
US100,US30 Optuna totR,SHORT,bull only,research,504,0.0463,-0.0011,1.078,29.0
US100,US30 Optuna totR,SHORT,bull only,LOCKED,374,-0.1557,-0.0529,0.737,25.4
US100,US30 Optuna totR,SHORT,bear only,research,183,-0.0161,-0.09,0.973,28.4
US100,US30 Optuna totR,SHORT,bear only,LOCKED,120,-0.2129,-0.1327,0.614,30.8
US100,US30 Optuna pf,LONG,both regimes,research,265,0.1506,0.0843,1.317,35.8
US100,US30 Optuna pf,LONG,both regimes,LOCKED,148,-0.1093,-0.016,0.773,33.8
US100,US30 Optuna pf,LONG,bull only,research,241,0.1293,0.0571,1.271,34.9
US100,US30 Optuna pf,LONG,bull only,LOCKED,129,-0.0807,0.0023,0.829,34.1
US100,US30 Optuna pf,LONG,bear only,research,24,0.3644,0.357,1.82,45.8
US100,US30 Optuna pf,LONG,bear only,LOCKED,19,-0.3034,-0.1401,0.45,31.6
US100,US30 Optuna pf,SHORT,both regimes,research,174,-0.1032,-0.0431,0.792,29.3
US100,US30 Optuna pf,SHORT,both regimes,LOCKED,94,0.1269,-0.0235,1.283,37.2
US100,US30 Optuna pf,SHORT,bull only,research,136,-0.0415,0.0108,0.915,32.4
US100,US30 Optuna pf,SHORT,bull only,LOCKED,75,0.1381,-0.0001,1.317,36.0
US100,US30 Optuna pf,SHORT,bear only,research,38,-0.3241,-0.2358,0.371,18.4
US100,US30 Optuna pf,SHORT,bear only,LOCKED,19,0.0826,-0.1162,1.164,42.1
US100,US30 Optuna retdd,LONG,both regimes,research,290,0.1202,0.0524,1.239,35.5
US100,US30 Optuna retdd,LONG,both regimes,LOCKED,149,0.011,0.0076,1.023,32.9
US100,US30 Optuna retdd,LONG,bull only,research,261,0.1118,0.0347,1.22,34.9
US100,US30 Optuna retdd,LONG,bull only,LOCKED,127,0.0579,0.0365,1.124,33.1
US100,US30 Optuna retdd,LONG,bear only,research,29,0.196,0.2118,1.449,41.4
US100,US30 Optuna retdd,LONG,bear only,LOCKED,22,-0.2602,-0.1592,0.498,31.8
US100,US30 Optuna retdd,SHORT,both regimes,research,218,-0.0772,-0.0387,0.84,31.7
US100,US30 Optuna retdd,SHORT,both regimes,LOCKED,126,-0.0184,-0.0814,0.959,34.9
US100,US30 Optuna retdd,SHORT,bull only,research,175,-0.0368,-0.0001,0.924,32.6
US100,US30 Optuna retdd,SHORT,bull only,LOCKED,103,0.036,-0.0377,1.083,35.0
US100,US30 Optuna retdd,SHORT,bear only,research,43,-0.2417,-0.1958,0.482,27.9
