feed,side,block,vol_mult,keep_pct,n,R,pct,pf,ctl_R,p_ctl
US100,LONG,research,0.8,91.8,603,-0.0107,0.013,0.981,-0.0274,0.407
US100,LONG,LOCKED,0.8,91.8,359,0.0095,0.0008,1.019,-0.0111,0.427
US100,LONG,research,1.0,80.4,540,-0.0072,0.0171,0.987,-0.0283,0.347
US100,LONG,LOCKED,1.0,80.4,305,-0.0121,-0.0038,0.977,0.0022,0.533
US100,LONG,research,1.1,73.4,502,-0.0121,0.0141,0.978,-0.0315,0.4
US100,LONG,LOCKED,1.1,73.4,269,-0.0184,-0.0084,0.966,-0.0174,0.507
US100,LONG,research,1.3,63.2,438,-0.0059,0.0291,0.989,-0.0341,0.413
US100,LONG,LOCKED,1.3,63.2,224,0.0021,-0.0161,1.004,0.0155,0.533
US100,LONG,research,1.6,52.4,365,0.0579,0.0522,1.106,-0.0351,0.073
US100,LONG,LOCKED,1.6,52.4,186,0.0106,-0.0066,1.02,0.0022,0.473
US100,LONG,research,2.0,41.4,303,0.0553,0.0637,1.1,-0.0338,0.173
US100,LONG,LOCKED,2.0,41.4,144,0.0441,0.0097,1.081,-0.0142,0.393
US100,LONG,research,2.4,32.6,257,0.0518,0.0535,1.094,-0.0262,0.227
US100,LONG,LOCKED,2.4,32.6,113,0.1098,0.0298,1.212,-0.0409,0.247
US100,SHORT,research,0.8,96.5,411,-0.001,-0.0118,0.998,-0.0052,0.447
US100,SHORT,LOCKED,0.8,96.5,279,-0.1613,-0.052,0.689,-0.1516,0.547
US100,SHORT,research,1.0,86.1,377,0.0249,-0.0069,1.046,-0.0091,0.28
US100,SHORT,LOCKED,1.0,86.1,245,-0.1563,-0.0512,0.701,-0.1318,0.607
US100,SHORT,research,1.1,79.9,357,0.0174,-0.0123,1.032,-0.0162,0.293
US100,SHORT,LOCKED,1.1,79.9,225,-0.1509,-0.0529,0.714,-0.1404,0.527
US100,SHORT,research,1.3,70.5,322,0.0272,-0.0034,1.051,-0.0127,0.307
US100,SHORT,LOCKED,1.3,70.5,194,-0.1508,-0.0536,0.715,-0.131,0.573
US100,SHORT,research,1.6,57.2,264,0.0059,-0.0134,1.011,-0.0095,0.46
US100,SHORT,LOCKED,1.6,57.2,159,-0.1265,-0.0383,0.763,-0.137,0.48
US100,SHORT,research,2.0,44.8,214,0.0122,-0.0048,1.023,0.0025,0.447
US100,SHORT,LOCKED,2.0,44.8,128,-0.0052,0.0171,0.989,-0.1414,0.18
US100,SHORT,research,2.4,31.3,166,0.0554,0.0274,1.106,-0.0181,0.32
US100,SHORT,LOCKED,2.4,31.3,82,-0.0564,-0.0612,0.888,-0.1252,0.34
US30,LONG,research,0.8,90.9,441,0.1435,0.0067,1.285,0.107,0.293
US30,LONG,LOCKED,0.8,90.9,249,-0.1144,-0.0193,0.779,-0.0841,0.593
US30,LONG,research,1.0,75.0,371,0.1844,0.01,1.375,0.1155,0.133
US30,LONG,LOCKED,1.0,75.0,204,-0.0909,-0.0104,0.827,-0.0742,0.56
US30,LONG,research,1.1,66.7,333,0.1975,0.0151,1.402,0.0941,0.06
US30,LONG,LOCKED,1.1,66.7,177,-0.0762,-0.0073,0.859,-0.0816,0.48
US30,LONG,research,1.3,53.0,252,0.1891,0.017,1.383,0.092,0.133
US30,LONG,LOCKED,1.3,53.0,161,-0.0807,-0.004,0.855,-0.1003,0.44
US30,LONG,research,1.6,37.8,176,0.2333,-0.0021,1.49,0.0695,0.113
US30,LONG,LOCKED,1.6,37.8,131,0.0107,0.0168,1.019,-0.0833,0.26
US30,LONG,research,2.0,24.5,108,0.2935,0.0816,1.657,0.0548,0.067
US30,LONG,LOCKED,2.0,24.5,96,-0.0394,-0.0034,0.929,-0.1176,0.367
US30,LONG,research,2.4,17.0,79,0.3614,0.0988,1.865,0.0863,0.1
US30,LONG,LOCKED,2.4,17.0,71,0.1432,0.0484,1.289,-0.0556,0.189
US30,SHORT,research,0.8,94.9,357,-0.1309,-0.0192,0.775,-0.1411,0.467
US30,SHORT,LOCKED,0.8,94.9,241,-0.106,-0.0215,0.809,-0.1021,0.507
US30,SHORT,research,1.0,81.7,314,-0.164,-0.0219,0.726,-0.1584,0.547
US30,SHORT,LOCKED,1.0,81.7,209,-0.0711,-0.014,0.868,-0.0867,0.427
US30,SHORT,research,1.1,74.4,293,-0.1767,-0.0311,0.705,-0.1546,0.633
US30,SHORT,LOCKED,1.1,74.4,187,-0.0428,0.0023,0.916,-0.0877,0.373
US30,SHORT,research,1.3,62.8,247,-0.177,-0.0241,0.711,-0.1518,0.6
US30,SHORT,LOCKED,1.3,62.8,163,-0.0612,-0.0191,0.883,-0.1031,0.427
US30,SHORT,research,1.6,49.7,195,-0.1255,-0.0232,0.78,-0.1393,0.44
US30,SHORT,LOCKED,1.6,49.7,136,-0.0233,0.0057,0.953,-0.0931,0.313
US30,SHORT,research,2.0,33.1,127,-0.1577,-0.0635,0.723,-0.1524,0.507
US30,SHORT,LOCKED,2.0,33.1,108,-0.0203,0.0263,0.958,-0.0769,0.387
US30,SHORT,research,2.4,21.5,81,-0.3275,-0.0891,0.464,-0.1609,0.773
US30,SHORT,LOCKED,2.4,21.5,85,0.0859,0.0651,1.193,-0.1121,0.24
US30_ISO,LONG,whole,0.8,90.3,201,0.0149,0.0085,1.031,0.0419,0.713
US30_ISO,LONG,whole,1.0,78.6,181,0.0244,0.0096,1.051,0.066,0.707
US30_ISO,LONG,whole,1.1,72.7,168,0.0407,0.0154,1.082,0.0478,0.54
US30_ISO,LONG,whole,1.3,64.3,148,-0.0259,-0.0021,0.951,0.0343,0.807
US30_ISO,LONG,whole,1.6,51.3,122,-0.1021,-0.0371,0.82,0.0484,0.96
US30_ISO,LONG,whole,2.0,41.2,100,-0.0245,-0.0173,0.955,0.0349,0.72
US30_ISO,LONG,whole,2.4,34.1,83,0.0542,-0.004,1.105,0.0338,0.427
US30_ISO,SHORT,whole,0.8,95.5,209,-0.0969,-0.047,0.818,-0.0915,0.553
