feed,side,block,vol_mult,keep_pct,n,R,pct,pf,ctl_R,p_ctl
US100,LONG,research,0.8,83.7,646,-0.0057,0.0158,0.99,-0.0333,0.293
US100,LONG,LOCKED,0.8,83.7,397,0.0256,0.0067,1.051,0.0119,0.46
US100,LONG,research,1.0,69.4,565,-0.0101,0.0174,0.982,-0.0363,0.333
US100,LONG,LOCKED,1.0,69.4,321,0.028,0.0075,1.054,0.026,0.493
US100,LONG,research,1.1,62.5,517,-0.0086,0.0156,0.985,-0.043,0.3
US100,LONG,LOCKED,1.1,62.5,280,-0.0136,-0.0037,0.975,0.0156,0.607
US100,LONG,research,1.3,52.4,446,-0.0082,0.0287,0.985,-0.0404,0.36
US100,LONG,LOCKED,1.3,52.4,230,-0.0223,-0.0199,0.96,0.0179,0.6
US100,LONG,research,1.6,42.8,370,0.0636,0.0527,1.116,-0.0306,0.167
US100,LONG,LOCKED,1.6,42.8,188,-0.0008,-0.0087,0.999,0.0111,0.533
US100,LONG,research,2.0,33.4,303,0.0553,0.0637,1.1,-0.0367,0.173
US100,LONG,LOCKED,2.0,33.4,144,0.0441,0.0097,1.081,0.0183,0.447
US100,LONG,research,2.4,26.4,257,0.0518,0.0535,1.094,-0.0416,0.213
US100,LONG,LOCKED,2.4,26.4,113,0.1098,0.0298,1.212,0.0445,0.367
US100,SHORT,research,0.8,93.9,425,-0.0044,-0.01,0.992,-0.0301,0.34
US100,SHORT,LOCKED,0.8,93.9,298,-0.1447,-0.0465,0.726,-0.1358,0.567
US100,SHORT,research,1.0,81.6,390,0.0196,-0.006,1.036,-0.0199,0.24
US100,SHORT,LOCKED,1.0,81.6,252,-0.163,-0.0523,0.693,-0.1291,0.613
US100,SHORT,research,1.1,75.3,366,0.0157,-0.0051,1.029,-0.0232,0.313
US100,SHORT,LOCKED,1.1,75.3,231,-0.1557,-0.0538,0.709,-0.1403,0.553
US100,SHORT,research,1.3,65.5,327,0.0354,0.0006,1.066,-0.0142,0.287
US100,SHORT,LOCKED,1.3,65.5,197,-0.1442,-0.05,0.729,-0.1548,0.447
US100,SHORT,research,1.6,52.2,265,0.0162,-0.0122,1.03,-0.0416,0.32
US100,SHORT,LOCKED,1.6,52.2,159,-0.1265,-0.0383,0.763,-0.1439,0.433
US100,SHORT,research,2.0,40.8,214,0.0122,-0.0048,1.023,-0.0188,0.44
