feed,arm,block,n,R,pct,pf,win,totR,dd,ret_dd
US100,long alone,research,939,0.1143,0.0335,1.194,30.8,107.3,29.1,3.69
US100,long alone,LOCKED,603,-0.0024,0.0057,0.996,31.2,-1.5,37.9,-0.04
US100,short alone,research,431,0.3392,0.0816,1.561,28.1,146.2,28.8,5.08
US100,short alone,LOCKED,244,0.0783,-0.0029,1.131,24.6,19.1,21.4,0.89
US100,"BOTH, one chart",research,1334,0.1784,0.0405,1.295,29.6,238.0,40.5,5.87
US100,"BOTH, one chart",LOCKED,828,0.0057,-0.0003,1.01,29.0,4.7,51.0,0.09
US30,long alone,research,722,0.3304,0.0302,1.56,31.0,238.6,40.5,5.89
US30,long alone,LOCKED,430,0.0444,0.012,1.081,30.5,19.1,24.9,0.77
US30,short alone,research,348,-0.0361,0.0243,0.938,28.7,-12.6,35.9,-0.35
US30,short alone,LOCKED,198,-0.2005,-0.0662,0.658,24.7,-39.7,41.3,-0.96
US30,"BOTH, one chart",research,1058,0.2193,0.0275,1.37,30.3,232.0,58.7,3.95
US30,"BOTH, one chart",LOCKED,610,-0.0497,-0.0188,0.913,28.4,-30.3,52.1,-0.58
US30_ISO,long alone,whole,325,0.157,0.0326,1.311,32.9,51.0,17.9,2.84
US30_ISO,short alone,whole,193,-0.1043,-0.0321,0.813,29.5,-20.1,29.3,-0.69
US30_ISO,"BOTH, one chart",whole,500,0.0494,0.0026,1.091,31.6,24.7,40.0,0.62
