preset,side,block,regime,n,R,pf,win,always_R,edge
As published,LONG,research,bull,236,-0.09482706034230316,0.8238186515266043,25.423728813559322,0.26826830528556067,-0.3630953656278638
As published,LONG,research,bear,142,0.03851089556058357,1.0744817474908788,28.87323943661972,0.26796175943227113,-0.22945086387168756
As published,LONG,LOCKED,bull,169,0.18298490635155198,1.4242862105815925,33.72781065088758,0.2647332773972543,-0.08174837104570229
As published,LONG,LOCKED,bear,45,-0.010470633355383185,0.9794876579233772,37.77777777777778,0.12387737530426,-0.1343480086596432
As published,SHORT,research,bull,146,-0.13473022430616874,0.7732987561092312,25.34246575342466,0.3166011785154726,-0.4513314028216413
As published,SHORT,research,bear,137,-0.14990744874697962,0.7252711197570171,24.817518248175183,-0.07909601637658131,-0.0708114323703983
As published,SHORT,LOCKED,bull,118,-0.19648666827846656,0.6430982421386638,22.88135593220339,0.4111635934567035,-0.60765026173517
As published,SHORT,LOCKED,bear,50,-0.2577731171479874,0.5457347349309283,22.0,0.29822733664727646,-0.5560004537952639
Optuna totR,LONG,research,bull,194,0.1639751412729451,1.2923421390539298,27.835051546391753,0.3135923986563725,-0.1496172573834274
Optuna totR,LONG,research,bear,102,0.2535688831035221,1.4364824149191766,29.411764705882355,0.5702540767753738,-0.31668519367185166
Optuna totR,LONG,LOCKED,bull,130,0.32791075805982817,1.6443362811252689,33.07692307692307,0.1866790251598373,0.14123173289999086
Optuna totR,LONG,LOCKED,bear,30,-0.3541699277734832,0.44408594814033514,33.33333333333333,-0.20245632971097868,-0.15171359806250453
Optuna totR,SHORT,research,bull,131,0.049531203676083185,1.0780277776054927,25.190839694656486,0.33409615515157237,-0.2845649514754892
Optuna totR,SHORT,research,bear,110,-0.18862111653225985,0.7057391557626125,22.727272727272727,-0.08585305890438863,-0.10276805762787122
Optuna totR,SHORT,LOCKED,bull,108,-0.42902422392215667,0.32556065410292373,18.51851851851852,0.25260595799721886,-0.6816301819193755
Optuna totR,SHORT,LOCKED,bear,33,-0.07305636372253532,0.8827230463075328,21.21212121212121,0.14716516244977554,-0.22022152617231086
Optuna PF,LONG,research,bull,79,0.24504441954006928,2.1335570488808657,40.50632911392405,0.4107459400938009,-0.1657015205537316
Optuna PF,LONG,research,bear,56,0.14491883027133365,1.5729261413194928,41.07142857142857,0.4702325947668148,-0.3253137644954811
Optuna PF,LONG,LOCKED,bull,64,0.19721136830316616,1.6976378547738864,34.375,0.4820512468922663,-0.28483987858910015
Optuna PF,LONG,LOCKED,bear,15,0.11673409962836606,1.5206122833000733,60.0,0.5593186986243158,-0.44258459899594976
Optuna PF,SHORT,research,bull,45,0.08604609522246218,1.2983471200658572,40.0,0.5129929150483876,-0.4269468198259254
Optuna PF,SHORT,research,bear,61,-0.03355718685144683,0.8965693228680487,26.229508196721312,0.3284340824512096,-0.3619912693026564
Optuna PF,SHORT,LOCKED,bull,36,-0.07037157675503806,0.7608668695736635,27.77777777777778,0.2879186889736004,-0.3582902657286385
Optuna PF,SHORT,LOCKED,bear,30,-0.10838130482402307,0.6601775588082247,23.333333333333332,0.2257108123524198,-0.3340921171764429
Optuna retDD,LONG,research,bull,100,0.265341705859543,1.757969520177979,39.0,0.5242885848390302,-0.2589468789794872
Optuna retDD,LONG,research,bear,75,0.2270538635827943,1.5647973742318937,40.0,0.3259114112439735,-0.09885754766117918
Optuna retDD,LONG,LOCKED,bull,75,0.17269054655374985,1.41538839698867,34.66666666666667,0.5516412694737926,-0.3789507229200427
Optuna retDD,LONG,LOCKED,bear,20,-0.12663387010169508,0.7509550845385435,40.0,0.334327531272676,-0.4609614013743711
Optuna retDD,SHORT,research,bull,62,0.05875943705244037,1.1244246784509604,37.096774193548384,0.498424826988365,-0.43966538993592463
Optuna retDD,SHORT,research,bear,74,-0.20843821174102015,0.6009850701148605,25.675675675675674,0.0800723510078505,-0.28851056274887066
Optuna retDD,SHORT,LOCKED,bull,46,-0.16870607327115703,0.6677765018452423,26.08695652173913,0.27678742561336683,-0.44549349888452383
Optuna retDD,SHORT,LOCKED,bear,34,-0.09819380856350521,0.8170538180269311,26.47058823529412,0.29492357389889823,-0.39311738246240346
Sweep top row,LONG,research,bull,65,0.5041640384418911,2.172847080750709,38.46153846153847,0.8803867942465755,-0.37622275580468445
Sweep top row,LONG,research,bear,38,0.27158908119702324,1.4901559383152898,34.21052631578947,0.8238709752484361,-0.5522818940514129
Sweep top row,LONG,LOCKED,bull,43,0.25933221004280305,1.496698172446176,32.55813953488372,0.9887528931265877,-0.7294206830837846
Sweep top row,LONG,LOCKED,bear,18,0.14064014862496121,1.2719009381646078,50.0,0.4091635667975932,-0.268523418172632
Sweep top row,SHORT,research,bull,39,0.15361506409969847,1.2564213100865043,33.33333333333333,0.3510034129145778,-0.19738834881487935
Sweep top row,SHORT,research,bear,36,-0.35690404940576786,0.438178616562025,22.22222222222222,0.3205506304966469,-0.6774546799024148
Sweep top row,SHORT,LOCKED,bull,34,-0.20441942878043415,0.6305037983153954,26.47058823529412,0.47140901332631335,-0.6758284421067475
Sweep top row,SHORT,LOCKED,bear,28,-0.3410346469812871,0.509623779947973,21.428571428571427,0.4551456865119655,-0.7961803334932527
