preset,side,filter,block,n,R,pf,win,totR
As published,LONG,bull only,research,236,-0.09482706034230316,0.8238186515266043,25.423728813559322,-22.379186240783547
As published,LONG,bull only,LOCKED,169,0.18298490635155198,1.4242862105815925,33.72781065088758,30.924449173412285
As published,LONG,bear only,research,142,0.03851089556058357,1.0744817474908788,28.87323943661972,5.468547169602867
As published,LONG,bear only,LOCKED,45,-0.010470633355383185,0.9794876579233772,37.77777777777778,-0.47117850099224334
As published,LONG,both regimes,research,378,-0.044737140399948874,0.9156344713371647,26.71957671957672,-16.910639071180675
As published,LONG,both regimes,LOCKED,214,0.14230500314214972,1.3176970906722665,34.57943925233645,30.45327067242004
As published,SHORT,bull only,research,146,-0.13473022430616874,0.7732987561092312,25.34246575342466,-19.670612748700638
As published,SHORT,bull only,LOCKED,118,-0.19648666827846656,0.6430982421386638,22.88135593220339,-23.185426856859053
As published,SHORT,bear only,research,137,-0.14990744874697962,0.7252711197570171,24.817518248175183,-20.537320478336206
As published,SHORT,bear only,LOCKED,50,-0.2577731171479874,0.5457347349309283,22.0,-12.88865585739937
As published,SHORT,both regimes,research,283,-0.14207750256903479,0.7510710674760369,25.08833922261484,-40.20793322703685
As published,SHORT,both regimes,LOCKED,168,-0.2147266828229668,0.6135012849207047,22.61904761904762,-36.074082714258424
Optuna totR,LONG,bull only,research,194,0.1639751412729451,1.2923421390539298,27.835051546391753,31.811177406951348
Optuna totR,LONG,bull only,LOCKED,130,0.32791075805982817,1.6443362811252689,33.07692307692307,42.628398547777664
Optuna totR,LONG,bear only,research,102,0.2535688831035221,1.4364824149191766,29.411764705882355,25.864026076559256
Optuna totR,LONG,bear only,LOCKED,30,-0.3541699277734832,0.44408594814033514,33.33333333333333,-10.625097833204496
Optuna totR,LONG,both regimes,research,296,0.19484866041726553,1.3431608062825462,28.37837837837838,57.6752034835106
Optuna totR,LONG,both regimes,LOCKED,160,0.20002062946608223,1.375310802267358,33.125,32.00330071457316
Optuna totR,SHORT,bull only,research,131,0.049531203676083185,1.0780277776054927,25.190839694656486,6.488587681566897
Optuna totR,SHORT,bull only,LOCKED,108,-0.42902422392215667,0.32556065410292373,18.51851851851852,-46.33461618359292
Optuna totR,SHORT,bear only,research,110,-0.18862111653225985,0.7057391557626125,22.727272727272727,-20.748322818548584
Optuna totR,SHORT,bear only,LOCKED,33,-0.07305636372253532,0.8827230463075328,21.21212121212121,-2.4108600028436658
Optuna totR,SHORT,both regimes,research,241,-0.05916902546465435,0.9072038871169491,24.066390041493776,-14.259735136981698
Optuna totR,SHORT,both regimes,LOCKED,141,-0.3457125970669262,0.45388065480339257,19.148936170212767,-48.74547618643659
Optuna PF,LONG,bull only,research,79,0.24504441954006928,2.1335570488808657,40.50632911392405,19.358509143665472
Optuna PF,LONG,bull only,LOCKED,64,0.19721136830316616,1.6976378547738864,34.375,12.621527571402634
Optuna PF,LONG,bear only,research,56,0.14491883027133365,1.5729261413194928,41.07142857142857,8.115454495194685
Optuna PF,LONG,bear only,LOCKED,15,0.11673409962836606,1.5206122833000733,60.0,1.7510114944254909
Optuna PF,LONG,both regimes,research,135,0.20351084176933448,1.8793753792867547,40.74074074074074,27.473963638860155
Optuna PF,LONG,both regimes,LOCKED,79,0.1819308742509889,1.6698868601780799,39.24050632911392,14.372539065828121
Optuna PF,SHORT,bull only,research,45,0.08604609522246218,1.2983471200658572,40.0,3.8720742850107976
Optuna PF,SHORT,bull only,LOCKED,36,-0.07037157675503806,0.7608668695736635,27.77777777777778,-2.53337676318137
Optuna PF,SHORT,bear only,research,61,-0.03355718685144683,0.8965693228680487,26.229508196721312,-2.046988397938257
Optuna PF,SHORT,bear only,LOCKED,30,-0.10838130482402307,0.6601775588082247,23.333333333333332,-3.2514391447206923
Optuna PF,SHORT,both regimes,research,106,0.01721779138747679,1.0556949209453579,32.075471698113205,1.8250858870725397
Optuna PF,SHORT,both regimes,LOCKED,66,-0.08764872587730398,0.7130840079407459,25.757575757575758,-5.784815907902062
Optuna retDD,LONG,bull only,research,100,0.265341705859543,1.757969520177979,39.0,26.534170585954296
Optuna retDD,LONG,bull only,LOCKED,75,0.17269054655374985,1.41538839698867,34.66666666666667,12.951790991531238
Optuna retDD,LONG,bear only,research,75,0.2270538635827943,1.5647973742318937,40.0,17.029039768709573
Optuna retDD,LONG,bear only,LOCKED,20,-0.12663387010169508,0.7509550845385435,40.0,-2.532677402033902
Optuna retDD,LONG,both regimes,research,175,0.24893263059807927,1.6685820165460847,39.42857142857143,43.56321035466387
Optuna retDD,LONG,both regimes,LOCKED,95,0.10967487988944562,1.2519766850874783,35.78947368421053,10.419113589497334
Optuna retDD,SHORT,bull only,research,62,0.05875943705244037,1.1244246784509604,37.096774193548384,3.6430850972513027
Optuna retDD,SHORT,bull only,LOCKED,46,-0.16870607327115703,0.6677765018452423,26.08695652173913,-7.760479370473223
Optuna retDD,SHORT,bear only,research,74,-0.20843821174102015,0.6009850701148605,25.675675675675674,-15.424427668835492
Optuna retDD,SHORT,bear only,LOCKED,34,-0.09819380856350521,0.8170538180269311,26.47058823529412,-3.338589491159177
Optuna retDD,SHORT,both regimes,research,136,-0.08662751890870726,0.8265810009783149,30.88235294117647,-11.781342571584188
Optuna retDD,SHORT,both regimes,LOCKED,80,-0.13873836077040497,0.7332482844171275,26.25,-11.099068861632396
Sweep top row,LONG,bull only,research,65,0.5041640384418911,2.172847080750709,38.46153846153847,32.77066249872292
Sweep top row,LONG,bull only,LOCKED,43,0.25933221004280305,1.496698172446176,32.55813953488372,11.15128503184053
Sweep top row,LONG,bear only,research,38,0.27158908119702324,1.4901559383152898,34.21052631578947,10.320385085486883
Sweep top row,LONG,bear only,LOCKED,18,0.14064014862496121,1.2719009381646078,50.0,2.531522675249302
Sweep top row,LONG,both regimes,research,103,0.41835968528359035,1.879473192997395,36.89320388349515,43.091047584209804
Sweep top row,LONG,both regimes,LOCKED,61,0.22430832306704643,1.430801423952876,37.704918032786885,13.682807707089832
Sweep top row,SHORT,bull only,research,39,0.15361506409969847,1.2564213100865043,33.33333333333333,5.99098749988824
Sweep top row,SHORT,bull only,LOCKED,34,-0.20441942878043415,0.6305037983153954,26.47058823529412,-6.950260578534761
Sweep top row,SHORT,bear only,research,36,-0.35690404940576786,0.438178616562025,22.22222222222222,-12.848545778607644
Sweep top row,SHORT,bear only,LOCKED,28,-0.3410346469812871,0.509623779947973,21.428571428571427,-9.548970115476038
Sweep top row,SHORT,both regimes,research,75,-0.09143411038292537,0.8516748916985273,28.000000000000004,-6.857558278719403
Sweep top row,SHORT,both regimes,LOCKED,62,-0.26611662409694836,0.5690176249899964,24.193548387096776,-16.499230694010798
Sweep nbhd,LONG,bull only,research,59,0.25982145871104756,1.5310720062208678,35.59322033898305,15.329466063951806
Sweep nbhd,LONG,bull only,LOCKED,38,0.3253647103932525,1.5415620207474154,28.947368421052634,12.363858994943595
Sweep nbhd,LONG,bear only,research,33,0.07097007020391038,1.1127135187615291,33.33333333333333,2.3420123167290425
Sweep nbhd,LONG,bear only,LOCKED,15,0.10288448972930508,1.2233034724250698,53.333333333333336,1.5432673459395763
Sweep nbhd,LONG,both regimes,research,92,0.19208128674653094,1.3559669884081296,34.78260869565217,17.671478380680846
Sweep nbhd,LONG,both regimes,LOCKED,53,0.26239861020534283,1.4676067487849096,35.84905660377358,13.90712634088317
Sweep nbhd,SHORT,bull only,research,40,0.11216167684180955,1.1770600291617002,30.0,4.486467073672382
Sweep nbhd,SHORT,bull only,LOCKED,36,-0.3224001928427797,0.4726511230683684,19.444444444444446,-11.606406942340069
Sweep nbhd,SHORT,bear only,research,37,-0.3165550921955786,0.5160138255288749,21.62162162162162,-11.712538411236409
Sweep nbhd,SHORT,bear only,LOCKED,20,-0.6119663783726523,0.18100959405313582,10.0,-12.239327567453046
Sweep nbhd,SHORT,both regimes,research,77,-0.09384508230602633,0.8541331818944528,25.97402597402597,-7.226071337564027
Sweep nbhd,SHORT,both regimes,LOCKED,56,-0.42581668767487696,0.3547076465624118,16.071428571428573,-23.84573450979311
