block,vol_mult,n,R,pf,win,totR,rand_R,p
research,1.0,413,-0.06781310530443704,0.8725885717666417,25.66585956416465,-28.0068124907325,-0.1326581420770238,0.03
research,1.1,378,-0.044737140399948874,0.9156344713371647,26.71957671957672,-16.910639071180675,-0.13150693042174033,0.005
research,1.3,275,0.014343062800014088,1.0274857483398243,29.454545454545457,3.944342270003874,-0.13500876290051023,0.0025
research,1.5,190,0.14394166931303448,1.3035780318397145,33.68421052631579,27.348917169476554,-0.14794073104454653,0.0
research,2.0,59,0.37449807663481616,1.9000097387347568,42.3728813559322,22.095386521454152,-0.15871616268736238,0.0
LOCKED (descriptive),1.0,238,0.15342284258628355,1.3450566119475014,34.45378151260504,36.51463653553549,0.12712946447668694,0.2425
LOCKED (descriptive),1.1,214,0.14230500314214972,1.3176970906722665,34.57943925233645,30.45327067242004,0.13390997086234313,0.42
LOCKED (descriptive),1.3,163,0.10299408160232736,1.2272469304428584,33.74233128834356,16.78803530117936,0.14117988721551306,0.69
LOCKED (descriptive),1.5,109,0.1053088799164456,1.224444462205995,35.77981651376147,11.47866791089257,0.14279111629397767,0.6425
LOCKED (descriptive),2.0,49,0.09824985169933106,1.1989915433327891,34.69387755102041,4.814242733267222,0.1467805295894476,0.6225
