fold,chosen,chosen_n,random,random_n,published,published_n
2014,0.09028494403308628,15,0.40711035371764237,11,0.09328709080952126,35
2015,-0.5035184672848259,5,-0.3323118682973417,13,-0.6221806792754785,16
2016,0.10547379550456538,14,0.6796315454034619,19,0.30773873674567687,32
2017,0.3500653054186484,26,0.05192406799759581,28,-0.08106588065316866,45
2018,0.031216020943362226,9,0.43224626485618245,8,-0.11264265556222058,22
2019,0.3136420994581436,12,-0.3819419252124417,15,-0.1793755502800615,30
2020,0.316986709306538,22,0.10083938204896108,22,0.09092654213289722,45
2021,0.3952028884064441,16,-0.03966439310215857,34,0.05642804720300422,31
2022,0.027512587850186353,19,0.08004457983846139,36,0.1969308447135789,39
2023,-0.3440524541560917,25,0.5611766798398167,29,-0.19762174689774387,38
2024,-0.13038162128212344,10,-0.40725092023338305,21,0.24403896550307952,46
2025,1.1357965410979118,4,-0.02046592927116328,21,0.03729265510511163,34
