train,test,n_is,IS_R,n_oos,OOS_R,WFE
2010-01..2012-12,2013-01..2013-12,141,-0.056670252030609235,36,0.15025511198565505,
2011-01..2013-12,2014-01..2014-12,151,0.0050375855121959565,35,0.09328709080952127,18.518214843931467
2012-01..2014-12,2015-01..2015-12,127,0.057470965292394836,16,-0.6221806792754785,-10.826000156949025
2013-01..2015-12,2016-01..2016-12,87,-0.014720214466561255,32,0.30773873674567687,
2014-01..2016-12,2017-01..2017-12,83,0.03804574561189456,45,-0.08106588065316866,-2.1307475868688024
2015-01..2017-12,2018-01..2018-12,93,-0.04037866582729664,22,-0.1126426555622206,
2016-01..2018-12,2019-01..2019-12,99,0.037591278021214314,30,-0.17937555028006147,-4.77173322436211
2017-01..2019-12,2020-01..2020-12,97,-0.11863267587797204,45,0.0909265421328972,
2018-01..2020-12,2021-01..2021-12,97,-0.03884237664732291,31,0.05642804720300419,
2019-01..2021-12,2022-01..2022-12,106,0.004336767461053416,39,0.1969308447135789,45.409592855076376
2020-01..2022-12,2023-01..2023-12,115,0.11757623307046161,38,-0.1976217468977439,-1.6807967200251452
2021-01..2023-12,2024-01..2024-12,108,0.017777278009337427,46,0.24403896550307955,13.727577718866707
2022-01..2024-12,2025-01..2025-12,123,0.09265421930778023,34,0.037292655105111594,0.40249278860396276
