preset,block,n,rule_R,always_R,edge,beats
As published,research,378,-0.044737140399948874,0.5793701146282069,-0.6241072550281558,NO
As published,LOCKED,214,0.14230500314214972,0.6279264421866884,-0.48562143904453864,NO
Optuna totR,research,296,0.19484866041726553,0.9267231216921967,-0.7318744612749312,NO
Optuna totR,LOCKED,160,0.20002062946608223,0.8041448235178471,-0.6041241940517649,NO
Optuna PF,research,135,0.20351084176933448,0.5460280486222531,-0.3425172068529186,NO
Optuna PF,LOCKED,79,0.1819308742509889,0.5140445985007279,-0.33211372424973906,NO
Optuna retDD,research,175,0.24893263059807927,0.8177545606007347,-0.5688219300026555,NO
Optuna retDD,LOCKED,95,0.10967487988944562,0.7660533373507286,-0.656378457461283,NO
Sweep top row,research,103,0.41835968528359035,1.117594180946508,-0.6992344956629176,NO
Sweep top row,LOCKED,61,0.22430832306704643,1.0527174143629245,-0.8284090912958781,NO
Sweep nbhd,research,92,0.19208128674653094,0.959679896523679,-0.7675986097771481,NO
Sweep nbhd,LOCKED,53,0.26239861020534283,1.292119942651194,-1.0297213324458512,NO
