feat,fam,label,h,n,ic,ic_shuf,nw_t
vol.atr_tod,vol,ret,1,238029,0.0094,0.0012,0.32
vol.atr_tod,vol,rng,1,238029,-0.0409,0.0001,-15.01
vol.atr_tod,vol,ret,4,238029,0.0146,-0.0015,0.15
vol.atr_tod,vol,rng,4,238029,-0.0754,0.003,-17.64
vol.atr_tod,vol,ret,16,238029,0.0167,-0.002,-0.27
vol.atr_tod,vol,rng,16,238029,-0.1287,-0.0002,-15.06
vol.atr_tod,vol,ret,96,238029,0.0273,-0.0032,-0.17
vol.atr_tod,vol,rng,96,238029,-0.2763,-0.0006,-11.8
vol.atr_pct500,vol,ret,1,239770,0.0067,0.004,0.82
vol.atr_pct500,vol,rng,1,239770,-0.0573,0.0021,-16.14
vol.atr_pct500,vol,ret,4,239770,0.0108,-0.0016,1.03
vol.atr_pct500,vol,rng,4,239770,-0.1446,-0.0038,-28.95
vol.atr_pct500,vol,ret,16,239770,0.0178,0.0017,1.73
vol.atr_pct500,vol,rng,16,239770,-0.3391,0.0019,-43.79
vol.atr_pct500,vol,ret,96,239770,0.0025,-0.0012,-0.42
vol.atr_pct500,vol,rng,96,239770,-0.5327,0.0013,-42.89
vol.rv24,vol,ret,1,239862,0.0081,-0.0019,0.98
vol.rv24,vol,rng,1,239862,-0.1057,-0.0032,-34.47
vol.rv24,vol,ret,4,239862,0.0148,-0.0014,1.07
vol.rv24,vol,rng,4,239862,-0.1564,-0.0002,-33.77
vol.rv24,vol,ret,16,239862,0.021,0.0009,1.09
vol.rv24,vol,rng,16,239862,-0.2965,0.001,-31.02
vol.rv24,vol,ret,96,239862,0.0128,-0.003,-0.01
vol.rv24,vol,rng,96,239862,-0.4517,0.0018,-20.01
vol.rv96,vol,ret,1,239838,0.0061,-0.0011,0.14
vol.rv96,vol,rng,1,239838,-0.0379,-0.0041,-14.9
vol.rv96,vol,ret,4,239838,0.0109,0.0017,0.06
vol.rv96,vol,rng,4,239838,-0.0448,0.0027,-13.51
vol.rv96,vol,ret,16,239838,0.0116,0.0032,-0.08
vol.rv96,vol,rng,16,239838,-0.093,0.0025,-13.97
vol.rv96,vol,ret,96,239838,0.0179,-0.0005,-0.03
vol.rv96,vol,rng,96,239838,-0.2189,0.0001,-13.76
vol.rv_ratio,vol,ret,1,239838,0.0056,0.0003,1.62
vol.rv_ratio,vol,rng,1,239838,-0.1113,-0.0016,-35.72
vol.rv_ratio,vol,ret,4,239838,0.0101,0.0022,1.83
vol.rv_ratio,vol,rng,4,239838,-0.1766,0.0044,-36.73
vol.rv_ratio,vol,ret,16,239838,0.0183,0.0013,2.64
vol.rv_ratio,vol,rng,16,239838,-0.3213,0.0002,-43.77
vol.rv_ratio,vol,ret,96,239838,0.0037,0.0025,0.02
vol.rv_ratio,vol,rng,96,239838,-0.4039,-0.0043,-40.65
vol.volofvol,vol,ret,1,239831,0.0032,0.0023,-0.35
vol.volofvol,vol,rng,1,239831,-0.0651,0.0011,-20.42
vol.volofvol,vol,ret,4,239831,0.0071,-0.0017,-0.48
vol.volofvol,vol,rng,4,239831,-0.073,0.0026,-15.66
vol.volofvol,vol,ret,16,239831,0.0065,0.001,-0.74
vol.volofvol,vol,rng,16,239831,-0.1135,-0.0006,-14.04
vol.volofvol,vol,ret,96,239831,0.0118,0.0019,-0.73
vol.volofvol,vol,rng,96,239831,-0.182,0.0003,-13.67
vol.atr_slope,vol,ret,1,239821,0.0058,0.0011,1.52
vol.atr_slope,vol,rng,1,239821,-0.0819,-0.0038,-16.59
vol.atr_slope,vol,ret,4,239821,0.0093,0.0022,1.8
vol.atr_slope,vol,rng,4,239821,-0.1542,-0.0025,-23.02
vol.atr_slope,vol,ret,16,239821,0.0195,-0.0001,2.89
vol.atr_slope,vol,rng,16,239821,-0.3643,0.0019,-39.69
vol.atr_slope,vol,ret,96,239821,0.0023,0.0013,-0.37
vol.atr_slope,vol,rng,96,239821,-0.4725,0.0001,-39.76
trn.d_e50,trn,ret,1,239869,-0.0374,-0.0006,-0.66
trn.d_e50,trn,rng,1,239869,-0.0158,0.0005,-8.53
trn.d_e50,trn,ret,4,239869,-0.0374,0.0034,0.65
trn.d_e50,trn,rng,4,239869,-0.018,0.0,-6.5
trn.d_e50,trn,ret,16,239869,-0.0136,0.0001,2.05
trn.d_e50,trn,rng,16,239869,-0.0163,0.0024,-3.85
trn.d_e50,trn,ret,96,239869,-0.0076,-0.0015,0.61
trn.d_e50,trn,rng,96,239869,0.0018,0.0019,-0.24
trn.d_e200,trn,ret,1,239869,-0.0179,0.0002,0.99
trn.d_e200,trn,rng,1,239869,0.0001,-0.0027,-2.84
trn.d_e200,trn,ret,4,239869,-0.019,0.0033,1.93
trn.d_e200,trn,rng,4,239869,-0.0033,0.0012,-2.7
trn.d_e200,trn,ret,16,239869,-0.0078,-0.0002,2.46
trn.d_e200,trn,rng,16,239869,-0.0044,0.0034,-2.13
trn.d_e200,trn,ret,96,239869,-0.0084,0.0016,0.6
trn.d_e200,trn,rng,96,239869,0.0082,-0.0022,-0.51
trn.slope_e200,trn,ret,1,239773,0.0016,-0.0005,1.12
trn.slope_e200,trn,rng,1,239773,0.008,-0.0013,1.31
trn.slope_e200,trn,ret,4,239773,-0.0016,0.0022,1.36
trn.slope_e200,trn,rng,4,239773,0.007,0.0002,0.26
trn.slope_e200,trn,ret,16,239773,-0.0042,0.0003,1.32
trn.slope_e200,trn,rng,16,239773,0.0054,-0.0013,-0.67
trn.slope_e200,trn,ret,96,239773,-0.001,0.0003,0.72
trn.slope_e200,trn,rng,96,239773,0.0166,-0.0013,-0.87
trn.er20,trn,ret,1,239849,0.0047,-0.0004,1.39
trn.er20,trn,rng,1,239849,0.0516,-0.0028,18.68
trn.er20,trn,ret,4,239849,0.0091,0.0014,1.98
trn.er20,trn,rng,4,239849,0.0311,0.0002,3.25
trn.er20,trn,ret,16,239849,0.009,0.0001,1.83
trn.er20,trn,rng,16,239849,-0.0013,0.0016,-3.68
trn.er20,trn,ret,96,239849,-0.0015,0.0036,-0.12
trn.er20,trn,rng,96,239849,-0.0788,-0.0018,-11.77
trn.er96,trn,ret,1,239773,0.0009,-0.0067,-1.48
trn.er96,trn,rng,1,239773,0.0107,0.0011,2.36
trn.er96,trn,ret,4,239773,0.0018,-0.0007,-1.13
trn.er96,trn,rng,4,239773,0.0104,0.0015,-0.69
trn.er96,trn,ret,16,239773,-0.0006,0.0016,-1.2
trn.er96,trn,rng,16,239773,-0.0135,0.0026,-4.93
trn.er96,trn,ret,96,239773,-0.003,0.0001,-0.56
trn.er96,trn,rng,96,239773,-0.1349,0.0003,-11.96
trn.ret16,trn,ret,1,239853,-0.0356,0.0022,-1.76
trn.ret16,trn,rng,1,239853,-0.0224,-0.0012,-10.44
trn.ret16,trn,ret,4,239853,-0.0349,-0.0,-0.62
trn.ret16,trn,rng,4,239853,-0.0227,0.0015,-7.99
trn.ret16,trn,ret,16,239853,-0.012,0.0026,1.33
trn.ret16,trn,rng,16,239853,-0.0239,-0.0043,-5.19
trn.ret16,trn,ret,96,239853,0.0036,-0.0009,1.14
trn.ret16,trn,rng,96,239853,-0.0042,-0.0017,-0.95
trn.ret96,trn,ret,1,239773,-0.0152,-0.0047,1.43
trn.ret96,trn,rng,1,239773,0.0014,0.0014,-2.43
trn.ret96,trn,ret,4,239773,-0.0178,-0.001,1.75
trn.ret96,trn,rng,4,239773,-0.0033,-0.0007,-2.7
trn.ret96,trn,ret,16,239773,-0.0142,-0.0036,1.46
trn.ret96,trn,rng,16,239773,-0.0052,-0.0014,-2.27
trn.ret96,trn,ret,96,239773,-0.0197,0.0003,0.13
trn.ret96,trn,rng,96,239773,0.0049,-0.0037,-0.11
reg.chop14,reg,ret,1,239866,-0.0056,-0.003,-2.11
reg.chop14,reg,rng,1,239866,-0.0471,0.0036,-15.48
reg.chop14,reg,ret,4,239866,-0.0111,0.0008,-2.29
reg.chop14,reg,rng,4,239866,-0.0141,0.0017,1.48
reg.chop14,reg,ret,16,239866,-0.0122,-0.0002,-2.0
reg.chop14,reg,rng,16,239866,0.0414,0.003,11.35
reg.chop14,reg,ret,96,239866,-0.0015,0.0002,0.21
reg.chop14,reg,rng,96,239866,0.1155,0.0002,14.49
reg.chop48,reg,ret,1,239854,-0.0059,-0.0031,-2.0
reg.chop48,reg,rng,1,239854,0.0287,-0.0002,10.68
reg.chop48,reg,ret,4,239854,-0.0109,-0.0008,-2.14
reg.chop48,reg,rng,4,239854,0.0395,-0.0029,12.42
