score,block,h,n,Q1,Q5,ratio,nw_t
anm.ae_err,research,4,239853,2.119,2.192,1.034,4.2
anm.ae_err,research,16,239853,4.585,4.808,1.049,5.5
anm.ae_err,research,96,239853,12.428,13.327,1.072,7.7
anm.ae_err,locked,4,131713,2.095,2.143,1.023,1.3
anm.ae_err,locked,16,131701,4.577,4.558,0.996,-0.4
anm.ae_err,locked,96,131621,12.387,12.731,1.028,0.2
anm.ae_err,FORWARD,4,13652,2.155,2.097,0.973,0.2
anm.ae_err,FORWARD,16,13640,4.786,4.283,0.895,-2.1
anm.ae_err,FORWARD,96,13560,12.683,10.764,0.849,-5.2
anm.iso,research,4,239853,2.058,2.327,1.131,26.3
anm.iso,research,16,239853,4.698,4.662,0.992,-0.8
anm.iso,research,96,239853,13.52,11.78,0.871,-21.7
anm.iso,locked,4,131713,2.016,2.336,1.159,23.0
anm.iso,locked,16,131701,4.669,4.538,0.972,-0.6
anm.iso,locked,96,131621,13.193,11.493,0.871,-15.2
anm.iso,FORWARD,4,13652,2.029,2.236,1.102,7.2
anm.iso,FORWARD,16,13640,4.737,4.272,0.902,-4.0
anm.iso,FORWARD,96,13560,12.575,10.376,0.825,-8.4
anm.mahal,research,4,239853,2.1,2.276,1.084,15.4
anm.mahal,research,16,239853,4.697,4.596,0.978,-4.8
anm.mahal,research,96,239853,13.365,11.644,0.871,-19.5
anm.mahal,locked,4,131713,2.077,2.272,1.094,4.2
anm.mahal,locked,16,131701,4.697,4.442,0.946,-3.0
anm.mahal,locked,96,131621,13.112,11.382,0.868,-6.7
anm.mahal,FORWARD,4,13652,2.088,2.232,1.069,5.1
anm.mahal,FORWARD,16,13640,4.756,4.197,0.882,-3.8
anm.mahal,FORWARD,96,13560,12.587,10.238,0.813,-7.8
anm.joint_z,research,4,239869,2.196,2.407,1.096,34.3
anm.joint_z,research,16,239869,4.695,4.579,0.975,-2.9
anm.joint_z,research,96,239869,12.304,10.88,0.884,-31.8
anm.joint_z,locked,4,131713,2.17,2.426,1.118,31.4
anm.joint_z,locked,16,131701,4.663,4.474,0.959,-2.1
anm.joint_z,locked,96,131621,12.335,10.604,0.86,-21.4
anm.joint_z,FORWARD,4,13652,2.147,2.321,1.081,10.2
anm.joint_z,FORWARD,16,13640,4.37,4.324,0.99,-1.0
anm.joint_z,FORWARD,96,13560,11.221,10.808,0.963,-5.8
anm.ae_pct500,research,4,239754,2.119,2.178,1.028,5.4
anm.ae_pct500,research,16,239754,4.569,4.771,1.044,8.6
anm.ae_pct500,research,96,239754,12.361,13.278,1.074,13.3
anm.ae_pct500,locked,4,131713,2.094,2.149,1.026,2.9
anm.ae_pct500,locked,16,131701,4.598,4.57,0.994,-1.0
anm.ae_pct500,locked,96,131621,12.45,12.704,1.02,3.7
anm.ae_pct500,FORWARD,4,13652,2.158,2.125,0.984,-1.1
anm.ae_pct500,FORWARD,16,13640,4.745,4.355,0.918,-4.0
anm.ae_pct500,FORWARD,96,13560,12.39,11.143,0.899,-3.6
