score,block,h,n,Q1,Q5,spread_bp,nw_t
anm.ae_err,research,1,239853,-0.09,-0.16,-0.07,-2.39
anm.ae_err,research,4,239853,-0.09,-0.2,-0.11,-1.05
anm.ae_err,research,16,239853,0.07,-0.1,-0.17,-1.32
anm.ae_err,research,96,239853,0.92,-0.14,-1.06,-0.2
anm.ae_err,locked,1,131716,-0.15,-0.08,0.07,2.05
anm.ae_err,locked,4,131713,-0.07,-0.09,-0.03,1.13
anm.ae_err,locked,16,131701,-0.12,-0.18,-0.06,1.2
anm.ae_err,locked,96,131621,0.48,0.38,-0.1,1.09
anm.ae_err,FORWARD,1,13655,-0.29,-0.24,0.06,-0.75
anm.ae_err,FORWARD,4,13652,0.61,0.65,0.05,-2.29
anm.ae_err,FORWARD,16,13640,-0.35,0.56,0.91,-1.36
anm.ae_err,FORWARD,96,13560,-7.66,3.53,11.19,-1.91
anm.iso,research,1,239853,-0.06,-0.24,-0.18,-2.68
anm.iso,research,4,239853,-0.08,-0.41,-0.33,-1.71
anm.iso,research,16,239853,-0.23,-0.65,-0.42,-1.89
anm.iso,research,96,239853,0.31,-0.36,-0.67,-0.43
anm.iso,locked,1,131716,-0.08,-0.17,-0.09,-0.52
anm.iso,locked,4,131713,-0.15,-0.17,-0.02,-0.63
anm.iso,locked,16,131701,0.24,-0.56,-0.81,-1.7
anm.iso,locked,96,131621,0.59,-0.4,-1.0,-0.67
anm.iso,FORWARD,1,13655,0.38,-0.79,-1.17,-1.15
anm.iso,FORWARD,4,13652,0.19,-0.6,-0.79,-1.55
anm.iso,FORWARD,16,13640,1.46,-0.73,-2.19,-0.57
anm.iso,FORWARD,96,13560,-1.47,3.35,4.82,0.16
anm.mahal,research,1,239853,-0.1,-0.16,-0.06,-1.64
anm.mahal,research,4,239853,-0.09,-0.3,-0.21,-0.16
anm.mahal,research,16,239853,-0.35,-0.55,-0.2,-0.72
anm.mahal,research,96,239853,0.21,-0.08,-0.28,0.63
anm.mahal,locked,1,131716,-0.05,-0.16,-0.12,0.29
anm.mahal,locked,4,131713,-0.08,-0.14,-0.06,-0.66
anm.mahal,locked,16,131701,0.11,-0.49,-0.6,-1.01
anm.mahal,locked,96,131621,-0.06,-0.21,-0.15,-0.18
anm.mahal,FORWARD,1,13655,0.45,-0.33,-0.78,-1.46
anm.mahal,FORWARD,4,13652,0.71,-0.25,-0.96,-1.95
anm.mahal,FORWARD,16,13640,0.92,-0.21,-1.13,-0.48
anm.mahal,FORWARD,96,13560,-4.02,1.87,5.89,0.09
anm.joint_z,research,1,239869,-0.09,-0.18,-0.09,-0.19
anm.joint_z,research,4,239869,-0.03,-0.23,-0.2,1.12
anm.joint_z,research,16,239869,-0.07,-0.46,-0.4,0.9
anm.joint_z,research,96,239869,0.11,0.11,-0.0,0.39
anm.joint_z,locked,1,131716,0.01,-0.05,-0.06,-0.27
anm.joint_z,locked,4,131713,0.0,0.13,0.13,0.37
anm.joint_z,locked,16,131701,0.11,0.07,-0.04,-0.13
anm.joint_z,locked,96,131621,-0.22,0.51,0.73,0.81
anm.joint_z,FORWARD,1,13655,-0.38,-0.0,0.38,-1.05
anm.joint_z,FORWARD,4,13652,-1.3,0.16,1.46,-1.41
anm.joint_z,FORWARD,16,13640,-2.16,2.2,4.35,0.45
anm.joint_z,FORWARD,96,13560,-4.47,5.98,10.44,0.91
anm.ae_pct500,research,1,239754,-0.08,-0.16,-0.08,-0.9
anm.ae_pct500,research,4,239754,-0.13,-0.17,-0.04,-0.09
anm.ae_pct500,research,16,239754,-0.12,-0.15,-0.03,0.18
anm.ae_pct500,research,96,239754,0.57,-0.23,-0.8,-1.09
anm.ae_pct500,locked,1,131716,-0.17,-0.07,0.1,0.29
anm.ae_pct500,locked,4,131713,-0.17,-0.07,0.1,0.13
anm.ae_pct500,locked,16,131701,-0.15,-0.12,0.03,-0.25
anm.ae_pct500,locked,96,131621,0.68,0.34,-0.35,-0.37
anm.ae_pct500,FORWARD,1,13655,-0.13,-0.11,0.02,0.19
anm.ae_pct500,FORWARD,4,13652,0.83,0.38,-0.46,-0.21
anm.ae_pct500,FORWARD,16,13640,0.41,0.63,0.23,-0.34
anm.ae_pct500,FORWARD,96,13560,-7.15,1.38,8.52,1.31
