tf,k,w,arm,block,n,kept,keep,edge
60,2,10,A  exhausted_sellers (as specified),A_primary,844,187,0.22156398104265404,0.07570896290046614
60,2,10,A  exhausted_sellers (as specified),B_meta,566,137,0.2420494699646643,0.08201700326335908
60,2,10,A  exhausted_sellers (as specified),C_locked,319,69,0.21630094043887146,0.09069825714133642
60,2,10,A  absorbed_buying   (as specified),A_primary,844,206,0.24407582938388625,0.08275539437577037
60,2,10,A  absorbed_buying   (as specified),B_meta,566,119,0.21024734982332155,0.19439983346045206
60,2,10,A  absorbed_buying   (as specified),C_locked,319,78,0.2445141065830721,0.2833440376900761
60,2,10,B  ANY of the four patterns,A_primary,844,535,0.6338862559241706,0.04049041735529459
60,2,10,B  ANY of the four patterns,B_meta,566,347,0.6130742049469965,0.04906034520301267
60,2,10,B  ANY of the four patterns,C_locked,319,184,0.5768025078369906,0.08992811979983442
60,2,10,"C  PIVOT LOW only, no CVD",A_primary,844,801,0.9490521327014217,-0.00946967843048974
60,2,10,"C  PIVOT LOW only, no CVD",B_meta,566,545,0.9628975265017667,-0.014476163226440124
60,2,10,"C  PIVOT LOW only, no CVD",C_locked,319,307,0.9623824451410659,-0.017790109884557204
60,2,20,A  exhausted_sellers (as specified),A_primary,844,318,0.3767772511848341,0.07992383564455807
60,2,20,A  exhausted_sellers (as specified),B_meta,566,211,0.37279151943462896,0.08654911618294266
60,2,20,A  exhausted_sellers (as specified),C_locked,319,116,0.36363636363636365,0.16213442282152465
60,2,20,A  absorbed_buying   (as specified),A_primary,844,365,0.4324644549763033,0.024848248144222172
60,2,20,A  absorbed_buying   (as specified),B_meta,566,213,0.3763250883392226,0.07165399825421866
60,2,20,A  absorbed_buying   (as specified),C_locked,319,136,0.4263322884012539,0.03896932166297237
60,2,20,B  ANY of the four patterns,A_primary,844,711,0.8424170616113744,0.019917735323570544
60,2,20,B  ANY of the four patterns,B_meta,566,465,0.8215547703180212,0.011640080883599972
60,2,20,B  ANY of the four patterns,C_locked,319,261,0.8181818181818182,0.006887514956012281
60,2,30,A  exhausted_sellers (as specified),A_primary,844,415,0.49170616113744076,0.02948442208830454
60,2,30,A  exhausted_sellers (as specified),B_meta,566,273,0.4823321554770318,0.03643571693591016
60,2,30,A  exhausted_sellers (as specified),C_locked,319,150,0.4702194357366771,0.09261696552123119
60,2,30,A  absorbed_buying   (as specified),A_primary,844,453,0.5367298578199052,0.058205757189962536
60,2,30,A  absorbed_buying   (as specified),B_meta,566,291,0.5141342756183745,0.005178617470601613
60,2,30,A  absorbed_buying   (as specified),C_locked,319,173,0.542319749216301,0.08433700647315054
60,2,30,B  ANY of the four patterns,A_primary,844,783,0.9277251184834123,0.012780271096258393
60,2,30,B  ANY of the four patterns,B_meta,566,527,0.931095406360424,0.01628246359944024
60,2,30,B  ANY of the four patterns,C_locked,319,291,0.9122257053291536,0.0419113605142723
60,3,10,A  exhausted_sellers (as specified),A_primary,844,141,0.1670616113744076,0.054460616360794
60,3,10,A  exhausted_sellers (as specified),B_meta,566,99,0.17491166077738515,0.09637359487764517
60,3,10,A  exhausted_sellers (as specified),C_locked,319,51,0.15987460815047022,0.057521460675326985
60,3,10,A  absorbed_buying   (as specified),A_primary,844,176,0.20853080568720378,0.029629100362085922
60,3,10,A  absorbed_buying   (as specified),B_meta,566,94,0.16607773851590105,0.06070662761811868
60,3,10,A  absorbed_buying   (as specified),C_locked,319,58,0.18181818181818182,0.12246761786776214
60,3,10,B  ANY of the four patterns,A_primary,844,446,0.5284360189573459,0.03694147573735324
60,3,10,B  ANY of the four patterns,B_meta,566,280,0.49469964664310956,0.04079889899526082
60,3,10,B  ANY of the four patterns,C_locked,319,157,0.49216300940438873,0.08266114398852129
60,3,10,"C  PIVOT LOW only, no CVD",A_primary,844,715,0.8471563981042654,-0.01966333978914665
60,3,10,"C  PIVOT LOW only, no CVD",B_meta,566,499,0.8816254416961131,0.00018295163669895462
60,3,10,"C  PIVOT LOW only, no CVD",C_locked,319,268,0.8401253918495298,-0.001056729591425859
60,3,10,"C  ANY PIVOT only, no CVD",A_primary,844,820,0.9715639810426541,0.0037658335680680888
60,3,10,"C  ANY PIVOT only, no CVD",B_meta,566,549,0.9699646643109541,0.0025257154846289806
60,3,10,"C  ANY PIVOT only, no CVD",C_locked,319,308,0.9655172413793104,-0.011629215790153608
60,3,20,A  exhausted_sellers (as specified),A_primary,844,262,0.3104265402843602,0.014570062399605767
60,3,20,A  exhausted_sellers (as specified),B_meta,566,160,0.2826855123674912,0.11187065292127242
60,3,20,A  exhausted_sellers (as specified),C_locked,319,87,0.2727272727272727,0.04901628749254444
60,3,20,A  absorbed_buying   (as specified),A_primary,844,294,0.34834123222748814,0.026486575699831483
60,3,20,A  absorbed_buying   (as specified),B_meta,566,160,0.2826855123674912,0.03438737655204531
60,3,20,A  absorbed_buying   (as specified),C_locked,319,97,0.30407523510971785,-0.02095276126461848
60,3,20,B  ANY of the four patterns,A_primary,844,639,0.7571090047393365,0.00048264247078083286
60,3,20,B  ANY of the four patterns,B_meta,566,399,0.7049469964664311,0.004413223076369821
60,3,20,B  ANY of the four patterns,C_locked,319,227,0.7115987460815048,-0.0024955992653148684
60,3,30,A  exhausted_sellers (as specified),A_primary,844,338,0.4004739336492891,-0.017946996111318253
60,3,30,A  exhausted_sellers (as specified),B_meta,566,215,0.37985865724381623,0.06738628936109128
60,3,30,A  exhausted_sellers (as specified),C_locked,319,112,0.3510971786833856,0.02024092322830298
60,3,30,A  absorbed_buying   (as specified),A_primary,844,378,0.44786729857819907,0.03428106611041417
60,3,30,A  absorbed_buying   (as specified),B_meta,566,221,0.39045936395759717,0.059355378440265935
60,3,30,A  absorbed_buying   (as specified),C_locked,319,131,0.4106583072100313,-0.03991098889501077
60,3,30,B  ANY of the four patterns,A_primary,844,727,0.8613744075829384,-0.00030646323914499535
60,3,30,B  ANY of the four patterns,B_meta,566,466,0.823321554770318,0.03607207291155458
60,3,30,B  ANY of the four patterns,C_locked,319,264,0.8275862068965517,0.020984200346022525
60,5,10,A  exhausted_sellers (as specified),A_primary,844,87,0.10308056872037914,0.029836121990119972
60,5,10,A  exhausted_sellers (as specified),B_meta,566,59,0.10424028268551237,0.1101293811638848
60,5,10,A  exhausted_sellers (as specified),C_locked,319,32,0.10031347962382445,-0.25257393343979506
60,5,10,A  absorbed_buying   (as specified),A_primary,844,114,0.13507109004739337,0.08208022959010589
60,5,10,A  absorbed_buying   (as specified),B_meta,566,59,0.10424028268551237,0.16031730879056305
60,5,10,A  absorbed_buying   (as specified),C_locked,319,46,0.14420062695924765,-0.17404975243624507
60,5,10,B  ANY of the four patterns,A_primary,844,293,0.3471563981042654,0.017262640325121252
60,5,10,B  ANY of the four patterns,B_meta,566,197,0.3480565371024735,0.104124193081483
60,5,10,B  ANY of the four patterns,C_locked,319,107,0.335423197492163,-0.1295647514059874
60,5,10,"C  PIVOT LOW only, no CVD",A_primary,844,542,0.6421800947867299,0.00614186979918005
60,5,10,"C  PIVOT LOW only, no CVD",B_meta,566,395,0.6978798586572438,0.0076778014187117785
60,5,10,"C  PIVOT LOW only, no CVD",C_locked,319,206,0.64576802507837,0.1360676352857866
60,5,10,"C  ANY PIVOT only, no CVD",A_primary,844,728,0.8625592417061612,0.019377020074762878
60,5,10,"C  ANY PIVOT only, no CVD",B_meta,566,495,0.8745583038869258,-0.009157386793812986
60,5,10,"C  ANY PIVOT only, no CVD",C_locked,319,272,0.8526645768025078,0.04211067117279599
60,5,20,A  exhausted_sellers (as specified),A_primary,844,181,0.21445497630331753,-0.020818851725131968
60,5,20,A  exhausted_sellers (as specified),B_meta,566,108,0.19081272084805653,0.058696743625428774
60,5,20,A  exhausted_sellers (as specified),C_locked,319,64,0.2006269592476489,-0.19048732180842673
60,5,20,A  absorbed_buying   (as specified),A_primary,844,185,0.21919431279620852,0.05147395385444684
60,5,20,A  absorbed_buying   (as specified),B_meta,566,123,0.21731448763250882,0.0741944070926322
60,5,20,A  absorbed_buying   (as specified),C_locked,319,81,0.25391849529780564,0.13973363738201003
60,5,20,B  ANY of the four patterns,A_primary,844,476,0.5639810426540285,0.02539170630051596
60,5,20,B  ANY of the four patterns,B_meta,566,319,0.5636042402826855,0.017141714510881412
60,5,20,B  ANY of the four patterns,C_locked,319,180,0.5642633228840125,0.006161167036012383
60,5,20,"C  PIVOT LOW only, no CVD",A_primary,844,807,0.9561611374407583,0.006916727036757241
60,5,20,"C  PIVOT LOW only, no CVD",B_meta,566,539,0.9522968197879859,0.011770663617051456
60,5,20,"C  PIVOT LOW only, no CVD",C_locked,319,307,0.9623824451410659,0.0040409954654523905
60,5,30,A  exhausted_sellers (as specified),A_primary,844,222,0.26303317535545023,-0.006786777077774201
60,5,30,A  exhausted_sellers (as specified),B_meta,566,151,0.2667844522968198,0.04783803222258204
60,5,30,A  exhausted_sellers (as specified),C_locked,319,80,0.2507836990595611,-0.1079151599731027
60,5,30,A  absorbed_buying   (as specified),A_primary,844,264,0.3127962085308057,0.011656639534002922
60,5,30,A  absorbed_buying   (as specified),B_meta,566,171,0.30212014134275617,0.020220514027905517
60,5,30,A  absorbed_buying   (as specified),C_locked,319,107,0.335423197492163,0.05235995910828828
60,5,30,B  ANY of the four patterns,A_primary,844,589,0.6978672985781991,0.02596213861926689
60,5,30,B  ANY of the four patterns,B_meta,566,397,0.7014134275618374,0.03621411312525773
60,5,30,B  ANY of the four patterns,C_locked,319,211,0.6614420062695925,0.012151521510209984
240,2,10,A  exhausted_sellers (as specified),A_primary,195,46,0.2358974358974359,0.4530150189296168
240,2,10,A  exhausted_sellers (as specified),B_meta,142,40,0.28169014084507044,-0.04982561595379173
240,2,10,A  absorbed_buying   (as specified),A_primary,195,50,0.2564102564102564,0.021434158930211264
240,2,10,A  absorbed_buying   (as specified),B_meta,142,34,0.23943661971830985,-0.10337130895794731
240,2,10,B  ANY of the four patterns,A_primary,195,130,0.6666666666666666,0.2004531763728464
240,2,10,B  ANY of the four patterns,B_meta,142,96,0.676056338028169,-0.037649562658957594
240,2,10,B  ANY of the four patterns,C_locked,62,40,0.6451612903225806,-0.5135060461556263
240,2,20,A  exhausted_sellers (as specified),A_primary,195,74,0.37948717948717947,0.024979224191572072
240,2,20,A  exhausted_sellers (as specified),B_meta,142,63,0.44366197183098594,0.02410854778363973
240,2,20,A  absorbed_buying   (as specified),A_primary,195,96,0.49230769230769234,0.08594308917167881
240,2,20,A  absorbed_buying   (as specified),B_meta,142,62,0.43661971830985913,0.15602958625754637
240,2,20,A  absorbed_buying   (as specified),C_locked,62,25,0.4032258064516129,-0.44332398606599877
240,2,20,B  ANY of the four patterns,A_primary,195,165,0.8461538461538461,0.097070617880124
240,2,20,B  ANY of the four patterns,B_meta,142,121,0.852112676056338,0.050234974006948055
240,2,30,A  exhausted_sellers (as specified),A_primary,195,106,0.5435897435897435,0.018938544120775114
240,2,30,A  exhausted_sellers (as specified),B_meta,142,79,0.5563380281690141,0.13155243407454675
240,2,30,A  exhausted_sellers (as specified),C_locked,62,30,0.4838709677419355,-0.7110856997209412
240,2,30,A  absorbed_buying   (as specified),A_primary,195,116,0.5948717948717949,0.051264161704504776
240,2,30,A  absorbed_buying   (as specified),B_meta,142,77,0.5422535211267606,0.18818574837371593
240,2,30,A  absorbed_buying   (as specified),C_locked,62,37,0.5967741935483871,-0.4458008173626955
240,2,30,B  ANY of the four patterns,B_meta,142,131,0.9225352112676056,0.04874115871948313
240,3,10,A  exhausted_sellers (as specified),A_primary,195,33,0.16923076923076924,0.11236589809064065
240,3,10,A  exhausted_sellers (as specified),B_meta,142,42,0.29577464788732394,-0.02438976631284527
240,3,10,A  absorbed_buying   (as specified),A_primary,195,36,0.18461538461538463,0.3028479679274544
240,3,10,A  absorbed_buying   (as specified),B_meta,142,27,0.19014084507042253,-0.07846890797714105
240,3,10,B  ANY of the four patterns,A_primary,195,102,0.5230769230769231,0.2049388537053676
240,3,10,B  ANY of the four patterns,B_meta,142,88,0.6197183098591549,-0.008792929917731118
240,3,10,B  ANY of the four patterns,C_locked,62,36,0.5806451612903226,-0.1826401731748215
240,3,10,"C  PIVOT LOW only, no CVD",A_primary,195,182,0.9333333333333333,0.00527694536906697
240,3,10,"C  PIVOT LOW only, no CVD",B_meta,142,132,0.9295774647887324,-0.005232221279368052
240,3,20,A  exhausted_sellers (as specified),A_primary,195,57,0.2923076923076923,0.07205895935711917
240,3,20,A  exhausted_sellers (as specified),B_meta,142,56,0.39436619718309857,0.10753160463588908
240,3,20,A  absorbed_buying   (as specified),A_primary,195,64,0.3282051282051282,0.17800425619112406
240,3,20,A  absorbed_buying   (as specified),B_meta,142,48,0.3380281690140845,0.20864746236221782
240,3,20,B  ANY of the four patterns,A_primary,195,132,0.676923076923077,0.1501457652172971
240,3,20,B  ANY of the four patterns,B_meta,142,110,0.7746478873239436,-0.018472608868000506
240,3,20,B  ANY of the four patterns,C_locked,62,47,0.7580645161290323,-0.25999344016573855
240,3,30,A  exhausted_sellers (as specified),A_primary,195,80,0.41025641025641024,0.12247269456037971
240,3,30,A  exhausted_sellers (as specified),B_meta,142,70,0.49295774647887325,0.08744592045995782
240,3,30,A  absorbed_buying   (as specified),A_primary,195,81,0.4153846153846154,0.0938520974714531
240,3,30,A  absorbed_buying   (as specified),B_meta,142,61,0.4295774647887324,0.3110380790352685
240,3,30,A  absorbed_buying   (as specified),C_locked,62,31,0.5,-0.06731860673685852
240,3,30,B  ANY of the four patterns,A_primary,195,163,0.8358974358974359,0.0612391988716956
240,3,30,B  ANY of the four patterns,B_meta,142,128,0.9014084507042254,0.02138880174007947
240,3,30,B  ANY of the four patterns,C_locked,62,52,0.8387096774193549,0.058736240041812326
240,5,10,A  exhausted_sellers (as specified),B_meta,142,31,0.21830985915492956,-0.11936743775325939
240,5,10,A  absorbed_buying   (as specified),A_primary,195,26,0.13333333333333333,0.17899117681311683
240,5,10,A  absorbed_buying   (as specified),B_meta,142,25,0.176056338028169,0.4796550987220886
240,5,10,B  ANY of the four patterns,A_primary,195,71,0.3641025641025641,0.20396484757926678
240,5,10,B  ANY of the four patterns,B_meta,142,65,0.45774647887323944,0.23430201218125374
240,5,10,"C  PIVOT LOW only, no CVD",A_primary,195,156,0.8,0.11784836934023712
240,5,10,"C  PIVOT LOW only, no CVD",B_meta,142,121,0.852112676056338,-0.07487372599668253
240,5,10,"C  PIVOT LOW only, no CVD",C_locked,62,50,0.8064516129032258,-0.25446321571763697
240,5,10,"C  ANY PIVOT only, no CVD",A_primary,195,177,0.9076923076923077,0.0671585127523806
240,5,20,A  exhausted_sellers (as specified),A_primary,195,45,0.23076923076923078,0.05399537854809924
240,5,20,A  exhausted_sellers (as specified),B_meta,142,43,0.3028169014084507,0.17738615576832678
240,5,20,A  absorbed_buying   (as specified),A_primary,195,49,0.2512820512820513,-0.0047584251967558305
240,5,20,A  absorbed_buying   (as specified),B_meta,142,39,0.2746478873239437,0.7253811274743133
240,5,20,B  ANY of the four patterns,A_primary,195,109,0.558974358974359,0.13370992954914523
240,5,20,B  ANY of the four patterns,B_meta,142,84,0.5915492957746479,0.13989534771497214
240,5,20,B  ANY of the four patterns,C_locked,62,36,0.5806451612903226,-0.4910434110314926
240,5,30,A  exhausted_sellers (as specified),A_primary,195,60,0.3076923076923077,0.04484653536922836
240,5,30,A  exhausted_sellers (as specified),B_meta,142,52,0.36619718309859156,0.13697581199719572
240,5,30,A  absorbed_buying   (as specified),A_primary,195,64,0.3282051282051282,-0.17795309658262268
240,5,30,A  absorbed_buying   (as specified),B_meta,142,48,0.3380281690140845,0.7077692496396337
240,5,30,B  ANY of the four patterns,A_primary,195,137,0.7025641025641025,0.03130293836549854
240,5,30,B  ANY of the four patterns,B_meta,142,103,0.7253521126760564,0.24083213859805613
240,5,30,B  ANY of the four patterns,C_locked,62,46,0.7419354838709677,-0.719297937716149
