tf,geom,block,n,obs,ctl,p
60,V54  20/20 2.0N no-tp,A_primary,844,0.029227615080924467,0.006598008850665968,0.07666666666666666
60,V54  20/20 2.0N no-tp,B_meta,566,0.02125486499586542,0.024721845332029216,0.5933333333333334
60,V54  20/20 2.0N no-tp,C_locked,319,0.17854694391623963,0.09369283217283955,0.0
60,V38  70/30 2.5N no-tp,A_primary,337,0.07700707736706117,0.04065667070008061,0.15666666666666668
60,V38  70/30 2.5N no-tp,B_meta,237,0.020412231580793486,0.08155232174651711,0.92
60,V38  70/30 2.5N no-tp,C_locked,143,0.23539812508312075,0.1381568934813587,0.06
240,V54  20/20 2.0N no-tp,A_primary,195,0.05010670823598842,0.050014644443731285,0.5
240,V54  20/20 2.0N no-tp,B_meta,142,0.11575162370687493,0.05554955016821811,0.18333333333333332
240,V54  20/20 2.0N no-tp,C_locked,62,1.0938801883755607,0.4094959248485485,0.0
240,V38  70/30 2.5N no-tp,A_primary,87,0.2808328115185296,0.15431549439885744,0.19333333333333333
240,V38  70/30 2.5N no-tp,B_meta,59,0.15946627925223525,0.2015528466081076,0.61
240,V38  70/30 2.5N no-tp,C_locked,38,1.2770630382132309,0.4931641869808391,0.006666666666666667
