tf,k,w,block,obs,p
60,2,20,A_primary,0.07992383564455807,0.013333333333333334
60,2,20,B_meta,0.08654911618294266,0.05
60,2,20,C_locked,0.16213442282152465,0.09
60,3,20,A_primary,0.014570062399605767,0.26666666666666666
60,3,20,B_meta,0.11187065292127242,0.05
60,3,20,C_locked,0.04901628749254444,0.21333333333333335
240,2,20,A_primary,0.024979224191572072,0.38666666666666666
240,2,20,B_meta,0.02410854778363973,0.4266666666666667
240,3,20,A_primary,0.07205895935711917,0.19333333333333333
240,3,20,B_meta,0.10753160463588908,0.30333333333333334
