tf,pattern,k,w,keep,edge,p,c_edge,c_n
60,exhausted_sellers,k2,w10,0.2297872340425532,0.07820546676301679,0.03666666666666667,0.09069825714133642,69
60,exhausted_sellers,k2,w20,0.375177304964539,0.08258678504612765,0.0033333333333333335,0.16213442282152465,116
60,exhausted_sellers,k2,w30,0.4879432624113475,0.03227951517399823,0.08833333333333333,0.09261696552123119,150
60,absorbed_selling,k2,w10,0.23546099290780143,-0.03942901340695875,0.815,-0.20869802928431835,69
60,absorbed_selling,k2,w20,0.41843971631205673,-0.048779359244364134,0.965,-0.08445150633541687,124
60,absorbed_selling,k2,w30,0.5375886524822695,-0.02859477429788362,0.8833333333333333,-0.0021695634931797325,152
60,exhausted_buyers,k2,w10,0.175177304964539,-0.00025681709078503173,0.49833333333333335,0.08350176303781723,51
60,exhausted_buyers,k2,w20,0.2695035460992908,0.001544459769413073,0.4533333333333333,0.24584518473208097,95
60,exhausted_buyers,k2,w30,0.41843971631205673,0.02445341024623755,0.19666666666666666,0.1285509630176406,148
60,absorbed_buying,k2,w10,0.23049645390070922,0.1239155909396401,0.0,0.2833440376900761,78
60,absorbed_buying,k2,w20,0.4099290780141844,0.042359087848652166,0.058333333333333334,0.03896932166297237,136
60,absorbed_buying,k2,w30,0.5276595744680851,0.037547338222303675,0.056666666666666664,0.08433700647315054,173
60,exhausted_sellers,k3,w10,0.1702127659574468,0.07166136948830076,0.08666666666666667,0.057521460675326985,51
60,exhausted_sellers,k3,w20,0.29929078014184396,0.05163884681998693,0.07666666666666666,0.04901628749254444,87
60,exhausted_sellers,k3,w30,0.3921985815602837,0.01533029363487418,0.29333333333333333,0.02024092322830298,112
60,absorbed_selling,k3,w10,0.18581560283687942,-0.0036140309097730215,0.5283333333333333,-0.09910625482268541,61
60,absorbed_selling,k3,w20,0.3375886524822695,0.017051423452983713,0.30833333333333335,0.006458393364640991,99
60,absorbed_selling,k3,w30,0.4226950354609929,0.014844624991671825,0.275,-0.01070114643067785,123
60,exhausted_buyers,k3,w10,0.10425531914893617,0.09504337964548619,0.085,0.6012496611414817,25
60,exhausted_buyers,k3,w20,0.19078014184397163,0.031975085978729625,0.23666666666666666,0.22363754190473675,61
60,exhausted_buyers,k3,w30,0.31560283687943264,0.08675413195261267,0.01,0.16662669562381408,97
60,absorbed_buying,k3,w10,0.19148936170212766,0.04087339464692853,0.21,0.12246761786776214,58
60,absorbed_buying,k3,w20,0.3219858156028369,0.02966162804139307,0.20333333333333334,-0.02095276126461848,97
60,absorbed_buying,k3,w30,0.424822695035461,0.04379106642232619,0.058333333333333334,-0.03991098889501077,131
60,exhausted_sellers,k5,w10,0.10354609929078014,0.06226194209659219,0.185,-0.25257393343979506,32
60,exhausted_sellers,k5,w20,0.2049645390070922,0.009117291737146985,0.4166666666666667,-0.19048732180842673,64
60,exhausted_sellers,k5,w30,0.2645390070921986,0.015299586088400808,0.355,-0.1079151599731027,80
60,absorbed_selling,k5,w10,0.1276595744680851,0.05783153560890958,0.18,0.03072295355760027,32
60,absorbed_selling,k5,w20,0.21843971631205675,0.06391256401778539,0.065,-0.05584203235647903,64
60,absorbed_selling,k5,w30,0.28794326241134754,0.06973687506920843,0.045,0.004875331118987469,77
60,exhausted_buyers,k5,w10,0.0425531914893617,0.05856763529321002,0.285,,7
60,exhausted_buyers,k5,w20,0.11347517730496454,0.03899649724057509,0.28833333333333333,-0.1418775323925761,37
60,exhausted_buyers,k5,w30,0.19858156028368795,0.09247374164398786,0.021666666666666667,-0.05894001650536891,63
60,absorbed_buying,k5,w10,0.1226950354609929,0.10924361778318907,0.04,-0.17404975243624507,46
60,absorbed_buying,k5,w20,0.21843971631205675,0.060563867584470965,0.09833333333333333,0.13973363738201003,81
60,absorbed_buying,k5,w30,0.30851063829787234,0.015089421476871857,0.35333333333333333,0.05235995910828828,107
240,exhausted_sellers,k2,w10,0.2551928783382789,0.22200770385780458,0.11833333333333333,,10
240,exhausted_sellers,k2,w20,0.4065281899109792,0.0271054492338072,0.4266666666666667,-0.6810312032297621,23
240,exhausted_sellers,k2,w30,0.5489614243323442,0.0673994030092262,0.23166666666666666,-0.7110856997209412,30
240,absorbed_selling,k2,w10,0.26112759643916916,-0.09635584877764841,0.6716666666666666,-0.17757819182925327,23
240,absorbed_selling,k2,w20,0.43026706231454004,-0.05631320192872287,0.7033333333333334,0.7467245300597096,33
240,absorbed_selling,k2,w30,0.5756676557863502,-0.05009637116661075,0.7133333333333334,0.36021875834079653,41
240,exhausted_buyers,k2,w10,0.20771513353115728,-0.012132311421947942,0.49666666666666665,,14
240,exhausted_buyers,k2,w20,0.3353115727002967,0.0946955311234502,0.26,-0.693409990564898,20
240,exhausted_buyers,k2,w30,0.5133531157270029,0.15492371140085912,0.05333333333333334,0.4815872134377748,33
240,absorbed_buying,k2,w10,0.24925816023738873,-0.030172247786400208,0.555,,12
240,absorbed_buying,k2,w20,0.4688427299703264,0.11154431387317765,0.15666666666666668,-0.44332398606599877,25
240,absorbed_buying,k2,w30,0.5727002967359051,0.10442038025339362,0.12333333333333334,-0.4458008173626955,37
240,exhausted_sellers,k3,w10,0.22255192878338279,0.04488340985495505,0.38333333333333336,,8
240,exhausted_sellers,k3,w20,0.3353115727002967,0.09450984806334195,0.22833333333333333,,17
240,exhausted_sellers,k3,w30,0.44510385756676557,0.10910069169983325,0.175,-1.2064666636797892,22
240,absorbed_selling,k3,w10,0.2195845697329377,-0.16550018737869177,0.8,,14
240,absorbed_selling,k3,w20,0.32344213649851633,-0.11219893180089192,0.7583333333333333,0.010757056437671109,22
240,absorbed_selling,k3,w30,0.45103857566765576,-0.10560190810924276,0.8216666666666667,-0.28238318010563246,27
240,exhausted_buyers,k3,w10,0.11869436201780416,0.0749060192127999,0.39166666666666666,,10
240,exhausted_buyers,k3,w20,0.2166172106824926,0.10146429741144322,0.31,,15
240,exhausted_buyers,k3,w30,0.3560830860534125,0.21115718157685617,0.08333333333333333,0.9190355436935491,26
240,absorbed_buying,k3,w10,0.18694362017804153,0.13989951605100634,0.26166666666666666,,16
240,absorbed_buying,k3,w20,0.3323442136498516,0.1916101252042571,0.1,0.10183159665277741,21
240,absorbed_buying,k3,w30,0.42136498516320475,0.18768940835011347,0.04,-0.06731860673685852,31
240,exhausted_sellers,k5,w10,0.16023738872403562,-0.043024265934441405,0.5483333333333333,,5
240,exhausted_sellers,k5,w20,0.26112759643916916,0.11870462318873637,0.25333333333333335,,12
240,exhausted_sellers,k5,w30,0.3323442136498516,0.0904383700102663,0.25,,15
240,absorbed_selling,k5,w10,0.13056379821958458,-0.06247400476205423,0.5433333333333333,,11
240,absorbed_selling,k5,w20,0.228486646884273,-0.16756321380202535,0.8116666666666666,,14
240,absorbed_selling,k5,w30,0.2997032640949555,-0.09613028856566744,0.7533333333333333,,19
240,exhausted_buyers,k5,w20,0.12462908011869436,0.39236413419940164,0.07333333333333333,,9
240,exhausted_buyers,k5,w30,0.21068249258160238,0.2669701422341326,0.08333333333333333,-0.577763382786636,20
240,absorbed_buying,k5,w10,0.1513353115727003,0.33089386355804884,0.10333333333333333,,7
240,absorbed_buying,k5,w20,0.26112759643916916,0.3202583134418173,0.04,,14
240,absorbed_buying,k5,w30,0.3323442136498516,0.20211526102386582,0.10166666666666667,-0.4705002830237004,21
