tf,geom,feature,n_res,kept,keep_frac,base,filt,edge,p,binary,bh
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k2_w20,1410,529,0.375177304964539,0.026027206181531964,0.10861399122765962,0.08258678504612765,0.0,True,True
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k2_w10,1410,325,0.23049645390070922,0.026027206181531964,0.14994279712117206,0.1239155909396401,0.0033333333333333335,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k3_w30,1410,445,0.31560283687943264,0.026027206181531964,0.11278133813414463,0.08675413195261267,0.008333333333333333,True,False
240,V38  70/30 2.5N no-tp,ctx.close_pos,146,73,0.5,0.23178743204105454,0.6509495188422098,0.4191620868011552,0.02,False,False
240,V54  20/20 2.0N no-tp,eff.px_per_delta50,337,169,0.5014836795252225,0.07776717706941835,0.2673228593157703,0.18955568224635197,0.025,False,False
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k2_w10,1410,324,0.2297872340425532,0.026027206181531964,0.10423267294454876,0.07820546676301679,0.03,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k5_w30,1410,280,0.19858156028368795,0.026027206181531964,0.11850094782551983,0.09247374164398786,0.03,True,False
240,V38  70/30 2.5N no-tp,div.exhausted_buyers_k2_w20,146,53,0.363013698630137,0.23178743204105454,0.7631914769959918,0.5314040449549372,0.03166666666666667,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k5_w10,1410,173,0.1226950354609929,0.026027206181531964,0.13527082396472104,0.10924361778318907,0.03666666666666667,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_selling_k5_w30,1410,406,0.28794326241134754,0.026027206181531964,0.0957640812507404,0.06973687506920843,0.03833333333333333,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k2_w30,1410,744,0.5276595744680851,0.026027206181531964,0.06357454440383564,0.037547338222303675,0.03833333333333333,True,False
240,V38  70/30 2.5N no-tp,div.exhausted_buyers_k5_w30,146,42,0.2876712328767123,0.23178743204105454,0.7612532171463583,0.5294657851053037,0.04666666666666667,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k5_w20,337,88,0.26112759643916916,0.07776717706941835,0.39802549051123565,0.3202583134418173,0.05,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k3_w30,1410,599,0.424822695035461,0.026027206181531964,0.06981827260385816,0.04379106642232619,0.051666666666666666,True,False
240,V38  70/30 2.5N no-tp,div.exhausted_buyers_k2_w30,146,85,0.5821917808219178,0.23178743204105454,0.5155083089964836,0.283720876955429,0.051666666666666666,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k3_w30,337,142,0.42136498516320475,0.07776717706941835,0.2654565854195318,0.18768940835011347,0.056666666666666664,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_buyers_k2_w30,337,173,0.5133531157270029,0.07776717706941835,0.23269088847027747,0.15492371140085912,0.056666666666666664,True,False
60,V54  20/20 2.0N no-tp,cvd.z10,1410,705,0.5,0.026027206181531964,0.06171111339555959,0.03568390721402763,0.06333333333333334,False,False
60,V38  70/30 2.5N no-tp,div.absorbed_buying_k2_w10,574,92,0.1602787456445993,0.05363951908945588,0.23119804456552553,0.17755852547606965,0.06333333333333334,True,False
240,V38  70/30 2.5N no-tp,div.absorbed_selling_k2_w10,146,36,0.2465753424657534,0.23178743204105454,0.834703391791543,0.6029159597504884,0.06333333333333334,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k2_w20,1410,578,0.4099290780141844,0.026027206181531964,0.06838629403018413,0.042359087848652166,0.065,True,False
240,V38  70/30 2.5N no-tp,div.exhausted_buyers_k3_w20,146,37,0.2534246575342466,0.23178743204105454,0.8189010606890061,0.5871136286479516,0.06666666666666667,True,False
60,V38  70/30 2.5N no-tp,div.exhausted_sellers_k3_w10,574,75,0.13066202090592335,0.05363951908945588,0.21740293791848012,0.16376341882902423,0.07,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k3_w20,1410,422,0.29929078014184396,0.026027206181531964,0.0776660530015189,0.05163884681998693,0.075,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_buyers_k5_w20,337,42,0.12462908011869436,0.07776717706941835,0.47013131126881996,0.39236413419940164,0.07666666666666666,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_buyers_k3_w30,337,120,0.3560830860534125,0.07776717706941835,0.2889243586462745,0.21115718157685617,0.08166666666666667,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k5_w30,337,112,0.3323442136498516,0.07776717706941835,0.27988243809328417,0.20211526102386582,0.08666666666666667,True,False
240,V54  20/20 2.0N no-tp,div.exhausted_buyers_k5_w30,337,71,0.21068249258160238,0.07776717706941835,0.34473731930355095,0.2669701422341326,0.08666666666666667,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_selling_k5_w20,1410,308,0.21843971631205675,0.026027206181531964,0.08993977019931736,0.06391256401778539,0.08833333333333333,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k3_w20,337,112,0.3323442136498516,0.07776717706941835,0.26937730227367546,0.1916101252042571,0.09333333333333334,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k3_w10,1410,240,0.1702127659574468,0.026027206181531964,0.09768857566983273,0.07166136948830076,0.095,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_buyers_k3_w10,1410,147,0.10425531914893617,0.026027206181531964,0.12107058582701816,0.09504337964548619,0.09666666666666666,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k5_w10,337,51,0.1513353115727003,0.07776717706941835,0.40866104062746716,0.33089386355804884,0.1,True,False
60,V54  20/20 2.0N no-tp,div.absorbed_buying_k5_w20,1410,308,0.21843971631205675,0.026027206181531964,0.08659107376600293,0.060563867584470965,0.1,True,False
240,V38  70/30 2.5N no-tp,div.exhausted_buyers_k5_w20,146,33,0.22602739726027396,0.23178743204105454,0.7522885924081976,0.520501160367143,0.10666666666666667,True,False
60,V54  20/20 2.0N no-tp,div.exhausted_sellers_k2_w30,1410,688,0.4879432624113475,0.026027206181531964,0.058306721355530194,0.03227951517399823,0.11333333333333333,True,False
240,V54  20/20 2.0N no-tp,div.absorbed_buying_k2_w30,337,193,0.5727002967359051,0.07776717706941835,0.18218755732281197,0.10442038025339362,0.11833333333333333,True,False
240,V38  70/30 2.5N no-tp,div.exhausted_buyers_k3_w30,146,62,0.4246575342465753,0.23178743204105454,0.5172919977326131,0.2855045656915586,0.12333333333333334,True,False
