feed,side,thr,reached,of_reached_lost,mean_end_if_reached,mean_end_if_not,rescuable_atr
ISO,L,0.25,0.8776185226019846,0.4861809045226131,0.20916158853254327,-2.5374936210604013,0.904015692526171
ISO,L,0.5,0.7824329290701948,0.43024894316580553,0.4843024114643132,-2.3253164466299374,0.7080056780849775
ISO,L,0.75,0.6912899669239251,0.37161084529505584,0.7784868147477353,-2.1545728582593933,0.5464738922110746
ISO,L,1.0,0.6210951855935318,0.3242603550295858,1.0258800475080303,-2.016726268366607,0.4427663973606251
ISO,L,1.5,0.4998162440279309,0.2551470588235294,1.525295688925785,-1.7780379422016663,0.29261153722851757
ISO,L,2.0,0.40646821021683205,0.20795660036166366,1.9886781225705006,-1.5758424185513151,0.20745765565960295
ISO,S,0.25,0.8809100604337007,0.529862792574657,0.20244582708226025,-2.781016051151532,0.9989610684715798
ISO,S,0.5,0.7884820476359758,0.47610459873760147,0.5069406739336034,-2.6123933317826125,0.7774834593676943
ISO,S,0.75,0.6988979736935655,0.4160732451678535,0.8294661848468725,-2.4329517556492015,0.5968724726830518
ISO,S,1.0,0.6210451475293282,0.36290784201488263,1.1489266366345237,-2.286261211844686,0.4587335042110955
ISO,S,1.5,0.5122644863135443,0.2900763358778626,1.6530901240152593,-2.049622803448915,0.30997463986136736
ISO,S,2.0,0.4201919658727337,0.23011844331641285,2.2441856676016942,-1.890010470098789,0.18945826536987434
MT,L,0.25,0.8959417273673257,0.454123112659698,0.34299772072281903,-2.637547022147917,1.019710122928005
MT,L,0.5,0.8189386056191468,0.41168996188055906,0.6097283238283668,-2.576378480030858,0.8264413215782828
MT,L,0.75,0.7356919875130072,0.3649222065063649,0.9390753229609357,-2.48960597640089,0.63205159307603
MT,L,1.0,0.668054110301769,0.32554517133956384,1.1909541225787572,-2.2978878099310553,0.5209286713330463
MT,L,1.5,0.5567117585848075,0.2616822429906542,1.7073779042122619,-2.0701428249436726,0.34269684689902596
MT,L,2.0,0.4557752341311134,0.23515981735159816,2.1601694848854587,-1.7487340326047334,0.2560793555563582
MT,S,0.25,0.8915956151035322,0.4918032786885246,0.2537452485107186,-2.7680713845518667,1.0137342596621115
MT,S,0.5,0.807551766138855,0.45098039215686275,0.453272114332143,-2.2856724247941833,0.8728095178079471
MT,S,0.75,0.7235079171741778,0.3956228956228956,0.7330359639503269,-2.1851990920782574,0.7065659818413801
MT,S,1.0,0.6479902557856273,0.34774436090225563,1.0493416704465706,-2.1414069203904695,0.5514870317424395
MT,S,1.5,0.5164433617539586,0.2617924528301887,1.6320950448209868,-1.8957811846835475,0.3646266131079069
MT,S,2.0,0.4299634591961023,0.23229461756373937,2.0524541736536515,-1.6776349457585664,0.28239094693446243
