feed,entry,block,n,R,pf,win,mae,mfe
ISO,donchian20 break,research,2721,-0.126978133920397,0.8954552337206215,0.45167217934582876,-2.3754820775058003,2.3820149336927345
ISO,donchian20 break,LOCKED,1924,-0.008553464621459304,0.9930409146511933,0.49480249480249483,-2.3920683383128,2.46376303280673
ISO,donchian20 fade,research,2721,-0.3583705766210802,0.7307159643087444,0.4549797868430724,-2.4423632572377216,2.315560661134909
ISO,donchian20 fade,LOCKED,1924,-0.26798090975005606,0.8032426667091553,0.45426195426195426,-2.498249683237045,2.3577482484728405
ISO,overnight high break,research,1722,-0.1384294666090808,0.8900791577334615,0.44947735191637633,-2.451401397558609,2.3901528651095845
ISO,overnight high break,LOCKED,1040,0.029733214900610868,1.0232632725212223,0.4798076923076923,-2.5724852661141155,2.62093784281844
ISO,overnight low break,research,1808,-0.18880384731759373,0.8649254482061759,0.3954646017699115,-2.5374842399656385,2.662177444889047
ISO,overnight low break,LOCKED,954,-0.251860294365806,0.8131086084120802,0.4392033542976939,-2.485296667376095,2.4608754904299395
ISO,pullback to EMA50 up,research,1428,-0.2412674352792472,0.8084097969888339,0.43067226890756305,-2.5090688759207493,2.2350134890811364
ISO,pullback to EMA50 up,LOCKED,769,-0.09085502726338239,0.930092462900685,0.4616384915474642,-2.5911519913183887,2.4396743937711247
ISO,first-hour range break,research,2257,-0.18489260874228564,0.8432306294239622,0.4311032343819229,-2.2826907908219827,2.149279815754058
ISO,first-hour range break,LOCKED,1409,-0.13290037142236574,0.9001922036552586,0.45848119233498935,-2.539855774569796,2.395292615443228
MT,donchian20 break,research,961,0.03284738327529181,1.0253808096769332,0.49011446409989595,-2.5221353277335115,2.6715629691126517
MT,donchian20 break,LOCKED,538,0.47426176865172975,1.510114422322829,0.570631970260223,-2.115555096424654,2.4185950303988832
MT,donchian20 fade,research,961,-0.32831343549162334,0.7776154244294919,0.4588969823100936,-2.7083268596991226,2.4855550719007464
MT,donchian20 fade,LOCKED,538,-0.5957186148417999,0.5973032134706585,0.4163568773234201,-2.4337234569983304,2.100438100661787
MT,overnight high break,research,517,0.04614649494489381,1.0328186270897042,0.47775628626692457,-2.793924299743514,2.9622471690779184
MT,overnight high break,LOCKED,273,0.4661924561770974,1.4810337499895685,0.5641025641025641,-2.290026382651435,2.5093859438182764
MT,overnight low break,research,491,0.04862547022859784,1.03919478818335,0.46028513238289204,-2.453982817026449,2.5889674429775447
MT,overnight low break,LOCKED,215,-0.0837105613806667,0.9190730628437538,0.4604651162790698,-1.9896624711086202,2.2170949959390542
MT,pullback to EMA50 up,research,363,0.041501846755811755,1.032153639545908,0.4738292011019284,-2.596486602151668,2.5787825097720516
MT,pullback to EMA50 up,LOCKED,218,0.14995923301484587,1.1359741233942149,0.5091743119266054,-2.3920908078174086,2.1874453575214305
MT,first-hour range break,research,727,-0.1628717626819307,0.8851770001304862,0.42090784044016505,-2.67673596458058,2.513883364772631
MT,first-hour range break,LOCKED,367,0.14973504321914716,1.1491685799106321,0.5177111716621253,-2.159331495049286,2.111004717689783
