feed,block,feat,n,ic_mae,ic_giveback,shuffled_sd
ISO,research,bar.body_share,2721,-0.01928742899310017,-0.012382062834465038,0.016882935371448516
ISO,research,bar.close_pos,2721,-0.0092364780777355,-0.020747287422744256,0.01572418853054608
ISO,research,bar.gap_prev,2721,0.01646485788046556,0.0014739191242735359,0.01817152004199545
ISO,research,bar.lower_wick,2721,0.0036277434128649585,-0.017766195886072172,0.014190586340473875
ISO,research,bar.upper_wick,2721,0.00943254609131189,0.020917269000728413,0.020019582917260623
ISO,research,loc.chan_pos50,2721,-0.05024409102051417,-0.047855987019537465,0.018680396630829783
ISO,research,loc.d_ema20,2721,-0.07883924377583332,-0.06739386138540635,0.018114974435621354
ISO,research,loc.d_ema200,2721,-0.036146040060787435,-0.011534368869881751,0.016499529041439885
ISO,research,loc.d_ema50,2721,-0.06924312561498526,-0.053567424086766874,0.014872005715108669
ISO,research,loc.excess_hi50,2721,-0.05194375251694535,-0.041782727324830723,0.014173973079931632
ISO,research,mom.roc16,2721,-0.05370293797660539,-0.07110679810926547,0.013261547642111337
ISO,research,mom.roc4,2721,-0.045891667336581364,-0.02709995870163499,0.02017883466721056
ISO,research,mom.roc48,2721,-0.05410741118325011,-0.02952906840171045,0.017511712174582177
ISO,research,mom.run_up,2721,-0.06400139438355278,-0.07010641395191969,0.016558205531628917
ISO,research,sess.d_win_open,2721,-0.17867428512557318,-0.18645608899241325,0.0155461550725719
ISO,research,sess.frac_elapsed,2721,-0.3750685827765694,-0.42376895010070154,0.02256760163996589
ISO,research,sess.mins_left,2721,0.3750685827765694,0.42376895010070154,0.02043660716258615
ISO,research,sess.ovn_pos,2721,-0.1382928703506031,-0.1475049740823695,0.022427273399167814
ISO,research,sess.ovn_width,2721,0.13185368000461659,0.15276213242075962,0.015553437719554175
ISO,research,vlm.tod_ratio,2705,-0.059549146965092004,-0.049784871674468316,0.010218959709739099
ISO,research,vlm.trend,2721,-0.22387124695482674,-0.24453032129261792,0.019611448801114276
ISO,research,vlm.z20,2721,0.06127152159523025,0.06669553237453207,0.0176230958130792
ISO,research,vol.atr_pct100,2720,-0.25347428054574656,-0.27747565428055976,0.02027737302888423
ISO,research,vol.atr_pct500,2714,-0.2688212142721778,-0.2925549409522677,0.013936869896034744
ISO,research,vol.atr_slope,2721,-0.19065232647354988,-0.21878622800547862,0.017701447468437614
ISO,research,vol.atr_tod,2705,-0.07767617725932709,-0.06606299624532086,0.017848624384891525
ISO,research,vol.range_exp,2721,0.026683201169925997,0.04689086449666987,0.019728254542254155
ISO,research,vol.rv20,2721,-0.19587819001900336,-0.18465237393421102,0.021260639430372905
ISO,research,vol.rv96,2721,-0.060056608069502505,-0.03736167977032735,0.01124944276623247
ISO,research,vol.rv_ratio,2721,-0.2270962279998546,-0.2378939490080363,0.015973785997615564
ISO,LOCKED,bar.body_share,1924,0.013464292607671825,-0.01334999233813229,0.01459380137472229
ISO,LOCKED,bar.close_pos,1924,-0.0013192729795008995,-0.004097434840313594,0.021176250815707152
ISO,LOCKED,bar.gap_prev,1924,-0.0021157319072478186,-0.004224423658959751,0.02487845077251537
