feed,side,block,cfg,n,R,pf,win,mean_loss,p95_loss,worst,mean_mae,dd,stop_mult,p_stop,dR,boot_p
ISO,L,research,A  baseline,2721,-0.126978133920397,0.8954552337206215,0.45167217934582876,-2.2150644290399666,-5.357181877745585,-17.001922124646104,-2.3754820775058003,435.7300805873966,0.0,0.0,0.0,
ISO,L,LOCKED,A  baseline,1924,-0.008553464621459304,0.9930409146511933,0.49480249480249483,-2.432924900308715,-5.669111764949308,-25.45906486698094,-2.3920683383128,311.5657447352129,0.0,0.0,0.0,
ISO,L,research,B  + fixed stop,2721,-0.12682326596679805,0.8797054650991595,0.37963983829474457,-1.69945290947812,-2.342210853111962,-5.5035095987568265,-1.0263385092577633,426.964297347521,2.0,0.4016905549430356,0.00015486795359895768,0.5165
ISO,L,LOCKED,B  + fixed stop,1924,0.025590429794664603,1.025376725725357,0.4095634095634096,-1.707924743921005,-2.200476049291732,-2.3888089220855777,-1.0058161444949503,256.9960189944406,2.0,0.4189189189189189,0.03414389441612393,0.29
ISO,L,research,C  + adaptive stop,2721,-0.14299662005999625,0.8533228326789509,0.32524807056229327,-1.4448378931315042,-2.7777887568107644,-3.242883960474871,-0.7099341527992109,428.22366621124206,1.4085399146933089,0.5611907386990077,-0.016018486139599254,0.6135
ISO,L,LOCKED,C  + adaptive stop,1924,0.03599887903558988,1.0403483580288733,0.3471933471933472,-1.366716822273321,-2.5778580004223466,-3.1888089220854012,-0.6585947494806821,262.28013339975564,1.3797360184591796,0.5701663201663202,0.044552343657049194,0.262
ISO,L,research,D  + secure winner,2721,-0.13722388895259363,0.803195908849967,0.47445791988239616,-1.3267469722308436,-2.3678992524981317,-3.2043853739921864,-0.5993947973167156,388.44861050410276,1.4085399146933089,0.86438809261301,-0.01024575503219663,0.545
ISO,L,LOCKED,D  + secure winner,1924,0.011120973040476998,1.0184240564846712,0.5426195426195426,-1.3197143135611291,-1.9564154791447947,-3.0566167838260663,-0.546979700248122,131.5829114359301,1.3797360184591796,0.8721413721413721,0.0196744376619363,0.428
ISO,L,research,E  + clock tighten,2721,-0.12808144018679415,0.8162522377271884,0.47813303932377804,-1.3356858981975257,-2.3678992524981317,-3.2043853739921864,-0.5993947973167156,366.79149014200675,1.4085399146933089,0.882396177875781,-0.0011033062663971627,0.518
ISO,L,LOCKED,E  + clock tighten,1924,0.018908427665283226,1.0313254908606948,0.5426195426195426,-1.3197143135611291,-1.9564154791447947,-3.0566167838260663,-0.546979700248122,126.72106822144858,1.3797360184591796,0.8903326403326404,0.027461892286742545,0.3965
ISO,S,research,A  baseline,2813,-0.1528544676949599,0.8850849707544948,0.4141485958051902,-2.270459868171309,-5.662865757034005,-23.195363097482613,-2.4279475542344233,601.8654167085313,0.0,0.0,0.0,
ISO,S,LOCKED,A  baseline,1583,-0.17921814358955762,0.8603700919907911,0.4497789008212255,-2.3327397099967024,-5.587578409705715,-17.12290410362571,-2.3452983753193517,420.7744922815572,0.0,0.0,0.0,
ISO,S,research,B  + fixed stop,2813,-0.14525066063409212,0.8708154525981437,0.3448275862068966,-1.71613696232304,-2.332428128831203,-2.5815527915563363,-1.0494538206374633,565.0773942007258,2.0,0.4262353359402773,0.007603807060867753,0.4395
ISO,S,LOCKED,B  + fixed stop,1583,-0.11468451679899347,0.8872307024276198,0.3746051800379027,-1.6261463703312267,-2.201148255626189,-2.3088606752723217,-1.0235208859862612,334.50624291198835,2.0,0.40240050536955146,0.06453362679056415,0.219
ISO,S,research,C  + adaptive stop,2813,-0.1346616242156594,0.8686802496077198,0.28937077852826165,-1.4430146421583145,-2.7802769907210756,-3.3268089930513858,-0.7034966983862935,485.69133908106147,1.40143753435579,0.5982936366868112,0.0181928434793005,0.3625
ISO,S,LOCKED,C  + adaptive stop,1583,-0.14562839396611763,0.8419017103384759,0.2962728995578016,-1.308924547020083,-2.4983400441516013,-3.1016774610908606,-0.5997577249706244,336.28657991410125,1.30225770224629,0.6051800379027164,0.03358974962344001,0.353
ISO,S,research,D  + secure winner,2813,-0.0994188702759573,0.8597383258545479,0.47209384998222537,-1.3426817441832792,-2.253536478337904,-3.3268089930513858,-0.582137006195656,277.44551655245897,1.40143753435579,0.8929968005687877,0.05343559741900257,0.2605
ISO,S,LOCKED,D  + secure winner,1583,-0.040209221903371804,0.937347630527492,0.5034744156664561,-1.292547575903603,-1.7444942137932724,-3.03896531477196,-0.5104187224768097,103.6812456763306,1.30225770224629,0.8963992419456728,0.1390089216861858,0.1235
ISO,S,research,E  + clock tighten,2813,-0.08547613405468141,0.8793920481920288,0.4742268041237113,-1.3479397712150043,-2.253536478337904,-3.3268089930513858,-0.582137006195656,239.72459956200973,1.40143753435579,0.9029505865623889,0.0673783336402785,0.2075
ISO,S,LOCKED,E  + clock tighten,1583,-0.021966009127421117,0.9657730410863697,0.5041061276058117,-1.2941782724734885,-1.7444942137932724,-3.03896531477196,-0.5104187224768097,89.43180785640706,1.30225770224629,0.9046114971572963,0.1572521344621365,0.083
