,R,excess,pf
ema_slow,0.13457229115504604,-0.05483966080439055,0.12895601780594584
ema_pull,0.018324205629692558,0.05872944918938312,0.04014466144812676
ema_tight,0.15100018836468537,-0.06407582918524148,0.15548613906783634
atr_len,0.003068280423941108,0.10827126314764064,0.012053009791995766
atr_stop,0.4587595785969967,-0.6768737361375522,0.4347896321123351
vol_mult,0.0990858138104054,-0.06943243415040559,0.09918396457631311
range_mult,0.2708391784433948,0.22571237278135634,0.25607349214211655
wick_body,-0.004177331763265606,-0.11020202601123197,-0.012482457786772079
ambig,0.21442234647477204,0.01751305083297318,0.22708595087384167
tighten_R,0.06918117812770855,0.24342880675711362,0.0790741363712947
tgt_R,0.36106897702646257,-0.036976854472556865,0.3640744308370346
