test_from,test_to,re_chosen,random_cell,as published,Optuna excess,Optuna excess_pf,Optuna return
2013-01,2014-01,1.651,0.1377,-0.0427,0.3972,2.4831,1.4445
2014-01,2015-01,-0.3134,0.0342,0.0689,0.6132,-0.406,0.2347
2015-01,2016-01,-0.6408,-0.7827,-0.5917,0.5835,-0.121,-1.0375
2016-01,2017-01,-0.3978,0.5782,0.0985,-0.0688,0.303,-0.3025
2017-01,2018-01,0.2508,-0.0854,-0.0252,0.5534,0.2272,1.8959
2018-01,2019-01,-1.0475,-0.0945,-0.095,-0.1745,0.1698,-0.1726
2019-01,2020-01,1.348,-0.2022,-0.0851,-0.4271,0.0234,1.2588
2020-01,2021-01,-0.3359,1.1212,0.1399,-0.4961,-0.2985,1.2069
2021-01,2022-01,0.9568,0.1497,0.1644,-0.2599,-0.4582,0.4601
2022-01,2023-01,-0.1969,-0.2131,0.3467,0.0729,-0.5977,-1.0306
2023-01,2024-01,0.0982,0.2227,-0.0359,-0.1367,-0.1591,0.7497
2024-01,2025-01,1.5572,-0.008,0.5489,-0.5677,-0.5877,-1.0244
2025-01,2026-01,1.0996,0.3539,0.1367,-0.5873,-0.2727,0.7718
