year,Optuna excess,Optuna excess_pf,Optuna return,as published
2010,-0.48,-0.176,3.425,-0.129
2011,0.099,0.159,1.471,-0.055
2012,-0.841,0.134,1.022,-0.025
2013,0.637,2.982,2.312,0.15
2014,0.617,-0.184,-0.231,0.093
2015,0.634,0.01,-1.037,-0.622
2016,0.167,-0.061,0.069,0.308
2017,0.617,0.219,1.154,-0.081
2018,-0.074,-0.216,0.419,-0.113
2019,-0.051,0.59,2.018,-0.179
2020,-0.163,-0.248,0.957,0.091
2021,-0.15,-0.601,-0.136,0.056
2022,0.02,-0.661,-1.032,0.197
2023,-0.103,-0.266,0.877,-0.198
2024,-0.358,-0.575,-1.024,0.244
2025,-0.438,-0.162,0.772,0.037
2026,,-0.726,7.923,2.984
