draw,n_res,R_res,pf_res,n_lck,R_lck,pf_lck
0,392,-0.053879186195388555,0.8995224954264517,229,0.09311909047466212,1.1972402509568438
1,395,-0.057099658176422645,0.8957494774040045,223,0.14061313392457517,1.3104042259973057
2,406,-0.03537700746240648,0.9318427141282957,230,0.07484801613422155,1.1610076524917523
3,274,-0.027924460524112498,0.9454280661458261,155,-0.00046526218536342635,0.9990510425900567
4,353,-0.0563930970676086,0.8903787833008638,202,0.06673479420915678,1.1446514978748816
5,251,0.04749045330329788,1.0946940872953828,147,-0.004037987462302953,0.9919475188513664
6,363,-0.02859998793683334,0.9467599708309766,211,0.10049476362133622,1.2073582459493735
7,481,-0.142034854427699,0.7392502140534641,269,0.17107314029769544,1.3793308244253188
8,408,-0.07697171446207485,0.8574499049548671,236,0.1887410222917404,1.4265022833363155
9,388,-0.05920424217926703,0.892406817451566,213,0.08181971038515277,1.1723011267004262
10,349,-0.08294545068862844,0.8512810533866177,199,0.0964143493529885,1.2058648816811575
11,467,-0.061893316600876935,0.8895930886717357,257,0.1157512643802976,1.2288400012374827
12,319,-0.046787974536616116,0.9139188353825737,182,0.13266065715843364,1.2823213514310237
13,344,-0.03831901066245982,0.925319646763045,194,0.07268023573145044,1.1503598909591852
14,357,0.0025042252747547516,1.004755681014775,202,0.04594726899439113,1.0960903176456667
15,437,-0.08749949641793299,0.8339398475266377,254,0.15509239898369506,1.3565092736417237
16,434,-0.06873304941327095,0.8747253202074088,241,0.13216815152777747,1.2762659214251122
17,421,-0.062333045101736526,0.886958199996111,231,0.030622552904005475,1.0599433001681626
18,370,-0.0662775570977096,0.8708972689411119,207,0.05326981665004288,1.116242290457685
19,449,-0.1291052788934914,0.7631882158477735,263,0.16111078670204987,1.351056503303023
20,290,-0.004562705895431902,0.9915320158015944,165,0.11127314644233641,1.2327612006241842
21,476,-0.1234205486368713,0.7713340329348018,269,0.11235118178801645,1.2455044770897226
22,377,-0.07103408260449298,0.8676048882116397,213,0.05213598925080061,1.108197767353682
23,442,-0.04382335926401578,0.9149499940419424,250,0.1315314296603667,1.2985656068616855
24,293,-0.05153232051201074,0.8963536395149304,168,0.05220613322615921,1.1205008800150669
25,400,-0.1513456202243903,0.741576754872268,232,0.19763315571909118,1.4275264148142006
26,328,-0.02717693605218594,0.947021508398579,191,0.09442156520709172,1.2102145875954138
27,362,-0.015147107589927463,0.9705012203244804,205,0.1149675041320747,1.2600575317810276
28,439,-0.11360173102136956,0.7818929261803182,249,0.12148082952880011,1.2786542994763537
29,386,-0.043957555429807775,0.9156307735802637,222,0.09433235802195264,1.2084814934401524
30,295,-0.017371910877912147,0.9684952639822925,173,0.13225252979167193,1.280508090444283
31,302,-0.038921692297581294,0.9296899521074469,175,0.0734700572483305,1.141694758871511
32,439,-0.07435643507804,0.8587885097889574,253,0.1464757849241255,1.3288424035054276
33,351,-0.03382893967375175,0.9310698838624142,200,0.03237719948209528,1.07181082855664
34,323,-0.08197357536550132,0.8506767850898683,189,0.13901229476669352,1.2957507145367182
35,300,-0.036449482761921066,0.9318202858452754,175,0.07669358121254408,1.1587822124646936
36,249,0.0645436201787458,1.1348868715792606,150,0.02805909910922855,1.062623355161323
37,397,-0.08098386516941632,0.8405185276441157,217,-0.013352843621025403,0.9711622599226218
38,390,-0.12185564097994928,0.7711995979624348,221,0.13879755773692826,1.319539327453535
39,433,-0.15365914639973474,0.7311572903561526,255,0.18896232036514454,1.4129381643512922
40,447,-0.11886442458161606,0.7838931460364085,251,0.17734905317229846,1.3988521545132009
41,326,-0.08211284686838631,0.8428790809575961,190,0.12631447013522024,1.2822103506974616
42,317,-0.04630447253744125,0.9125276701318145,188,0.13891469002677376,1.3274954539315436
43,390,-0.06836022896944376,0.8719457355042872,213,0.0327608458929007,1.0665373672530714
44,297,-0.044781083068846636,0.9179033313569614,175,0.08139535823098377,1.1766534311525483
